"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/rate_change/rate_change","rate_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/expiring_layer","expiring_layer","int","input","optional","Expiring Layer","1","['expiring_policy_fetch_task', 'rarc_task']","[{'task': 'start_renewal_task', 'reset': False}]"
"cds/layers/rate_change/risk_adjusted_rate_change_gross_for_reporting","risk_adjusted_rate_change_gross_for_reporting","float","output","n/a","Risk Adjusted Rate Change (Gross For Reporting)","n/a","n/a","n/a"
"cds/layers/rate_change/risk_adjusted_rate_change_case_priced","risk_adjusted_rate_change_case_priced","float","input","optional","Final Risk Adjusted Rate Change","None","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term","policy_term","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised","annualised","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct","line_100pct","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
