StateCounty,Unknown,No,Yes
CATulare County,0.0000000000000000000,0.0000000000000000000,0.0999315188622438000
CATuolumne County,0.0000000000000000000,0.0000000000000000000,0.0998418928912137000
CAVentura County,0.0000000000000000000,0.0000000000000000000,0.0946417800017743000
CAYolo County,0.0000000000000000000,0.0000000000000000000,0.0934932758423264000
CAYuba County,0.0000000000000000000,0.0000000000000000000,0.0989665380271372000
COAdams County,0.0000000000000000000,0.0000000000000000000,0.0992427334644377000
COAlamosa County,0.0000000000000000000,0.0000000000000000000,0.0999238611660302000
COArapahoe County,0.0000000000000000000,0.0000000000000000000,0.0993616405097597000
COArchuleta County,0.0000000000000000000,0.0000000000000000000,0.0999252972656333000
COBaca County,0.0000000000000000000,0.0000000000000000000,0.0999471675597126000
COBent County,0.0000000000000000000,0.0000000000000000000,0.0998268227866279000
COBoulder County,0.0000000000000000000,0.0000000000000000000,0.0990601079716917000
COBroomfield County,0.0000000000000000000,0.0000000000000000000,0.0991731649376357000
COChaffee County,0.0000000000000000000,0.0000000000000000000,0.0997607117092192000
COCheyenne County,0.0000000000000000000,0.0000000000000000000,0.0999627668074150000
COClear Creek County,0.0000000000000000000,0.0000000000000000000,0.0987025372847208000
COConejos County,0.0000000000000000000,0.0000000000000000000,0.0999761875455274000
COCostilla County,0.0000000000000000000,0.0000000000000000000,0.0999766650661551000
COCrowley County,0.0000000000000000000,0.0000000000000000000,0.0997408074069415000
COCuster County,0.0000000000000000000,0.0000000000000000000,0.0997958262340886000
CODelta County,0.0000000000000000000,0.0000000000000000000,0.0998941405171865000
CODenver County,0.0000000000000000000,0.0000000000000000000,0.0638456973936297000
CODolores County,0.0000000000000000000,0.0000000000000000000,0.0997451478682652000
CODouglas County,0.0000000000000000000,0.0000000000000000000,0.0991227123969880000
COEagle County,0.0000000000000000000,0.0000000000000000000,0.0993508511663079000
COEl Paso County,0.0000000000000000000,0.0000000000000000000,0.0993729498255118000
COElbert County,0.0000000000000000000,0.0000000000000000000,0.0997794754533028000
COFremont County,0.0000000000000000000,0.0000000000000000000,0.0997222840696774000
COGarfield County,0.0000000000000000000,0.0000000000000000000,0.0995564079732347000
COGilpin County,0.0000000000000000000,0.0000000000000000000,0.0989168353424994000
COGrand County,0.0000000000000000000,0.0000000000000000000,0.0997476285666710000
COGunnison County,0.0000000000000000000,0.0000000000000000000,0.0996391265905283000
COHinsdale County,0.0000000000000000000,0.0000000000000000000,0.0998362577479845000
COHuerfano County,0.0000000000000000000,0.0000000000000000000,0.0998409651304772000
COJackson County,0.0000000000000000000,0.0000000000000000000,0.0998504731332512000
COJefferson County,0.0000000000000000000,0.0000000000000000000,0.0992923161594643000
COKiowa County,0.0000000000000000000,0.0000000000000000000,0.0999529365855203000
COKit Carson County,0.0000000000000000000,0.0000000000000000000,0.0999219513765599000
COLa Plata County,0.0000000000000000000,0.0000000000000000000,0.0997530344043711000
COLake County,0.0000000000000000000,0.0000000000000000000,0.0996807293285851000
COLarimer County,0.0000000000000000000,0.0000000000000000000,0.0993453248369265000
COLas Animas County,0.0000000000000000000,0.0000000000000000000,0.0997058261472947000
COLincoln County,0.0000000000000000000,0.0000000000000000000,0.0999570704805859000
COLogan County,0.0000000000000000000,0.0000000000000000000,0.0998988763527178000
COMesa County,0.0000000000000000000,0.0000000000000000000,0.0995688926911762000
COMineral County,0.0000000000000000000,0.0000000000000000000,0.0999066618563440000
COMoffat County,0.0000000000000000000,0.0000000000000000000,0.0993883819977321000
COMontezuma County,0.0000000000000000000,0.0000000000000000000,0.0999415725806096000
COMontrose County,0.0000000000000000000,0.0000000000000000000,0.0998109885106302000
COMorgan County,0.0000000000000000000,0.0000000000000000000,0.0995245217292362000
COOtero County,0.0000000000000000000,0.0000000000000000000,0.0993824969016941000
COOuray County,0.0000000000000000000,0.0000000000000000000,0.0996560467027141000
COPark County,0.0000000000000000000,0.0000000000000000000,0.0994536502013554000
COPhillips County,0.0000000000000000000,0.0000000000000000000,0.0997263831159021000
COPitkin County,0.0000000000000000000,0.0000000000000000000,0.0990350709637633000
COProwers County,0.0000000000000000000,0.0000000000000000000,0.0999298398528998000
COPueblo County,0.0000000000000000000,0.0000000000000000000,0.0994731077872031000
CORio Blanco County,0.0000000000000000000,0.0000000000000000000,0.0995675296424547000
CORio Grande County,0.0000000000000000000,0.0000000000000000000,0.0999498285776923000
CORoutt County,0.0000000000000000000,0.0000000000000000000,0.0991880509839878000
COSaguache County,0.0000000000000000000,0.0000000000000000000,0.0999539907666867000
COSan Juan County,0.0000000000000000000,0.0000000000000000000,0.0998683867943915000
COSan Miguel County,0.0000000000000000000,0.0000000000000000000,0.0996150837895420000
COSedgwick County,0.0000000000000000000,0.0000000000000000000,0.0997741234736884000
COSummit County,0.0000000000000000000,0.0000000000000000000,0.0994543171249518000
COTeller County,0.0000000000000000000,0.0000000000000000000,0.0993973381807480000
COWashington County,0.0000000000000000000,0.0000000000000000000,0.0999726117168880000
COWeld County,0.0000000000000000000,0.0000000000000000000,0.0995799666312511000
COYuma County,0.0000000000000000000,0.0000000000000000000,0.0999309475712020000
CTFairfield County,0.0000000000000000000,0.0000000000000000000,0.0968816683468245000
