StateCounty,Unknown,Little or None,Average,Extensive
ARHot Spring County,0.000000000000000000,-0.009361609330099440,0.000000000000000000,0.049437252375205800
ARHoward County,0.000000000000000000,-0.009681059463585770,0.000000000000000000,0.049299563140880600
ARIndependence County,0.000000000000000000,-0.009368752906740000,0.000000000000000000,0.050777109364284400
ARIzard County,0.000000000000000000,-0.009937870632718670,0.000000000000000000,0.050003743513490600
ARJackson County,0.000000000000000000,-0.009031681071074220,0.000000000000000000,0.051021013720609100
ARJefferson County,0.000000000000000000,-0.008908853738280990,0.000000000000000000,0.051282411205562500
ARJohnson County,0.000000000000000000,-0.009724434828904620,0.000000000000000000,0.049559384377626300
ARLafayette County,0.000000000000000000,-0.009625092788697160,0.000000000000000000,0.049596230523878600
ARLawrence County,0.000000000000000000,-0.009285458756959190,0.000000000000000000,0.050872978483195800
ARLee County,0.000000000000000000,-0.008453209765633020,0.000000000000000000,0.048919019144323800
ARLincoln County,0.000000000000000000,-0.008958168053858960,0.000000000000000000,0.051092007981593700
ARLittle River County,0.000000000000000000,-0.009755635635063540,0.000000000000000000,0.049593055752554100
ARLogan County,0.000000000000000000,-0.009702692636685550,0.000000000000000000,0.049549132065781700
ARLonoke County,0.000000000000000000,-0.008897858493077230,0.000000000000000000,0.051045847305228400
ARMadison County,0.000000000000000000,-0.009790262337177500,0.000000000000000000,0.049708204040749300
ARMarion County,0.000000000000000000,-0.009774427122141270,0.000000000000000000,0.049461081644582000
ARMiller County,0.000000000000000000,-0.009583453652977970,0.000000000000000000,0.049180560794512800
ARMississippi County,0.000000000000000000,-0.007033119592305570,0.000000000000000000,0.045124638735464900
ARMonroe County,0.000000000000000000,-0.008423654348673430,0.000000000000000000,0.050395724662889400
ARMontgomery County,0.000000000000000000,-0.009601360965863610,0.000000000000000000,0.049222860996108100
ARNevada County,0.000000000000000000,-0.009523980472219810,0.000000000000000000,0.049064689513552300
ARNewton County,0.000000000000000000,-0.009793261135783160,0.000000000000000000,0.049539493197559500
AROuachita County,0.000000000000000000,-0.009478856104937930,0.000000000000000000,0.050095290374096800
ARPerry County,0.000000000000000000,-0.009372181312054530,0.000000000000000000,0.049933489359806700
ARPhillips County,0.000000000000000000,-0.008556337466051220,0.000000000000000000,0.049326473529657200
ARPike County,0.000000000000000000,-0.009633453089069380,0.000000000000000000,0.049267775940293300
