StateCounty,Unknown,No,Yes
ARHot Spring County,0.00000000000000000,-0.04787163986250290,0.24092506615756300
ARHoward County,0.00000000000000000,-0.04882453673993670,0.24321590970490600
ARIndependence County,0.00000000000000000,-0.04819637460430680,0.24987460535184200
ARIzard County,0.00000000000000000,-0.04980749311570880,0.24946151528746300
ARJackson County,0.00000000000000000,-0.04718552410738160,0.24791925168629600
ARJefferson County,0.00000000000000000,-0.04683402789503280,0.24974745208891500
ARJohnson County,0.00000000000000000,-0.04898221096405300,0.24421422176000000
ARLafayette County,0.00000000000000000,-0.04864307591992170,0.24465371510578500
ARLawrence County,0.00000000000000000,-0.04795151585374540,0.24944937217622700
ARLee County,0.00000000000000000,-0.04477083186841890,0.23285784191496000
ARLincoln County,0.00000000000000000,-0.04694146876696510,0.24925475864311300
ARLittle River County,0.00000000000000000,-0.04910471217981840,0.24471584660113300
ARLogan County,0.00000000000000000,-0.04892821963063980,0.24406058509197600
ARLonoke County,0.00000000000000000,-0.04669743901622820,0.24777721013144700
ARMadison County,0.00000000000000000,-0.04925957074569120,0.24640745937359200
ARMarion County,0.00000000000000000,-0.04917711117503390,0.24419278820505400
ARMiller County,0.00000000000000000,-0.04840463505028190,0.24206495683561100
ARMississippi County,0.00000000000000000,-0.03904670355610000,0.19553129506793600
ARMonroe County,0.00000000000000000,-0.04499293700334170,0.24110843771610700
ARMontgomery County,0.00000000000000000,-0.04850908936113350,0.24124143418119400
ARNevada County,0.00000000000000000,-0.04825145814309920,0.24021659354502600
ARNewton County,0.00000000000000000,-0.04921793295060200,0.24510422411491600
AROuachita County,0.00000000000000000,-0.04838016780176220,0.24628413245031700
ARPerry County,0.00000000000000000,-0.04800173348277660,0.24435361776301600
ARPhillips County,0.00000000000000000,-0.04514195079512020,0.23713804563354400
ARPike County,0.00000000000000000,-0.04867905001993910,0.24363623493920400
ARPoinsett County,0.00000000000000000,-0.03963595696644980,0.19271875433614900
ARPolk County,0.00000000000000000,-0.04939572372656550,0.24453250855500600
ARPope County,0.00000000000000000,-0.04889177227806300,0.24492922607650200
ARPrairie County,0.00000000000000000,-0.04619124786033800,0.24498571174350600
ARPulaski County,0.00000000000000000,-0.04660259148809660,0.24420522458725100
ARRandolph County,0.00000000000000000,-0.04810445821189680,0.24997543828001200
ARSaline County,0.00000000000000000,-0.04695837096921760,0.24416326123515900
ARScott County,0.00000000000000000,-0.04915930467452060,0.24569624654927300
ARSearcy County,0.00000000000000000,-0.04962271679780130,0.24734127335282200
ARSebastian County,0.00000000000000000,-0.04838711812827850,0.24277927994914800
