StateCounty,Unknown,No Signs of Fatigue / Good Maintenance,Few Signs of Fatigue / Average Maintenance,Obvious Signs of Fatigue / Poor Maintenance
COBoulder County,0.000000000000000000,0.000000000000000000,0.049946019806833100,0.099060107971691700
COBroomfield County,0.000000000000000000,0.000000000000000000,0.050185575098326000,0.099173164937635700
COChaffee County,0.000000000000000000,0.000000000000000000,0.049889232968910000,0.099760711709219200
COCheyenne County,0.000000000000000000,0.000000000000000000,0.049982282385853100,0.099962766807415000
COClear Creek County,0.000000000000000000,0.000000000000000000,0.049495415887775000,0.098702537284720800
COConejos County,0.000000000000000000,0.000000000000000000,0.049989001925795100,0.099976187545527400
COCostilla County,0.000000000000000000,0.000000000000000000,0.049988540594236900,0.099976665066155100
COCrowley County,0.000000000000000000,0.000000000000000000,0.049872523320436200,0.099740807406941500
COCuster County,0.000000000000000000,0.000000000000000000,0.049908395068025900,0.099795826234088600
CODelta County,0.000000000000000000,0.000000000000000000,0.049952387230308500,0.099894140517186500
CODenver County,0.000000000000000000,0.000000000000000000,0.032361935883110900,0.063845697393629700
CODolores County,0.000000000000000000,0.000000000000000000,0.049872579727916700,0.099745147868265200
CODouglas County,0.000000000000000000,0.000000000000000000,0.050055064566003400,0.099122712396988000
COEagle County,0.000000000000000000,0.000000000000000000,0.049730609100342200,0.099350851166307900
COEl Paso County,0.000000000000000000,0.000000000000000000,0.049898644081852500,0.099372949825511800
COElbert County,0.000000000000000000,0.000000000000000000,0.049954966184729800,0.099779475453302800
COFremont County,0.000000000000000000,0.000000000000000000,0.049904803160999400,0.099722284069677400
COGarfield County,0.000000000000000000,0.000000000000000000,0.049799749651406000,0.099556407973234700
