state_code,county,state_county,us_ws_cat_limit_zone,us_eq_cat_limit_zone
ID,Caribou County,IDCaribou County,3,3
ID,Cassia County,IDCassia County,3,3
ID,Clark County,IDClark County,3,3
ID,Clearwater County,IDClearwater County,3,3
ID,Custer County,IDCuster County,3,3
ID,Elmore County,IDElmore County,3,3
ID,Franklin County,IDFranklin County,3,3
ID,Fremont County,IDFremont County,3,3
ID,Gem County,IDGem County,3,3
ID,Gooding County,IDGooding County,3,3
ID,Idaho County,IDIdaho County,3,3
ID,Jefferson County,IDJefferson County,3,3
ID,Jerome County,IDJerome County,3,3
ID,Kootenai County,IDKootenai County,3,3
ID,Latah County,IDLatah County,3,3
ID,Lemhi County,IDLemhi County,3,3
ID,Lewis County,IDLewis County,3,3
ID,Lincoln County,IDLincoln County,3,3
ID,Madison County,IDMadison County,3,3
ID,Minidoka County,IDMinidoka County,3,3
ID,Nez Perce County,IDNez Perce County,3,3
ID,Oneida County,IDOneida County,3,3
ID,Owyhee County,IDOwyhee County,3,3
ID,Payette County,IDPayette County,3,3
ID,Power County,IDPower County,3,3
ID,Shoshone County,IDShoshone County,3,3
ID,Teton County,IDTeton County,3,3
ID,Twin Falls County,IDTwin Falls County,3,3
ID,Valley County,IDValley County,3,3
ID,Washington County,IDWashington County,3,3
IL,Adams County,ILAdams County,3,3
IL,Alexander County,ILAlexander County,3,1
IL,Bond County,ILBond County,3,2
IL,Boone County,ILBoone County,3,3
IL,Brown County,ILBrown County,3,3
IL,Bureau County,ILBureau County,3,3
IL,Calhoun County,ILCalhoun County,3,3
IL,Carroll County,ILCarroll County,3,3
IL,Cass County,ILCass County,3,3
IL,Champaign County,ILChampaign County,3,3
IL,Christian County,ILChristian County,3,3
IL,Clark County,ILClark County,3,3
IL,Clay County,ILClay County,3,2
IL,Clinton County,ILClinton County,3,2
IL,Coles County,ILColes County,3,3
IL,Cook County,ILCook County,3,3
IL,Crawford County,ILCrawford County,3,3
IL,Cumberland County,ILCumberland County,3,3
IL,De Witt County,ILDe Witt County,3,3
IL,Dekalb County,ILDekalb County,3,3
IL,Douglas County,ILDouglas County,3,3
IL,Dupage County,ILDupage County,3,3
IL,Edgar County,ILEdgar County,3,3
IL,Edwards County,ILEdwards County,3,2
IL,Effingham County,ILEffingham County,3,3
IL,Fayette County,ILFayette County,3,3
IL,Ford County,ILFord County,3,3
IL,Franklin County,ILFranklin County,3,2
IL,Fulton County,ILFulton County,3,3
IL,Gallatin County,ILGallatin County,3,2
IL,Greene County,ILGreene County,3,3
IL,Grundy County,ILGrundy County,3,3
IL,Hamilton County,ILHamilton County,3,2
IL,Hancock County,ILHancock County,3,3
IL,Hardin County,ILHardin County,3,1
IL,Henderson County,ILHenderson County,3,3
IL,Henry County,ILHenry County,3,3
IL,Iroquois County,ILIroquois County,3,3
IL,Jackson County,ILJackson County,3,1
IL,Jasper County,ILJasper County,3,3
IL,Jefferson County,ILJefferson County,3,2
IL,Jersey County,ILJersey County,3,3
IL,Jo Daviess County,ILJo Daviess County,3,3
IL,Johnson County,ILJohnson County,3,1
IL,Kane County,ILKane County,3,3
IL,Kankakee County,ILKankakee County,3,3
IL,Kendall County,ILKendall County,3,3
IL,Knox County,ILKnox County,3,3
IL,La Salle County,ILLa Salle County,3,3
IL,Lake County,ILLake County,3,3
IL,Lawrence County,ILLawrence County,3,2
IL,Lee County,ILLee County,3,3
IL,Livingston County,ILLivingston County,3,3
IL,Logan County,ILLogan County,3,3
IL,Macon County,ILMacon County,3,3
IL,Macoupin County,ILMacoupin County,3,3
IL,Madison County,ILMadison County,3,2
IL,Marion County,ILMarion County,3,2
IL,Marshall County,ILMarshall County,3,3
IL,Mason County,ILMason County,3,3
IL,Massac County,ILMassac County,3,1
IL,Mcdonough County,ILMcdonough County,3,3
IL,Mchenry County,ILMchenry County,3,3
IL,Mclean County,ILMclean County,3,3
IL,Menard County,ILMenard County,3,3
IL,Mercer County,ILMercer County,3,3
IL,Monroe County,ILMonroe County,3,2
IL,Montgomery County,ILMontgomery County,3,3
IL,Morgan County,ILMorgan County,3,3
IL,Moultrie County,ILMoultrie County,3,3
IL,Ogle County,ILOgle County,3,3
IL,Peoria County,ILPeoria County,3,3
IL,Perry County,ILPerry County,3,2
IL,Piatt County,ILPiatt County,3,3
IL,Pike County,ILPike County,3,3
IL,Pope County,ILPope County,3,1
IL,Pulaski County,ILPulaski County,3,1
IL,Putnam County,ILPutnam County,3,3
IL,Randolph County,ILRandolph County,3,2
IL,Richland County,ILRichland County,3,2
IL,Rock Island County,ILRock Island County,3,3
IL,Saline County,ILSaline County,3,2
IL,Sangamon County,ILSangamon County,3,3
IL,Schuyler County,ILSchuyler County,3,3
IL,Scott County,ILScott County,3,3
IL,Shelby County,ILShelby County,3,3
IL,St. Clair County,ILSt. Clair County,3,2
IL,Stark County,ILStark County,3,3
IL,Stephenson County,ILStephenson County,3,3
IL,Tazewell County,ILTazewell County,3,3
IL,Union County,ILUnion County,3,1
IL,Vermilion County,ILVermilion County,3,3
IL,Wabash County,ILWabash County,3,2
IL,Warren County,ILWarren County,3,3
IL,Washington County,ILWashington County,3,2
IL,Wayne County,ILWayne County,3,2
IL,White County,ILWhite County,3,2
IL,Whiteside County,ILWhiteside County,3,3
IL,Will County,ILWill County,3,3
IL,Williamson County,ILWilliamson County,3,1
IL,Winnebago County,ILWinnebago County,3,3
IL,Woodford County,ILWoodford County,3,3
IN,Adams County,INAdams County,3,3
IN,Allen County,INAllen County,3,3
IN,Bartholomew County,INBartholomew County,3,3
IN,Benton County,INBenton County,3,3
IN,Blackford County,INBlackford County,3,3
IN,Boone County,INBoone County,3,3
IN,Brown County,INBrown County,3,3
IN,Carroll County,INCarroll County,3,3
IN,Cass County,INCass County,3,3
IN,Clark County,INClark County,3,3
IN,Clay County,INClay County,3,3
IN,Clinton County,INClinton County,3,3
IN,Crawford County,INCrawford County,3,2
IN,Daviess County,INDaviess County,3,2
IN,Dearborn County,INDearborn County,3,3
IN,Decatur County,INDecatur County,3,3
IN,Dekalb County,INDekalb County,3,3
IN,Delaware County,INDelaware County,3,3
IN,Dubois County,INDubois County,3,2
IN,Elkhart County,INElkhart County,3,3
IN,Fayette County,INFayette County,3,3
IN,Floyd County,INFloyd County,3,3
IN,Fountain County,INFountain County,3,3
IN,Franklin County,INFranklin County,3,3
IN,Fulton County,INFulton County,3,3
IN,Gibson County,INGibson County,3,2
IN,Grant County,INGrant County,3,3
IN,Greene County,INGreene County,3,2
IN,Hamilton County,INHamilton County,3,3
IN,Hancock County,INHancock County,3,3
IN,Harrison County,INHarrison County,3,3
IN,Hendricks County,INHendricks County,3,3
IN,Henry County,INHenry County,3,3
IN,Howard County,INHoward County,3,3
IN,Huntington County,INHuntington County,3,3
IN,Jackson County,INJackson County,3,3
IN,Jasper County,INJasper County,3,3
IN,Jay County,INJay County,3,3
IN,Jefferson County,INJefferson County,3,3
IN,Jennings County,INJennings County,3,3
IN,Johnson County,INJohnson County,3,3
IN,Knox County,INKnox County,3,2
IN,Kosciusko County,INKosciusko County,3,3
IN,Lagrange County,INLagrange County,3,3
IN,Lake County,INLake County,3,3
IN,Laporte County,INLaporte County,3,3
IN,Lawrence County,INLawrence County,3,2
IN,Madison County,INMadison County,3,3
IN,Marion County,INMarion County,3,3
IN,Marshall County,INMarshall County,3,3
IN,Martin County,INMartin County,3,2
IN,Miami County,INMiami County,3,3
IN,Monroe County,INMonroe County,3,3
IN,Montgomery County,INMontgomery County,3,3
IN,Morgan County,INMorgan County,3,3
IN,Newton County,INNewton County,3,3
IN,Noble County,INNoble County,3,3
IN,Ohio County,INOhio County,3,3
IN,Orange County,INOrange County,3,2
IN,Owen County,INOwen County,3,3
IN,Parke County,INParke County,3,3
IN,Perry County,INPerry County,3,2
IN,Pike County,INPike County,3,2
IN,Porter County,INPorter County,3,3
IN,Posey County,INPosey County,3,2
IN,Pulaski County,INPulaski County,3,3
IN,Putnam County,INPutnam County,3,3
IN,Randolph County,INRandolph County,3,3
IN,Ripley County,INRipley County,3,3
IN,Rush County,INRush County,3,3
IN,Scott County,INScott County,3,3
IN,Shelby County,INShelby County,3,3
IN,Spencer County,INSpencer County,3,2
IN,St. Joseph County,INSt. Joseph County,3,3
IN,Starke County,INStarke County,3,3
IN,Steuben County,INSteuben County,3,3
IN,Sullivan County,INSullivan County,3,2
IN,Switzerland County,INSwitzerland County,3,3
IN,Tippecanoe County,INTippecanoe County,3,3
IN,Tipton County,INTipton County,3,3
IN,Union County,INUnion County,3,3
IN,Vanderburgh County,INVanderburgh County,3,2
IN,Vermillion County,INVermillion County,3,3
IN,Vigo County,INVigo County,3,3
IN,Wabash County,INWabash County,3,3
IN,Warren County,INWarren County,3,3
IN,Warrick County,INWarrick County,3,2
IN,Washington County,INWashington County,3,3
IN,Wayne County,INWayne County,3,3
IN,Wells County,INWells County,3,3
IN,White County,INWhite County,3,3
IN,Whitley County,INWhitley County,3,3
KS,Allen County,KSAllen County,3,3
KS,Anderson County,KSAnderson County,3,3
KS,Atchison County,KSAtchison County,3,3
KS,Barber County,KSBarber County,3,3
KS,Barton County,KSBarton County,3,3
KS,Bourbon County,KSBourbon County,3,3
KS,Brown County,KSBrown County,3,3
KS,Butler County,KSButler County,3,3
KS,Chase County,KSChase County,3,3
KS,Chautauqua County,KSChautauqua County,3,3
KS,Cherokee County,KSCherokee County,3,3
KS,Cheyenne County,KSCheyenne County,3,3
KS,Clark County,KSClark County,3,3
KS,Clay County,KSClay County,3,3
KS,Cloud County,KSCloud County,3,3
KS,Coffey County,KSCoffey County,3,3
KS,Comanche County,KSComanche County,3,3
KS,Cowley County,KSCowley County,3,3
KS,Crawford County,KSCrawford County,3,3
KS,Decatur County,KSDecatur County,3,3
KS,Dickinson County,KSDickinson County,3,3
KS,Doniphan County,KSDoniphan County,3,3
KS,Douglas County,KSDouglas County,3,3
KS,Edwards County,KSEdwards County,3,3
KS,Elk County,KSElk County,3,3
KS,Ellis County,KSEllis County,3,3
KS,Ellsworth County,KSEllsworth County,3,3
KS,Finney County,KSFinney County,3,3
KS,Ford County,KSFord County,3,3
KS,Franklin County,KSFranklin County,3,3
KS,Geary County,KSGeary County,3,3
KS,Gove County,KSGove County,3,3
KS,Graham County,KSGraham County,3,3
KS,Grant County,KSGrant County,3,3
KS,Gray County,KSGray County,3,3
KS,Greeley County,KSGreeley County,3,3
KS,Greenwood County,KSGreenwood County,3,3
KS,Hamilton County,KSHamilton County,3,3
KS,Harper County,KSHarper County,3,3
KS,Harvey County,KSHarvey County,3,3
KS,Haskell County,KSHaskell County,3,3
KS,Hodgeman County,KSHodgeman County,3,3
KS,Jackson County,KSJackson County,3,3
KS,Jefferson County,KSJefferson County,3,3
KS,Jewell County,KSJewell County,3,3
KS,Johnson County,KSJohnson County,3,3
KS,Kearny County,KSKearny County,3,3
KS,Kingman County,KSKingman County,3,3
KS,Kiowa County,KSKiowa County,3,3
KS,Labette County,KSLabette County,3,3
KS,Lane County,KSLane County,3,3
KS,Leavenworth County,KSLeavenworth County,3,3
KS,Lincoln County,KSLincoln County,3,3
KS,Linn County,KSLinn County,3,3
KS,Logan County,KSLogan County,3,3
KS,Lyon County,KSLyon County,3,3
KS,Marion County,KSMarion County,3,3
KS,Marshall County,KSMarshall County,3,3
KS,Mcpherson County,KSMcpherson County,3,3
KS,Meade County,KSMeade County,3,3
KS,Miami County,KSMiami County,3,3
KS,Mitchell County,KSMitchell County,3,3
KS,Montgomery County,KSMontgomery County,3,3
KS,Morris County,KSMorris County,3,3
KS,Morton County,KSMorton County,3,3
KS,Nemaha County,KSNemaha County,3,3
KS,Neosho County,KSNeosho County,3,3
KS,Ness County,KSNess County,3,3
KS,Norton County,KSNorton County,3,3
KS,Osage County,KSOsage County,3,3
KS,Osborne County,KSOsborne County,3,3
KS,Ottawa County,KSOttawa County,3,3
KS,Pawnee County,KSPawnee County,3,3
KS,Phillips County,KSPhillips County,3,3
KS,Pottawatomie County,KSPottawatomie County,3,3
KS,Pratt County,KSPratt County,3,3
KS,Rawlins County,KSRawlins County,3,3
KS,Reno County,KSReno County,3,3
KS,Republic County,KSRepublic County,3,3
KS,Rice County,KSRice County,3,3
KS,Riley County,KSRiley County,3,3
KS,Rooks County,KSRooks County,3,3
KS,Rush County,KSRush County,3,3
KS,Russell County,KSRussell County,3,3
KS,Saline County,KSSaline County,3,3
KS,Scott County,KSScott County,3,3
KS,Sedgwick County,KSSedgwick County,3,3
KS,Seward County,KSSeward County,3,3
KS,Shawnee County,KSShawnee County,3,3
KS,Sheridan County,KSSheridan County,3,3
KS,Sherman County,KSSherman County,3,3
KS,Smith County,KSSmith County,3,3
KS,Stafford County,KSStafford County,3,3
KS,Stanton County,KSStanton County,3,3
KS,Stevens County,KSStevens County,3,3
KS,Sumner County,KSSumner County,3,3
KS,Thomas County,KSThomas County,3,3
KS,Trego County,KSTrego County,3,3
KS,Wabaunsee County,KSWabaunsee County,3,3
KS,Wallace County,KSWallace County,3,3
KS,Washington County,KSWashington County,3,3
KS,Wichita County,KSWichita County,3,3
KS,Wilson County,KSWilson County,3,3
KS,Woodson County,KSWoodson County,3,3
KS,Wyandotte County,KSWyandotte County,3,3
KY,Adair County,KYAdair County,3,3
KY,Allen County,KYAllen County,3,3
KY,Anderson County,KYAnderson County,3,3
KY,Ballard County,KYBallard County,3,1
KY,Barren County,KYBarren County,3,3
KY,Bath County,KYBath County,3,3
KY,Bell County,KYBell County,3,3
KY,Boone County,KYBoone County,3,3
KY,Bourbon County,KYBourbon County,3,3
KY,Boyd County,KYBoyd County,3,3
KY,Boyle County,KYBoyle County,3,3
KY,Bracken County,KYBracken County,3,3
KY,Breathitt County,KYBreathitt County,3,3
KY,Breckinridge County,KYBreckinridge County,3,2
KY,Bullitt County,KYBullitt County,3,3
KY,Butler County,KYButler County,3,2
KY,Caldwell County,KYCaldwell County,3,2
KY,Calloway County,KYCalloway County,3,1
KY,Campbell County,KYCampbell County,3,3
KY,Carlisle County,KYCarlisle County,3,1
KY,Carroll County,KYCarroll County,3,3
KY,Carter County,KYCarter County,3,3
KY,Casey County,KYCasey County,3,3
KY,Christian County,KYChristian County,3,2
KY,Clark County,KYClark County,3,3
KY,Clay County,KYClay County,3,3
KY,Clinton County,KYClinton County,3,3
KY,Crittenden County,KYCrittenden County,3,2
KY,Cumberland County,KYCumberland County,3,3
KY,Daviess County,KYDaviess County,3,2
KY,Edmonson County,KYEdmonson County,3,3
KY,Elliott County,KYElliott County,3,3
KY,Estill County,KYEstill County,3,3
KY,Fayette County,KYFayette County,3,3
KY,Fleming County,KYFleming County,3,3
KY,Floyd County,KYFloyd County,3,3
KY,Franklin County,KYFranklin County,3,3
KY,Fulton County,KYFulton County,3,1
KY,Gallatin County,KYGallatin County,3,3
KY,Garrard County,KYGarrard County,3,3
KY,Grant County,KYGrant County,3,3
KY,Graves County,KYGraves County,3,1
KY,Grayson County,KYGrayson County,3,3
KY,Green County,KYGreen County,3,3
KY,Greenup County,KYGreenup County,3,3
KY,Hancock County,KYHancock County,3,2
KY,Hardin County,KYHardin County,3,3
KY,Harlan County,KYHarlan County,3,3
KY,Harrison County,KYHarrison County,3,3
KY,Hart County,KYHart County,3,3
KY,Henderson County,KYHenderson County,3,2
KY,Henry County,KYHenry County,3,3
KY,Hickman County,KYHickman County,3,1
KY,Hopkins County,KYHopkins County,3,2
KY,Jackson County,KYJackson County,3,3
KY,Jefferson County,KYJefferson County,3,3
KY,Jessamine County,KYJessamine County,3,3
KY,Johnson County,KYJohnson County,3,3
KY,Kenton County,KYKenton County,3,3
KY,Knott County,KYKnott County,3,3
KY,Knox County,KYKnox County,3,3
KY,Larue County,KYLarue County,3,3
KY,Laurel County,KYLaurel County,3,3
KY,Lawrence County,KYLawrence County,3,3
KY,Lee County,KYLee County,3,3
KY,Leslie County,KYLeslie County,3,3
KY,Letcher County,KYLetcher County,3,3
KY,Lewis County,KYLewis County,3,3
KY,Lincoln County,KYLincoln County,3,3
KY,Livingston County,KYLivingston County,3,2
KY,Logan County,KYLogan County,3,2
KY,Lyon County,KYLyon County,3,2
KY,Madison County,KYMadison County,3,3
KY,Magoffin County,KYMagoffin County,3,3
KY,Marion County,KYMarion County,3,3
KY,Marshall County,KYMarshall County,3,1
KY,Martin County,KYMartin County,3,3
KY,Mason County,KYMason County,3,3
KY,Mccracken County,KYMccracken County,3,1
KY,Mccreary County,KYMccreary County,3,3
KY,Mclean County,KYMclean County,3,2
KY,Meade County,KYMeade County,3,3
KY,Menifee County,KYMenifee County,3,3
KY,Mercer County,KYMercer County,3,3
KY,Metcalfe County,KYMetcalfe County,3,3
KY,Monroe County,KYMonroe County,3,3
KY,Montgomery County,KYMontgomery County,3,3
KY,Morgan County,KYMorgan County,3,3
KY,Muhlenberg County,KYMuhlenberg County,3,2
KY,Nelson County,KYNelson County,3,3
KY,Nicholas County,KYNicholas County,3,3
KY,Ohio County,KYOhio County,3,2
KY,Oldham County,KYOldham County,3,3
KY,Owen County,KYOwen County,3,3
KY,Owsley County,KYOwsley County,3,3
KY,Pendleton County,KYPendleton County,3,3
KY,Perry County,KYPerry County,3,3
KY,Pike County,KYPike County,3,3
KY,Powell County,KYPowell County,3,3
KY,Pulaski County,KYPulaski County,3,3
KY,Robertson County,KYRobertson County,3,3
KY,Rockcastle County,KYRockcastle County,3,3
KY,Rowan County,KYRowan County,3,3
KY,Russell County,KYRussell County,3,3
KY,Scott County,KYScott County,3,3
KY,Shelby County,KYShelby County,3,3
KY,Simpson County,KYSimpson County,3,2
KY,Spencer County,KYSpencer County,3,3
KY,Taylor County,KYTaylor County,3,3
KY,Todd County,KYTodd County,3,2
KY,Trigg County,KYTrigg County,3,2
KY,Trimble County,KYTrimble County,3,3
KY,Union County,KYUnion County,3,2
KY,Warren County,KYWarren County,3,2
KY,Washington County,KYWashington County,3,3
KY,Wayne County,KYWayne County,3,3
KY,Webster County,KYWebster County,3,2
KY,Whitley County,KYWhitley County,3,3
KY,Wolfe County,KYWolfe County,3,3
KY,Woodford County,KYWoodford County,3,3
LA,Acadia Parish,LAAcadia Parish,1,3
LA,Allen Parish,LAAllen Parish,2,3
LA,Ascension Parish,LAAscension Parish,1,3
LA,Assumption Parish,LAAssumption Parish,1,3
LA,Avoyelles Parish,LAAvoyelles Parish,3,3
LA,Beauregard Parish,LABeauregard Parish,2,3
LA,Bienville Parish,LABienville Parish,3,3
LA,Bossier Parish,LABossier Parish,3,3
LA,Caddo Parish,LACaddo Parish,3,3
LA,Calcasieu Parish,LACalcasieu Parish,1,3
LA,Caldwell Parish,LACaldwell Parish,3,3
LA,Cameron Parish,LACameron Parish,1,3
LA,Catahoula Parish,LACatahoula Parish,3,3
LA,Claiborne Parish,LAClaiborne Parish,3,3
LA,Concordia Parish,LAConcordia Parish,3,3
LA,De Soto Parish,LADe Soto Parish,3,3
LA,East Baton Rouge Parish,LAEast Baton Rouge Parish,2,3
LA,East Carroll Parish,LAEast Carroll Parish,3,3
LA,East Feliciana Parish,LAEast Feliciana Parish,2,3
LA,Evangeline Parish,LAEvangeline Parish,2,3
LA,Franklin Parish,LAFranklin Parish,3,3
LA,Grant Parish,LAGrant Parish,3,3
LA,Iberia Parish,LAIberia Parish,1,3
LA,Iberville Parish,LAIberville Parish,1,3
LA,Jackson Parish,LAJackson Parish,3,3
LA,Jefferson Davis Parish,LAJefferson Davis Parish,1,3
LA,Jefferson Parish,LAJefferson Parish,1,3
LA,La Salle Parish,LALa Salle Parish,3,3
LA,Lafayette Parish,LALafayette Parish,1,3
LA,Lafourche Parish,LALafourche Parish,1,3
LA,Lincoln Parish,LALincoln Parish,3,3
LA,Livingston Parish,LALivingston Parish,1,3
LA,Madison Parish,LAMadison Parish,3,3
LA,Morehouse Parish,LAMorehouse Parish,3,3
LA,Natchitoches Parish,LANatchitoches Parish,3,3
LA,Orleans Parish,LAOrleans Parish,1,3
LA,Ouachita Parish,LAOuachita Parish,3,3
LA,Plaquemines Parish,LAPlaquemines Parish,1,3
LA,Pointe Coupee Parish,LAPointe Coupee Parish,2,3
LA,Rapides Parish,LARapides Parish,3,3
LA,Red River Parish,LARed River Parish,3,3
LA,Richland Parish,LARichland Parish,3,3
LA,Sabine Parish,LASabine Parish,3,3
LA,St. Bernard Parish,LASt. Bernard Parish,1,3
LA,St. Charles Parish,LASt. Charles Parish,1,3
LA,St. Helena Parish,LASt. Helena Parish,2,3
LA,St. James Parish,LASt. James Parish,1,3
LA,St. John The Baptist Parish,LASt. John The Baptist Parish,1,3
LA,St. Landry Parish,LASt. Landry Parish,2,3
LA,St. Martin Parish,LASt. Martin Parish,1,3
LA,St. Mary Parish,LASt. Mary Parish,1,3
LA,St. Tammany Parish,LASt. Tammany Parish,1,3
LA,Tangipahoa Parish,LATangipahoa Parish,1,3
LA,Tensas Parish,LATensas Parish,3,3
LA,Terrebonne Parish,LATerrebonne Parish,1,3
LA,Union Parish,LAUnion Parish,3,3
LA,Vermilion Parish,LAVermilion Parish,1,3
LA,Vernon Parish,LAVernon Parish,3,3
LA,Washington Parish,LAWashington Parish,1,3
LA,Webster Parish,LAWebster Parish,3,3
LA,West Baton Rouge Parish,LAWest Baton Rouge Parish,2,3
LA,West Carroll Parish,LAWest Carroll Parish,3,3
LA,West Feliciana Parish,LAWest Feliciana Parish,2,3
LA,Winn Parish,LAWinn Parish,3,3
MA,Barnstable County,MABarnstable County,1,3
MA,Berkshire County,MABerkshire County,3,3
MA,Bristol County,MABristol County,1,3
MA,Dukes County,MADukes County,1,3
MA,Essex County,MAEssex County,1,3
MA,Franklin County,MAFranklin County,3,3
MA,Hampden County,MAHampden County,3,3
MA,Hampshire County,MAHampshire County,3,3
MA,Middlesex County,MAMiddlesex County,2,3
MA,Nantucket County,MANantucket County,1,3
MA,Norfolk County,MANorfolk County,1,3
MA,Plymouth County,MAPlymouth County,1,3
MA,Suffolk County,MASuffolk County,1,3
MA,Worcester County,MAWorcester County,2,3
MD,Allegany County,MDAllegany County,3,3
MD,Anne Arundel County,MDAnne Arundel County,2,3
MD,Baltimore City,MDBaltimore City,2,3
MD,Baltimore County,MDBaltimore County,2,3
MD,Calvert County,MDCalvert County,2,3
MD,Caroline County,MDCaroline County,2,3
MD,Carroll County,MDCarroll County,2,3
MD,Cecil County,MDCecil County,2,3
MD,Charles County,MDCharles County,2,3
MD,Dorchester County,MDDorchester County,2,3
MD,Frederick County,MDFrederick County,2,3
MD,Garrett County,MDGarrett County,3,3
MD,Harford County,MDHarford County,2,3
MD,Howard County,MDHoward County,2,3
MD,Kent County,MDKent County,2,3
MD,Montgomery County,MDMontgomery County,2,3
MD,Prince George's County,MDPrince George's County,2,3
MD,Queen Anne's County,MDQueen Anne's County,2,3
MD,Somerset County,MDSomerset County,1,3
MD,St. Mary's County,MDSt. Mary's County,2,3
MD,Talbot County,MDTalbot County,2,3
MD,Washington County,MDWashington County,3,3
MD,Wicomico County,MDWicomico County,1,3
MD,Worcester County,MDWorcester County,1,3
ME,Androscoggin County,MEAndroscoggin County,3,3
ME,Aroostook County,MEAroostook County,3,3
ME,Cumberland County,MECumberland County,3,3
ME,Franklin County,MEFranklin County,3,3
ME,Hancock County,MEHancock County,3,3
ME,Kennebec County,MEKennebec County,3,3
ME,Knox County,MEKnox County,3,3
ME,Lincoln County,MELincoln County,3,3
ME,Oxford County,MEOxford County,3,3
ME,Penobscot County,MEPenobscot County,3,3
ME,Piscataquis County,MEPiscataquis County,3,3
ME,Sagadahoc County,MESagadahoc County,3,3
ME,Somerset County,MESomerset County,3,3
ME,Waldo County,MEWaldo County,3,3
ME,Washington County,MEWashington County,3,3
ME,York County,MEYork County,3,3
MI,Alcona County,MIAlcona County,3,3
MI,Alger County,MIAlger County,3,3
MI,Allegan County,MIAllegan County,3,3
MI,Alpena County,MIAlpena County,3,3
MI,Antrim County,MIAntrim County,3,3
MI,Arenac County,MIArenac County,3,3
MI,Baraga County,MIBaraga County,3,3
MI,Barry County,MIBarry County,3,3
MI,Bay County,MIBay County,3,3
MI,Benzie County,MIBenzie County,3,3
MI,Berrien County,MIBerrien County,3,3
MI,Branch County,MIBranch County,3,3
MI,Calhoun County,MICalhoun County,3,3
MI,Cass County,MICass County,3,3
MI,Charlevoix County,MICharlevoix County,3,3
MI,Cheboygan County,MICheboygan County,3,3
MI,Chippewa County,MIChippewa County,3,3
MI,Clare County,MIClare County,3,3
MI,Clinton County,MIClinton County,3,3
MI,Crawford County,MICrawford County,3,3
MI,Delta County,MIDelta County,3,3
MI,Dickinson County,MIDickinson County,3,3
MI,Eaton County,MIEaton County,3,3
MI,Emmet County,MIEmmet County,3,3
MI,Genesee County,MIGenesee County,3,3
MI,Gladwin County,MIGladwin County,3,3
MI,Gogebic County,MIGogebic County,3,3
MI,Grand Traverse County,MIGrand Traverse County,3,3
MI,Gratiot County,MIGratiot County,3,3
MI,Hillsdale County,MIHillsdale County,3,3
MI,Houghton County,MIHoughton County,3,3
MI,Huron County,MIHuron County,3,3
MI,Ingham County,MIIngham County,3,3
MI,Ionia County,MIIonia County,3,3
MI,Iosco County,MIIosco County,3,3
MI,Iron County,MIIron County,3,3
MI,Isabella County,MIIsabella County,3,3
MI,Jackson County,MIJackson County,3,3
MI,Kalamazoo County,MIKalamazoo County,3,3
MI,Kalkaska County,MIKalkaska County,3,3
MI,Kent County,MIKent County,3,3
MI,Keweenaw County,MIKeweenaw County,3,3
MI,Lake County,MILake County,3,3
MI,Lapeer County,MILapeer County,3,3
MI,Leelanau County,MILeelanau County,3,3
MI,Lenawee County,MILenawee County,3,3
MI,Livingston County,MILivingston County,3,3
MI,Luce County,MILuce County,3,3
MI,Mackinac County,MIMackinac County,3,3
MI,Macomb County,MIMacomb County,3,3
MI,Manistee County,MIManistee County,3,3
MI,Marquette County,MIMarquette County,3,3
MI,Mason County,MIMason County,3,3
MI,Mecosta County,MIMecosta County,3,3
MI,Menominee County,MIMenominee County,3,3
MI,Midland County,MIMidland County,3,3
MI,Missaukee County,MIMissaukee County,3,3
MI,Monroe County,MIMonroe County,3,3
MI,Montcalm County,MIMontcalm County,3,3
MI,Montmorency County,MIMontmorency County,3,3
MI,Muskegon County,MIMuskegon County,3,3
MI,Newaygo County,MINewaygo County,3,3
MI,Oakland County,MIOakland County,3,3
MI,Oceana County,MIOceana County,3,3
MI,Ogemaw County,MIOgemaw County,3,3
MI,Ontonagon County,MIOntonagon County,3,3
MI,Osceola County,MIOsceola County,3,3
MI,Oscoda County,MIOscoda County,3,3
MI,Otsego County,MIOtsego County,3,3
MI,Ottawa County,MIOttawa County,3,3
MI,Presque Isle County,MIPresque Isle County,3,3
MI,Roscommon County,MIRoscommon County,3,3
MI,Saginaw County,MISaginaw County,3,3
MI,Sanilac County,MISanilac County,3,3
MI,Schoolcraft County,MISchoolcraft County,3,3
MI,Shiawassee County,MIShiawassee County,3,3
MI,St. Clair County,MISt. Clair County,3,3
MI,St. Joseph County,MISt. Joseph County,3,3
MI,Tuscola County,MITuscola County,3,3
MI,Van Buren County,MIVan Buren County,3,3
MI,Washtenaw County,MIWashtenaw County,3,3
MI,Wayne County,MIWayne County,3,3
MI,Wexford County,MIWexford County,3,3
MN,Aitkin County,MNAitkin County,3,3
MN,Anoka County,MNAnoka County,3,3
MN,Becker County,MNBecker County,3,3
MN,Beltrami County,MNBeltrami County,3,3
MN,Benton County,MNBenton County,3,3
MN,Big Stone County,MNBig Stone County,3,3
MN,Blue Earth County,MNBlue Earth County,3,3
MN,Brown County,MNBrown County,3,3
MN,Carlton County,MNCarlton County,3,3
MN,Carver County,MNCarver County,3,3
MN,Cass County,MNCass County,3,3
MN,Chippewa County,MNChippewa County,3,3
MN,Chisago County,MNChisago County,3,3
MN,Clay County,MNClay County,3,3
