Zip,State,County,Wildfire,Flood,Tornado,Hail
01050,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01053,MA,HAMPSHIRE COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
01054,MA,FRANKLIN COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01056,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01057,MA,HAMPDEN COUNTY,1,8,0.2 - 0.35,0.1 - 0.2
01059,MA,HAMPSHIRE COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
01060,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01061,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01062,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01063,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01066,MA,HAMPSHIRE COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
01068,MA,WORCESTER COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01069,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01070,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01071,MA,HAMPDEN COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
01072,MA,FRANKLIN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01073,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01074,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01075,MA,HAMPSHIRE COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01077,MA,HAMPDEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01079,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01080,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01081,MA,HAMPDEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01082,MA,HAMPSHIRE COUNTY,1,6,0.2 - 0.35,0.1 - 0.2
01083,MA,WORCESTER COUNTY,1,9,0.2 - 0.35,0.1 - 0.2
01084,MA,HAMPSHIRE COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
01085,MA,HAMPDEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01086,MA,HAMPDEN COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
01088,MA,HAMPSHIRE COUNTY,1,9,0.1 - 0.2,0.1 - 0.2
01089,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01090,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01092,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01093,MA,FRANKLIN COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01094,MA,WORCESTER COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01095,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01096,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01097,MA,HAMPDEN COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
01098,MA,HAMPSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01101,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01102,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01103,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01104,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01105,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01106,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01107,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01108,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01109,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01111,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01114,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01115,MA,HAMPDEN COUNTY,1,5,0.2 - 0.35,0.1 - 0.2
01116,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01118,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01119,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01128,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01129,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01133,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01138,MA,HAMPDEN COUNTY,1,4,0.2 - 0.35,0.1 - 0.2
01139,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01144,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01151,MA,HAMPDEN COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01152,MA,HAMPDEN COUNTY,1,1,0.2 - 0.35,0.1 - 0.2
01195,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01199,MA,HAMPDEN COUNTY,1,3,0.2 - 0.35,0.1 - 0.2
01201,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01202,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01203,MA,BERKSHIRE COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
01220,MA,BERKSHIRE COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
01222,MA,BERKSHIRE COUNTY,1,2,0.2 - 0.35,0.1 - 0.2
01223,MA,BERKSHIRE COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
01224,MA,BERKSHIRE COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
01225,MA,BERKSHIRE COUNTY,1,9,0.1 - 0.2,0.1 - 0.2
01226,MA,BERKSHIRE COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
01227,MA,BERKSHIRE COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
