StateCounty,FL Buildings,FL Contents,FL BI
FLOrange County,0.000153,0.000153,0.000153
FLOsceola County,0.000153,0.000153,0.000153
FLPalm Beach County,0.000153,0.000153,0.000153
FLPasco County,0.000153,0.000153,0.000153
FLPinellas County,0.000153,0.000153,0.000153
FLPolk County,0.000153,0.000153,0.000153
FLPutnam County,0.000153,0.000153,0.000153
FLSanta Rosa County,0.000153,0.000153,0.000153
FLSarasota County,0.000153,0.000153,0.000153
FLSeminole County,0.000153,0.000153,0.000153
FLSt. Johns County,0.000153,0.000153,0.000153
FLSt. Lucie County,0.000153,0.000153,0.000153
FLSumter County,0.000153,0.000153,0.000153
FLSuwannee County,0.000153,0.000153,0.000153
FLTaylor County,0.000153,0.000153,0.000153
FLUnion County,0.000153,0.000153,0.000153
FLVolusia County,0.000153,0.000153,0.000153
FLWakulla County,0.000153,0.000153,0.000153
FLWalton County,0.000153,0.000153,0.000153
FLWashington County,0.000153,0.000153,0.000153
GAAppling County,0.000273,0.000273,0.000273
GAAtkinson County,0.000273,0.000273,0.000273
GABacon County,0.000273,0.000273,0.000273
GABaker County,0.000273,0.000273,0.000273
GABaldwin County,0.000273,0.000273,0.000273
GABanks County,0.000273,0.000273,0.000273
GABarrow County,0.000273,0.000273,0.000273
GABartow County,0.000273,0.000273,0.000273
GABen Hill County,0.000273,0.000273,0.000273
GABerrien County,0.000273,0.000273,0.000273
GABibb County,0.000273,0.000273,0.000273
GABleckley County,0.000273,0.000273,0.000273
GABrantley County,0.000273,0.000273,0.000273
GABrooks County,0.000273,0.000273,0.000273
GABryan County,0.000273,0.000273,0.000273
GABulloch County,0.000273,0.000273,0.000273
GABurke County,0.000273,0.000273,0.000273
GAButts County,0.000273,0.000273,0.000273
GACalhoun County,0.000273,0.000273,0.000273
GACamden County,0.000273,0.000273,0.000273
GACandler County,0.000273,0.000273,0.000273
GACarroll County,0.000273,0.000273,0.000273
GACatoosa County,0.000273,0.000273,0.000273
GACharlton County,0.000273,0.000273,0.000273
GAChatham County,0.000273,0.000273,0.000273
GAChattahoochee County,0.000273,0.000273,0.000273
GAChattooga County,0.000273,0.000273,0.000273
GACherokee County,0.000273,0.000273,0.000273
GAClarke County,0.000273,0.000273,0.000273
GAClay County,0.000273,0.000273,0.000273
GAClayton County,0.000273,0.000273,0.000273
GAClinch County,0.000273,0.000273,0.000273
GACobb County,0.000273,0.000273,0.000273
GACoffee County,0.000273,0.000273,0.000273
GAColquitt County,0.000273,0.000273,0.000273
GAColumbia County,0.000273,0.000273,0.000273
GACook County,0.000273,0.000273,0.000273
GACoweta County,0.000273,0.000273,0.000273
GACrawford County,0.000273,0.000273,0.000273
GACrisp County,0.000273,0.000273,0.000273
GADade County,0.000273,0.000273,0.000273
GADawson County,0.000273,0.000273,0.000273
GADecatur County,0.000273,0.000273,0.000273
GADekalb County,0.000273,0.000273,0.000273
GADodge County,0.000273,0.000273,0.000273
GADooly County,0.000273,0.000273,0.000273
GADougherty County,0.000273,0.000273,0.000273
GADouglas County,0.000273,0.000273,0.000273
GAEarly County,0.000273,0.000273,0.000273
GAEchols County,0.000273,0.000273,0.000273
GAEffingham County,0.000273,0.000273,0.000273
GAElbert County,0.000273,0.000273,0.000273
GAEmanuel County,0.000273,0.000273,0.000273
GAEvans County,0.000273,0.000273,0.000273
GAFannin County,0.000273,0.000273,0.000273
GAFayette County,0.000273,0.000273,0.000273
GAFloyd County,0.000273,0.000273,0.000273
GAForsyth County,0.000273,0.000273,0.000273
GAFranklin County,0.000273,0.000273,0.000273
GAFulton County,0.000273,0.000273,0.000273
GAGilmer County,0.000273,0.000273,0.000273
GAGlascock County,0.000273,0.000273,0.000273
GAGlynn County,0.000273,0.000273,0.000273
GAGordon County,0.000273,0.000273,0.000273
GAGrady County,0.000273,0.000273,0.000273
GAGreene County,0.000273,0.000273,0.000273
GAGwinnett County,0.000273,0.000273,0.000273
GAHabersham County,0.000273,0.000273,0.000273
GAHall County,0.000273,0.000273,0.000273
GAHancock County,0.000273,0.000273,0.000273
GAHaralson County,0.000273,0.000273,0.000273
GAHarris County,0.000273,0.000273,0.000273
GAHart County,0.000273,0.000273,0.000273
GAHeard County,0.000273,0.000273,0.000273
GAHenry County,0.000273,0.000273,0.000273
GAHouston County,0.000273,0.000273,0.000273
GAIrwin County,0.000273,0.000273,0.000273
GAJackson County,0.000273,0.000273,0.000273
GAJasper County,0.000273,0.000273,0.000273
GAJeff Davis County,0.000273,0.000273,0.000273
GAJefferson County,0.000273,0.000273,0.000273
GAJenkins County,0.000273,0.000273,0.000273
GAJohnson County,0.000273,0.000273,0.000273
GAJones County,0.000273,0.000273,0.000273
GALamar County,0.000273,0.000273,0.000273
GALanier County,0.000273,0.000273,0.000273
GALaurens County,0.000273,0.000273,0.000273
GALee County,0.000273,0.000273,0.000273
GALiberty County,0.000273,0.000273,0.000273
GALincoln County,0.000273,0.000273,0.000273
GALong County,0.000273,0.000273,0.000273
GALowndes County,0.000273,0.000273,0.000273
GALumpkin County,0.000273,0.000273,0.000273
GAMacon County,0.000273,0.000273,0.000273
GAMadison County,0.000273,0.000273,0.000273
GAMarion County,0.000273,0.000273,0.000273
GAMcduffie County,0.000273,0.000273,0.000273
GAMcintosh County,0.000273,0.000273,0.000273
GAMeriwether County,0.000273,0.000273,0.000273
GAMiller County,0.000273,0.000273,0.000273
GAMitchell County,0.000273,0.000273,0.000273
GAMonroe County,0.000273,0.000273,0.000273
GAMontgomery County,0.000273,0.000273,0.000273
GAMorgan County,0.000273,0.000273,0.000273
GAMurray County,0.000273,0.000273,0.000273
GAMuscogee County,0.000273,0.000273,0.000273
GANewton County,0.000273,0.000273,0.000273
GAOconee County,0.000273,0.000273,0.000273
GAOglethorpe County,0.000273,0.000273,0.000273
GAPaulding County,0.000273,0.000273,0.000273
GAPeach County,0.000273,0.000273,0.000273
GAPickens County,0.000273,0.000273,0.000273
GAPierce County,0.000273,0.000273,0.000273
GAPike County,0.000273,0.000273,0.000273
GAPolk County,0.000273,0.000273,0.000273
GAPulaski County,0.000273,0.000273,0.000273
GAPutnam County,0.000273,0.000273,0.000273
GAQuitman County,0.000273,0.000273,0.000273
GARabun County,0.000273,0.000273,0.000273
GARandolph County,0.000273,0.000273,0.000273
GARichmond County,0.000273,0.000273,0.000273
GARockdale County,0.000273,0.000273,0.000273
GASchley County,0.000273,0.000273,0.000273
GAScreven County,0.000273,0.000273,0.000273
GASeminole County,0.000273,0.000273,0.000273
GASpalding County,0.000273,0.000273,0.000273
GAStephens County,0.000273,0.000273,0.000273
GAStewart County,0.000273,0.000273,0.000273
GASumter County,0.000273,0.000273,0.000273
GATalbot County,0.000273,0.000273,0.000273
GATaliaferro County,0.000273,0.000273,0.000273
GATattnall County,0.000273,0.000273,0.000273
GATaylor County,0.000273,0.000273,0.000273
GATelfair County,0.000273,0.000273,0.000273
GATerrell County,0.000273,0.000273,0.000273
GAThomas County,0.000273,0.000273,0.000273
GATift County,0.000273,0.000273,0.000273
GAToombs County,0.000273,0.000273,0.000273
GATowns County,0.000273,0.000273,0.000273
GATreutlen County,0.000273,0.000273,0.000273
GATroup County,0.000273,0.000273,0.000273
GATurner County,0.000273,0.000273,0.000273
GATwiggs County,0.000273,0.000273,0.000273
GAUnion County,0.000273,0.000273,0.000273
GAUpson County,0.000273,0.000273,0.000273
GAWalker County,0.000273,0.000273,0.000273
GAWalton County,0.000273,0.000273,0.000273
GAWare County,0.000273,0.000273,0.000273
GAWarren County,0.000273,0.000273,0.000273
GAWashington County,0.000273,0.000273,0.000273
GAWayne County,0.000273,0.000273,0.000273
GAWebster County,0.000273,0.000273,0.000273
GAWheeler County,0.000273,0.000273,0.000273
GAWhite County,0.000273,0.000273,0.000273
GAWhitfield County,0.000273,0.000273,0.000273
GAWilcox County,0.000273,0.000273,0.000273
GAWilkes County,0.000273,0.000273,0.000273
GAWilkinson County,0.000273,0.000273,0.000273
GAWorth County,0.000273,0.000273,0.000273
HIHawaii County,0.000248,0.000248,0.000248
HIHonolulu County,0.000248,0.000248,0.000248
HIKalawao County,0.000248,0.000248,0.000248
HIKauai County,0.000248,0.000248,0.000248
HIMaui County,0.000248,0.000248,0.000248
IAAdair County,0.00025,0.00025,0.00025
IAAdams County,0.00025,0.00025,0.00025
IAAllamakee County,0.00025,0.00025,0.00025
IAAppanoose County,0.00025,0.00025,0.00025
IAAudubon County,0.00025,0.00025,0.00025
IABenton County,0.00025,0.00025,0.00025
IABlack Hawk County,0.00025,0.00025,0.00025
IABoone County,0.00025,0.00025,0.00025
IABremer County,0.00025,0.00025,0.00025
IABuchanan County,0.00025,0.00025,0.00025
IABuena Vista County,0.00025,0.00025,0.00025
IAButler County,0.00025,0.00025,0.00025
IACalhoun County,0.00025,0.00025,0.00025
IACarroll County,0.00025,0.00025,0.00025
IACass County,0.00025,0.00025,0.00025
IACedar County,0.00025,0.00025,0.00025
IACerro Gordo County,0.00025,0.00025,0.00025
IACherokee County,0.00025,0.00025,0.00025
IAChickasaw County,0.00025,0.00025,0.00025
IAClarke County,0.00025,0.00025,0.00025
IAClay County,0.00025,0.00025,0.00025
IAClayton County,0.00025,0.00025,0.00025
IAClinton County,0.00025,0.00025,0.00025
IACrawford County,0.00025,0.00025,0.00025
IADallas County,0.00025,0.00025,0.00025
IADavis County,0.00025,0.00025,0.00025
IADecatur County,0.00025,0.00025,0.00025
IADelaware County,0.00025,0.00025,0.00025
IADes Moines County,0.00025,0.00025,0.00025
IADickinson County,0.00025,0.00025,0.00025
IADubuque County,0.00025,0.00025,0.00025
IAEmmet County,0.00025,0.00025,0.00025
IAFayette County,0.00025,0.00025,0.00025
IAFloyd County,0.00025,0.00025,0.00025
IAFranklin County,0.00025,0.00025,0.00025
IAFremont County,0.00025,0.00025,0.00025
IAGreene County,0.00025,0.00025,0.00025
IAGrundy County,0.00025,0.00025,0.00025
IAGuthrie County,0.00025,0.00025,0.00025
IAHamilton County,0.00025,0.00025,0.00025
IAHancock County,0.00025,0.00025,0.00025
IAHardin County,0.00025,0.00025,0.00025
IAHarrison County,0.00025,0.00025,0.00025
IAHenry County,0.00025,0.00025,0.00025
IAHoward County,0.00025,0.00025,0.00025
IAHumboldt County,0.00025,0.00025,0.00025
IAIda County,0.00025,0.00025,0.00025
IAIowa County,0.00025,0.00025,0.00025
IAJackson County,0.00025,0.00025,0.00025
IAJasper County,0.00025,0.00025,0.00025
IAJefferson County,0.00025,0.00025,0.00025
IAJohnson County,0.00025,0.00025,0.00025
IAJones County,0.00025,0.00025,0.00025
