Country,Statecode,County,StateCounty,HA Buildings,HA Contents,HA BI
US,CA,Nevada County,CANevada County,4.35682E-05,4.35682E-07,1.13277E-05
US,CA,Orange County,CAOrange County,0.000131269,1.31269E-06,3.41299E-05
US,CA,Placer County,CAPlacer County,4.35146E-05,4.35146E-07,1.13138E-05
US,CA,Plumas County,CAPlumas County,4.17055E-05,4.17055E-07,1.08434E-05
US,CA,Riverside County,CARiverside County,0.000130766,1.30766E-06,3.39992E-05
US,CA,Sacramento County,CASacramento County,3.43341E-05,3.43341E-07,8.92688E-06
US,CA,San Benito County,CASan Benito County,4.8378E-05,4.8378E-07,1.25783E-05
US,CA,San Bernardino County,CASan Bernardino County,0.000139366,1.39366E-06,3.62352E-05
US,CA,San Diego County,CASan Diego County,0.000146895,1.46895E-06,3.81927E-05
US,CA,San Francisco County,CASan Francisco County,2.31791E-05,0,0
US,CA,San Joaquin County,CASan Joaquin County,3.20631E-05,3.20631E-07,8.3364E-06
US,CA,San Luis Obispo County,CASan Luis Obispo County,7.49658E-05,7.49658E-07,1.94911E-05
US,CA,San Mateo County,CASan Mateo County,2.57008E-05,2.57008E-07,6.68222E-06
US,CA,Santa Barbara County,CASanta Barbara County,9.69723E-05,9.69723E-07,2.52128E-05
US,CA,Santa Clara County,CASanta Clara County,2.85908E-05,2.85908E-07,7.43361E-06
US,CA,Santa Cruz County,CASanta Cruz County,2.72209E-05,2.72209E-07,7.07743E-06
US,CA,Shasta County,CAShasta County,4.02756E-05,4.02756E-07,1.04717E-05
US,CA,Sierra County,CASierra County,4.33045E-05,4.33045E-07,1.12592E-05
US,CA,Siskiyou County,CASiskiyou County,5.56054E-05,5.56054E-07,1.44574E-05
US,CA,Solano County,CASolano County,2.94983E-05,2.94983E-07,7.66957E-06
US,CA,Sonoma County,CASonoma County,2.89323E-05,2.89323E-07,7.52241E-06
US,CA,Stanislaus County,CAStanislaus County,5.31965E-05,5.31965E-07,1.38311E-05
US,CA,Sutter County,CASutter County,3.43377E-05,3.43377E-07,8.92781E-06
US,CA,Tehama County,CATehama County,3.73349E-05,3.73349E-07,9.70707E-06
US,CA,Trinity County,CATrinity County,3.74315E-05,3.74315E-07,9.73219E-06
US,CA,Tulare County,CATulare County,0.00011279,1.1279E-06,2.93254E-05
US,CA,Tuolumne County,CATuolumne County,7.74135E-05,7.74135E-07,2.01275E-05
US,CA,Ventura County,CAVentura County,6.76033E-05,6.76033E-07,1.75769E-05
US,CA,Yolo County,CAYolo County,3.18207E-05,3.18207E-07,8.27338E-06
US,CA,Yuba County,CAYuba County,3.96806E-05,3.96806E-07,1.0317E-05
US,CO,Adams County,COAdams County,0.000947965,9.47965E-06,0.000246471
US,CO,Alamosa County,COAlamosa County,9.23074E-05,9.23074E-07,2.39999E-05
US,CO,Arapahoe County,COArapahoe County,0.000776843,7.76843E-06,0.000201979
US,CO,Archuleta County,COArchuleta County,6.64092E-05,6.64092E-07,1.72664E-05
US,CO,Baca County,COBaca County,0.000261349,2.61349E-06,6.79506E-05
US,CO,Bent County,COBent County,0.000715443,7.15443E-06,0.000186015
US,CO,Boulder County,COBoulder County,0.000847971,8.47971E-06,0.000220472
US,CO,Broomfield County,COBroomfield County,0.000934038,9.34038E-06,0.00024285
US,CO,Chaffee County,COChaffee County,7.2907E-05,7.2907E-07,1.89558E-05
US,CO,Cheyenne County,COCheyenne County,0.001728522,1.72852E-05,0.000449416
US,CO,Clear Creek County,COClear Creek County,0.000168496,1.68496E-06,4.3809E-05
US,CO,Conejos County,COConejos County,7.8438E-05,7.8438E-07,2.03939E-05
US,CO,Costilla County,COCostilla County,0.000109228,1.09228E-06,2.83992E-05
US,CO,Crowley County,COCrowley County,0.000594112,5.94112E-06,0.000154469
US,CO,Custer County,COCuster County,0.000135184,1.35184E-06,3.51479E-05
US,CO,Delta County,CODelta County,6.61261E-05,6.61261E-07,1.71928E-05
US,CO,Denver County,CODenver County,0.000974691,9.74691E-06,0.00025342
US,CO,Dolores County,CODolores County,6.60432E-05,6.60432E-07,1.71712E-05
US,CO,Douglas County,CODouglas County,0.000996412,9.96412E-06,0.000259067
US,CO,Eagle County,COEagle County,8.92605E-05,8.92605E-07,2.32077E-05
US,CO,El Paso County,COEl Paso County,0.000837367,8.37367E-06,0.000217715
US,CO,Elbert County,COElbert County,0.001137479,1.13748E-05,0.000295745
US,CO,Fremont County,COFremont County,0.000153432,1.53432E-06,3.98924E-05
US,CO,Garfield County,COGarfield County,9.59639E-05,9.59639E-07,2.49506E-05
US,CO,Gilpin County,COGilpin County,0.000185514,1.85514E-06,4.82337E-05
US,CO,Grand County,COGrand County,0.000115078,1.15078E-06,2.99203E-05
US,CO,Gunnison County,COGunnison County,5.7756E-05,5.7756E-07,1.50165E-05
US,CO,Hinsdale County,COHinsdale County,6.67393E-05,6.67393E-07,1.73522E-05
US,CO,Huerfano County,COHuerfano County,0.000149242,1.49242E-06,3.8803E-05
US,CO,Jackson County,COJackson County,0.000189254,1.89254E-06,4.92059E-05
US,CO,Jefferson County,COJefferson County,0.000205745,2.05745E-06,5.34938E-05
US,CO,Kiowa County,COKiowa County,0.000921191,9.21191E-06,0.00023951
US,CO,Kit Carson County,COKit Carson County,0.00231776,2.31776E-05,0.000602617
US,CO,La Plata County,COLa Plata County,7.63926E-05,7.63926E-07,1.98621E-05
US,CO,Lake County,COLake County,6.75281E-05,6.75281E-07,1.75573E-05
US,CO,Larimer County,COLarimer County,0.000619676,6.19676E-06,0.000161116
