policy_id,model_version_id,datafix,status,time,error_step,error_message,error_detail,time_taken,policy_id_new
951310,5581,yes,,,,,,,
952732,5581,yes,,,,,,,
952734,5581,yes,,,,,,,
952741,5581,yes,,,,,,,
965869,5581,yes,,,,,,,
965880,5581,yes,,,,,,,
965886,5581,yes,,,,,,,
974128,5581,yes,,,,,,,
977705,5581,yes,,,,,,,
977901,5581,yes,,,,,,,
978471,5581,yes,,,,,,,
979125,5581,yes,,,,,,,
1017203,5581,yes,,,,,,,
1018220,5581,yes,,,,,,,
1018613,5581,yes,,,,,,,
1019744,5581,yes,,,,,,,
1021108,5581,yes,,,,,,,
1042687,5581,yes,,,,,,,
1042769,5581,yes,,,,,,,
1042770,5581,yes,,,,,,,
1042775,5581,yes,,,,,,,
1044867,5581,yes,,,,,,,
1045526,5581,yes,,,,,,,
1046867,5581,yes,,,,,,,
1047234,5581,yes,,,,,,,
1047452,5581,yes,,,,,,,
1047580,5581,yes,,,,,,,
1048427,5581,yes,,,,,,,
1048510,5581,yes,,,,,,,
1049603,5581,yes,,,,,,,
1050685,5581,yes,,,,,,,
1050859,5581,yes,,,,,,,
1056404,5581,yes,,,,,,,
1058670,5581,yes,,,,,,,
1058679,5581,yes,,,,,,,
1059296,5581,yes,,,,,,,
1060784,5581,yes,,,,,,,
1061612,5581,yes,,,,,,,
1066058,5581,yes,,,,,,,
1066390,5581,yes,,,,,,,
1066397,5581,yes,,,,,,,
1074295,5581,yes,,,,,,,
1074298,5581,yes,,,,,,,
1075428,5581,yes,,,,,,,
1077401,5581,yes,,,,,,,
1079584,5581,yes,,,,,,,
1079854,5581,yes,,,,,,,
1085166,5581,yes,,,,,,,
1086441,5581,yes,,,,,,,
1087314,5581,yes,,,,,,,
1089295,5581,yes,,,,,,,
1089501,5581,yes,,,,,,,
1090197,5581,yes,,,,,,,
1091043,5581,yes,,,,,,,
1091598,5581,yes,,,,,,,
1104846,5581,yes,,,,,,,
1105200,5581,yes,,,,,,,
1105289,5581,yes,,,,,,,
1105645,5581,yes,,,,,,,
1109185,5581,yes,,,,,,,
1109595,5581,yes,,,,,,,
1109599,5581,yes,,,,,,,
1137576,5581,yes,,,,,,,
1137580,5581,yes,,,,,,,
1170239,5581,yes,,,,,,,
1170242,5581,yes,,,,,,,
1170526,5581,yes,,,,,,,
1180759,5581,yes,,,,,,,
1181472,5581,yes,,,,,,,
1181507,5581,yes,,,,,,,
1189669,5581,yes,,,,,,,
1197837,5581,yes,,,,,,,
1198293,5581,yes,,,,,,,
1203349,5581,yes,,,,,,,
1203519,5581,yes,,,,,,,
1203527,5581,yes,,,,,,,
1203894,5581,yes,,,,,,,
1214294,5581,yes,,,,,,,
1214331,5581,yes,,,,,,,
1214884,5581,yes,,,,,,,
1215502,5581,yes,,,,,,,
1215707,5581,yes,,,,,,,
1215734,5581,yes,,,,,,,
1216269,5581,yes,,,,,,,
1216947,5581,yes,,,,,,,
1216967,5581,yes,,,,,,,
1217136,5581,yes,,,,,,,
1217866,5581,yes,,,,,,,
1218406,5581,yes,,,,,,,
1218411,5581,yes,,,,,,,
1219993,5581,yes,,,,,,,
1220422,5581,yes,,,,,,,
1221088,5581,yes,,,,,,,
1221460,5581,yes,,,,,,,
1222224,5581,yes,,,,,,,
1228222,5581,yes,,,,,,,
1228470,5581,yes,,,,,,,
1228695,5581,yes,,,,,,,
1229265,5581,yes,,,,,,,
1230060,5581,yes,,,,,,,
1233269,5581,yes,,,,,,,
1233556,5581,yes,,,,,,,
1246369,5581,yes,,,,,,,
1256903,5581,yes,,,,,,,
1257057,5581,yes,,,,,,,
1257662,5581,yes,,,,,,,
1266554,5581,yes,,,,,,,
1267967,5581,yes,,,,,,,
1268196,5581,yes,,,,,,,
1271755,5581,yes,,,,,,,
1271765,5581,yes,,,,,,,
1273757,5581,yes,,,,,,,
1273986,5581,yes,,,,,,,
1276129,5581,yes,,,,,,,
1276371,5581,yes,,,,,,,
1276466,5581,yes,,,,,,,
1276819,5581,yes,,,,,,,
1277742,5581,yes,,,,,,,
1277831,5581,yes,,,,,,,
1279102,5581,yes,,,,,,,
1279152,5581,yes,,,,,,,
1279269,5581,yes,,,,,,,
1279277,5581,yes,,,,,,,
1280834,5581,yes,,,,,,,
1280836,5581,yes,,,,,,,
1280837,5581,yes,,,,,,,
1280910,5581,yes,,,,,,,
1280940,5581,yes,,,,,,,
1283168,5581,yes,,,,,,,
1283223,5581,yes,,,,,,,
