country,risk_name,historic_updated_value,historic_updated_date
AE,Inflation,3.6,2022-08-04
AE,Inflation,3.4,2022-05-06
AE,Inflation,2.8,2022-02-02
AE,Inflation,2.5,2021-11-05
AE,Inflation,0.5,2021-05-06
AE,Inflation,0.4,2020-05-05
AE,Inflation,1,2019-11-14
AE,Inflation,1.1,2019-05-15
AE,Inflation,1.6,2019-02-13
AE,Inflation,2,2016-05-10
AE,Inflation,1.8,2016-02-09
AE,Inflation,1.6,2015-11-10
AE,Inflation,1,2015-08-11
AE,Inflation,0.8,2015-02-09
AE,InfrastructureDisruption,2,2023-03-09
AE,InfrastructureDisruption,2.7,2021-02-22
AE,InfrastructureDisruption,2.9,2020-01-31
AE,InfrastructureDisruption,0.4,2018-02-02
AE,InfrastructureDisruption,0.3,2015-11-24
AE,InfrastructureDisruption,0.6,2015-06-19
AE,InterstateWar,2.4,2024-11-06
AE,InterstateWar,2.4,2024-04-29
AE,InterstateWar,2.3,2023-01-26
AE,InterstateWar,2.3,2022-09-23
AE,InterstateWar,2.5,2020-11-30
AE,InterstateWar,2.5,2020-09-18
AE,InterstateWar,2.6,2020-05-11
AE,InterstateWar,2.4,2020-02-17
AE,InterstateWar,2.3,2019-10-21
AE,InterstateWar,2.5,2019-09-17
AE,InterstateWar,2.5,2019-08-28
AE,InterstateWar,2.5,2019-08-19
AE,InterstateWar,2.4,2019-07-01
AE,InterstateWar,2.3,2019-06-17
AE,InterstateWar,2.1,2019-05-14
AE,InterstateWar,2,2018-09-24
AE,InterstateWar,2.1,2016-10-31
AE,LabourStrikes,1.1,2023-01-26
AE,LabourStrikes,1.2,2022-09-14
AE,LabourStrikes,1.4,2020-11-30
AE,LabourStrikes,1.4,2020-06-23
AE,LabourStrikes,1.2,2019-10-21
AE,LabourStrikes,1.3,2018-06-18
AE,LabourStrikes,1.6,2016-08-08
AE,Legal,1.7,2023-01-25
AE,Legal,1.8,2022-09-14
AE,Legal,2.1,2022-05-31
AE,Legal,2.2,2020-03-31
AE,Legal,2.1,2020-03-23
AE,Legal,2,2019-10-21
AE,Legal,2.1,2017-06-12
AE,Operational,1.8,2023-03-09
AE,Operational,2,2022-09-14
AE,Operational,2.1,2021-02-22
AE,Operational,2.2,2020-01-31
AE,Operational,1.6,2018-06-18
AE,Operational,1.7,2018-05-29
AE,Operational,1.8,2017-09-18
AE,Operational,1.7,2016-10-31
AE,Operational,1.8,2016-08-29
AE,Operational,1.6,2016-08-08
AE,Operational,1.2,2015-11-24
AE,Operational,1.3,2015-06-19
AE,PolicyStability,1.3,2024-07-17
AE,PolicyStability,1.3,2024-04-05
AE,PolicyStability,1.3,2024-03-13
AE,PolicyStability,1.4,2023-09-13
AE,PolicyStability,1.5,2023-07-05
AE,PolicyStability,1.7,2023-04-03
AE,PolicyStability,1.9,2023-03-10
AE,PolicyStability,1.9,2023-01-25
AE,PolicyStability,2.1,2022-06-07
AE,PolicyStability,2.1,2022-03-09
AE,PolicyStability,2.3,2021-12-07
AE,PolicyStability,2.3,2021-10-12
AE,PolicyStability,2.2,2021-09-28
AE,PolicyStability,2.1,2020-11-30
AE,PolicyStability,2.1,2020-07-13
AE,PolicyStability,2.1,2020-06-15
AE,PolicyStability,2.1,2020-03-31
AE,PolicyStability,2.3,2020-03-23
AE,PolicyStability,1.8,2020-03-09
AE,PolicyStability,1.7,2019-12-09
AE,PolicyStability,1.8,2019-11-11
AE,PolicyStability,1.8,2018-09-24
AE,PolicyStability,1.9,2017-06-12
AE,PolicyStability,1.8,2016-08-08
AE,PolicyStability,1.4,2016-06-22
AE,Political,1.2,2023-07-05
AE,Political,1.3,2023-04-03
AE,Political,1.4,2023-01-25
AE,Political,1.7,2022-03-09
AE,Political,1.8,2021-10-12
AE,Political,1.7,2021-02-22
AE,Political,1.8,2020-06-23
AE,Political,1.7,2020-03-31
AE,Political,1.5,2020-03-23
AE,Political,1.3,2018-09-24
AE,Political,1.4,2016-08-29
AE,Political,1.3,2016-08-08
AE,Political,1.1,2016-06-22
AE,Political,1,2016-05-31
AE,ProtestsAndRiots,0.6,2023-01-26
AE,ProtestsAndRiots,0.7,2020-11-30
AE,ProtestsAndRiots,0.7,2020-06-15
AE,ProtestsAndRiots,0.7,2019-10-21
AE,ProtestsAndRiots,0.7,2018-06-18
AE,ProtestsAndRiots,0.8,2016-08-29
AE,Recession,1.9,2024-11-12
AE,Recession,2.4,2024-08-13
AE,Recession,2.3,2024-05-13
AE,Recession,1.9,2023-11-06
AE,Recession,2.3,2023-08-02
AE,Recession,2.1,2023-05-04
AE,Recession,2.5,2023-02-07
AE,Recession,2.9,2022-11-03
AE,Recession,2.3,2022-08-04
AE,Recession,1.6,2022-05-06
AE,Recession,2.8,2022-02-02
AE,Recession,1.1,2021-11-05
AE,Recession,1.6,2021-05-06
AE,Recession,2.9,2021-02-03
AE,Recession,3.6,2020-11-05
AE,Recession,3.3,2020-08-06
AE,Recession,8.1,2020-04-23
AE,Recession,2.1,2020-02-25
AE,Recession,1.6,2019-11-14
AE,Recession,1.3,2019-08-13
AE,Recession,1,2019-02-13
AE,Recession,0.8,2018-08-15
AE,Recession,0.9,2018-02-14
AE,Recession,2.1,2017-08-16
AE,Recession,1.7,2017-05-09
