attachment,salzman_a_primary,salzman_b_primary,salzman_average
76.75,96.75,89.675,93.2125
76.875,96.775,89.7375,93.25625
77,96.8,89.8,93.3
77.125,96.825,89.875,93.35
77.25,96.85,89.95,93.4
77.375,96.875,90.025,93.45
77.5,96.9,90.1,93.5
77.625,96.925,90.175,93.55
77.75,96.95,90.25,93.6
77.875,96.975,90.325,93.65
78,97,90.4,93.7
78.125,97.025,90.4625,93.74375
78.25,97.05,90.525,93.7875
78.375,97.075,90.5875,93.83125
78.5,97.1,90.65,93.875
78.625,97.125,90.7125,93.91875
78.75,97.15,90.775,93.9625
78.875,97.175,90.8375,94.00625
79,97.2,90.9,94.05
79.125,97.225,90.9625,94.09375
79.25,97.25,91.025,94.1375
79.375,97.275,91.0875,94.18125
79.5,97.3,91.15,94.225
79.625,97.325,91.2125,94.26875
79.75,97.35,91.275,94.3125
79.875,97.375,91.3375,94.35625
80,97.4,91.4,94.4
80.125,97.4125,91.4625,94.4375
80.25,97.425,91.525,94.475
80.375,97.4375,91.5875,94.5125
80.5,97.45,91.65,94.55
80.625,97.4625,91.7125,94.5875
80.75,97.475,91.775,94.625
80.875,97.4875,91.8375,94.6625
81,97.5,91.9,94.7
81.125,97.525,91.95,94.7375
81.25,97.55,92,94.775
81.375,97.575,92.05,94.8125
81.5,97.6,92.1,94.85
81.625,97.625,92.15,94.8875
81.75,97.65,92.2,94.925
81.875,97.675,92.25,94.9625
82,97.7,92.3,95
82.125,97.7125,92.3625,95.0375
82.25,97.725,92.425,95.075
82.375,97.7375,92.4875,95.1125
82.5,97.75,92.55,95.15
82.625,97.7625,92.6125,95.1875
82.75,97.775,92.675,95.225
82.875,97.7875,92.7375,95.2625
83,97.8,92.8,95.3
83.125,97.825,92.85,95.3375
83.25,97.85,92.9,95.375
83.375,97.875,92.95,95.4125
83.5,97.9,93,95.45
83.625,97.925,93.05,95.4875
83.75,97.95,93.1,95.525
83.875,97.975,93.15,95.5625
84,98,93.2,95.6
84.125,98.0125,93.2625,95.6375
84.25,98.025,93.325,95.675
84.375,98.0375,93.3875,95.7125
84.5,98.05,93.45,95.75
84.625,98.0625,93.5125,95.7875
84.75,98.075,93.575,95.825
84.875,98.0875,93.6375,95.8625
85,98.1,93.7,95.9
85.125,98.125,93.7625,95.94375
85.25,98.15,93.825,95.9875
85.375,98.175,93.8875,96.03125
85.5,98.2,93.95,96.075
85.625,98.225,94.0125,96.11875
85.75,98.25,94.075,96.1625
85.875,98.275,94.1375,96.20625
86,98.3,94.2,96.25
86.125,98.3125,94.25,96.28125
86.25,98.325,94.3,96.3125
86.375,98.3375,94.35,96.34375
86.5,98.35,94.4,96.375
86.625,98.3625,94.45,96.40625
86.75,98.375,94.5,96.4375
86.875,98.3875,94.55,96.46875
87,98.4,94.6,96.5
87.125,98.425,94.6625,96.54375
87.25,98.45,94.725,96.5875
87.375,98.475,94.7875,96.63125
87.5,98.5,94.85,96.675
87.625,98.525,94.9125,96.71875
87.75,98.55,94.975,96.7625
87.875,98.575,95.0375,96.80625
88,98.6,95.1,96.85
88.125,98.6125,95.15,96.88125
88.25,98.625,95.2,96.9125
88.375,98.6375,95.25,96.94375
88.5,98.65,95.3,96.975
88.625,98.6625,95.35,97.00625
88.75,98.675,95.4,97.0375
88.875,98.6875,95.45,97.06875
89,98.7,95.5,97.1
89.125,98.725,95.5625,97.14375
89.25,98.75,95.625,97.1875
89.375,98.775,95.6875,97.23125
89.5,98.8,95.75,97.275
89.625,98.825,95.8125,97.31875
89.75,98.85,95.875,97.3625
89.875,98.875,95.9375,97.40625
90,98.9,96,97.45
90.125,98.9125,96.05,97.48125
90.25,98.925,96.1,97.5125
90.375,98.9375,96.15,97.54375
90.5,98.95,96.2,97.575
90.625,98.9625,96.25,97.60625
90.75,98.975,96.3,97.6375
90.875,98.9875,96.35,97.66875
91,99,96.4,97.7
91.125,99.0125,96.45,97.73125
91.25,99.025,96.5,97.7625
91.375,99.0375,96.55,97.79375
91.5,99.05,96.6,97.825
91.625,99.0625,96.65,97.85625
91.75,99.075,96.7,97.8875
91.875,99.0875,96.75,97.91875
92,99.1,96.8,97.95
92.125,99.1125,96.85,97.98125
92.25,99.125,96.9,98.0125
92.375,99.1375,96.95,98.04375
92.5,99.15,97,98.075
92.625,99.1625,97.05,98.10625
92.75,99.175,97.1,98.1375
92.875,99.1875,97.15,98.16875
93,99.2,97.2,98.2
93.125,99.2125,97.25,98.23125
93.25,99.225,97.3,98.2625
93.375,99.2375,97.35,98.29375
93.5,99.25,97.4,98.325
93.625,99.2625,97.45,98.35625
93.75,99.275,97.5,98.3875
93.875,99.2875,97.55,98.41875
94,99.3,97.6,98.45
94.125,99.3125,97.65,98.48125
94.25,99.325,97.7,98.5125
94.375,99.3375,97.75,98.54375
94.5,99.35,97.8,98.575
94.625,99.3625,97.85,98.60625
94.75,99.375,97.9,98.6375
94.875,99.3875,97.95,98.66875
95,99.4,98,98.7
95.125,99.425,98.05,98.7375
95.25,99.45,98.1,98.775
95.375,99.475,98.15,98.8125
95.5,99.5,98.2,98.85
95.625,99.525,98.25,98.8875
95.75,99.55,98.3,98.925
95.875,99.575,98.35,98.9625
96,99.6,98.4,99
96.125,99.6125,98.45,99.03125
96.25,99.625,98.5,99.0625
96.375,99.6375,98.55,99.09375
96.5,99.65,98.6,99.125
96.625,99.6625,98.65,99.15625
96.75,99.675,98.7,99.1875
96.875,99.6875,98.75,99.21875
97,99.7,98.8,99.25
97.125,99.7125,98.85,99.28125
97.25,99.725,98.9,99.3125
97.375,99.7375,98.95,99.34375
97.5,99.75,99,99.375
97.625,99.7625,99.05,99.40625
97.75,99.775,99.1,99.4375
97.875,99.7875,99.15,99.46875
98,99.8,99.2,99.5
98.125,99.8125,99.25,99.53125
98.25,99.825,99.3,99.5625
98.375,99.8375,99.35,99.59375
98.5,99.85,99.4,99.625
98.625,99.8625,99.45,99.65625
98.75,99.875,99.5,99.6875
98.875,99.8875,99.55,99.71875
99,99.9,99.6,99.75
99.125,99.9125,99.65,99.78125
99.25,99.925,99.7,99.8125
99.375,99.9375,99.75,99.84375
99.5,99.95,99.8,99.875
99.625,99.9625,99.85,99.90625
99.75,99.975,99.9,99.9375
99.875,99.9875,99.95,99.96875
100,100,100,100
