"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/illinois_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/illinois_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/illinois_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/illinois_counties","illinois_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/illinois_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/illinois_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/illinois_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/illinois_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/illinois_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/illinois_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/illinois_rest","illinois_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/indiana/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/indiana/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/indiana/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/indiana/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/indiana/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/indiana/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/indiana","indiana","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/international/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/international/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/international/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/international/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/international/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/international/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/international","international","structure","n/a","n/a","n/a","n/a"
