Industry,NAICS Code Filter,NAICS Code
Lessors of Other Real Estate Property,5311,53119
Lessors of Residential Buildings and Dwellings,5311,53111
Libraries and Archives,5141,51412
Light Truck and Utility Vehicle Manufacturing,3361,336112
Lighting Fixture Manufacturing,3351,33512
Lime Manufacturing,3274,32741
Limited-Service Eating Places/Restaurants (Franchise) ,7222,72221
Limited-Service Eating Places/Restaurants (Non Franchise) ,7222,722211
Limousine Service,4853,48532
Line-Haul Railroads,4821,482111
Linen and Uniform Supply,8123,81233
Linen Supply,8123,812331
Liquefied Petroleum Gas (Bottled Gas) Dealers,4543,454312
Livestock Wholesalers,4225,42252
Local Messengers and Local Delivery,4922,49221
Locksmiths,5616,561622
Logging,1133,11331
Luggage and Leather Goods Stores,4483,44832
Luggage Manufacturing,3169,316991
"Lumber, Plywood, Millwork, and Wood",4213,42131
Machine Shops,3327,33271
Machine Tool (Metal Cutting Types) Manufacturing,3335,333512
Machine Tool (Metal Forming Types) Manufacturing,3335,333513
Magnetic and Optical Recording Media Manufacturing,3346,334613
Major Appliance Manufacturing,3352,33522
Malt Manufacturing,3112,311213
Management Consulting Services,5416,54161
Management of Companies and Enterprises,5511,55111
Manifold Business Forms Printing,3231,323116
Manufactured (Mobile) Home Dealers,4539,45393
Manufactured Home (Mobile Home) Manufacturing,3219,321991
Manufacturing and Industrial Building Construction,2333,23331
Manufacturing and Reproducing Magnetic and Optical Media,3346,33461
Marinas,7139,71393
Marine Cargo Handling,4883,48832
Marketing Consulting Services,5416,541613
Marketing Research and Public Opinion Polling,5419,54191
Marking Device Manufacturing,3399,339943
Masonry and Stone Contractors,2354,23541
Material Handling Equipment Manufacturing,3339,33392
Materials Recovery Facilities,5629,56292
Mattress Manufacturing,3379,33791
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",3119,311941
Measuring and Dispensing Pump Manufacturing,3339,333913
Meat and Meat Product Wholesalers,4224,42247
Meat Markets,4452,44521
Meat Processed from Carcasses,3116,311612
Mechanical Power Transmission Equipment Manufacturing,3336,333613
Media Buying Agencies,5418,54183
Media Representatives,5418,54184
Medical and Diagnostic Laboratories,6215,62151
Medical Equipment and Supplies Manufacturing,3391,33911
Medical Laboratories,6215,621511
"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",4214,42145
Medicinal and Botanical Manufacturing,3254,325411
Men's and Boys' Clothing and,4223,42232
Men's and Boys' Cut and Sew Apparel Contractors,3152,315211
Men's and Boys' Cut and Sew Apparel Manufacturing,3152,31522
Men's and Boys' Cut and Sew Other Outerwear Manufacturing,3152,315228
Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing,3152,315223
"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",3152,315222
"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",3152,315224
Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing,3152,315221
Men's and Boys' Cut and Sew Work Clothing Manufacturing,3152,315225
Men's and Boys' Neckwear Manufacturing,3159,315993
Men's Clothing Stores,4481,44811
Men's Footwear (except Athletic) Manufacturing,3162,316213
Metal Can Manufacturing,3324,332431
"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",3324,33243
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",3328,332812
Metal Heat Treating,3328,332811
Metal Household Furniture Manufacturing,3371,337124
Metal Service Centers and Offices,4215,42151
Metal Stamping,3321,332116
Metal Tank (Heavy Gauge) Manufacturing,3324,33242
Metal Valve Manufacturing,3329,33291
Metal Window and Door Manufacturing,3323,332321
Metalworking Machinery Manufacturing,3335,33351
"Military Armored Vehicle, Tank, and Tank Component Manufacturing",3369,336992
Millwork,3219,32191
Mineral Wool Manufacturing,3279,327993
Mining and Oil and Gas Field Machinery Manufacturing,3331,33313
Mining Machinery and Equipment Manufacturing,3331,333131
Miscellaneous Financial Investment Activities,5239,523999
Miscellaneous Intermediation,5239,52391
Mixed Mode Transit Systems,4851,485111
Mobile Food Services,7223,72233
Monetary Authorities - Central Bank,5211,52111
Mortgage and Nonmortgage Loan Brokers,5223,52231
Motion Picture and Video Distribution,5121,51212
Motion Picture and Video Exhibition,5121,51213
Motion Picture and Video Production,5121,51211
Motion Picture Theaters (except Drive-Ins),5121,512131
Motor and Generator Manufacturing,3353,335312
Motor Vehicle Air-Conditioning Manufacturing,3363,336391
Motor Vehicle Brake System Manufacturing,3363,33634
Motor Vehicle Electrical and Electronic Equipment Manufacturing,3363,33632
Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,3363,33631
Motor Vehicle Metal Stamping,3363,33637
Motor Vehicle Parts (Used),4211,42114
Motor Vehicle Seating and Interior Trim Manufacturing,3363,33636
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,3363,33633
Motor Vehicle Supplies and New Parts Wholesalers,4211,42112
Motor Vehicle Towing,4884,48841
Motor Vehicle Transmission and Power Train Parts Manufacturing,3363,33635
Motorcycle Dealers,4412,441221
"Motorcycle, Bicycle, and Parts Manufacturing",3369,336991
"Motorcycle, Boat, and Other Motor Vehicle Dealers",4412,44122
Multifamily Housing Construction,2332,23322
Museums,7121,71211
Mushroom Production,1114,111411
Music Publishers,5122,51223
Musical Groups and Artists,7111,71113
Musical Instrument and Supplies Stores,4511,45114
Musical Instrument Manufacturing,3399,339992
Nail Salons,8121,812113
Narrow Fabric Mills,3132,313221
Narrow Fabric Mills and Schiffli Machine Embroidery,3132,31322
National Security,9281,92811
Natural Gas Distribution,2212,22121
Natural Gas Liquid Extraction,2111,211112
Nature Parks and Other Similar Institutions,7121,71219
Navigational Services to Shipping,4883,48833
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",3345,33451
New Car Dealers,4411,44111
News Dealers and Newsstands,4512,451212
News Syndicates,5141,51411
Newspaper Publishers,5111,51111
Newsprint Mills,3221,322122
Nitrogenous Fertilizer Manufacturing,3253,325311
Noncellulosic Organic Fiber Manufacturing,3252,325222
Nonchocolate Confectionery Manufacturing,3113,31134
Noncitrus Fruit and Tree Nut Farming,1113,11133
Nonclay Refractory Manufacturing,3271,327125
Noncurrent-Carrying Wiring Device Manufacturing,3359,335932
Nonferrous (except Aluminum) Die-Casting Foundries,3315,331522
Nonferrous Forging,3321,332112
Nonferrous Metal (except Aluminum) Smelting and Refining,3314,33141
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3314,331491
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",3314,33149
Nonferrous Metal Foundries,3315,33152
Nonfolding Sanitary Food Container Manufacturing,3222,322215
Nonresidential Property Managers,5313,531312
Nonscheduled Air Transportation,4812,48121
Nonscheduled Chartered Freight Air Transportation,4812,481212
Nonscheduled Chartered Passenger Air Transportation,4812,481211
Nonupholstered Wood Household Furniture Manufacturing,3371,337122
Nonwoven Fabric Mills,3132,31323
Nuclear Electric Power Generation,2211,221113
Nursery and Floriculture Production,1114,11142
Nursery and Tree Production,1114,111421
"Nursery, Garden Center, and Farm Supply Stores",4442,44422
Nursing Care Facilities,6231,62311
Office Administrative Services,5611,56111
Office Equipment Wholesalers,4214,42142
Office Furniture (except Wood) Manufacturing,3372,337214
Office Furniture (including Fixtures) Manufacturing,3372,33721
Office Machinery and Equipment Rental and Leasing,5324,53242
Office Machinery Manufacturing,3333,333313
Office Supplies (except Paper) Manufacturing,3399,33994
Office Supplies and Stationery Stores,4532,45321
Offices of All Other Health Practitioners,6213,62139
Offices of All Other Miscellaneous Health Practitioners,6213,621399
Offices of Bank Holding Companies,5511,551111
Offices of Certified Public Accountants,5412,541211
Offices of Chiropractors,6213,62131
Offices of Dentists,6212,62121
Offices of Lawyers,5411,54111
Offices of Mental Health Practitioners (except Physicians),6213,62133
Offices of Notaries,5411,54112
Offices of Optometrists,6213,62132
Offices of Other Holding Companies,5511,551112
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",6213,62134
Offices of Physicians,6211,62111
Offices of Physicians (except Mental Health Specialists),6211,621111
"Offices of Physicians, Mental Health Specialists",6211,621112
Offices of Podiatrists,6213,621391
Offices of Real Estate Agents and Brokers,5312,53121
Offices of Real Estate Appraisers,5313,53132
Oil and Gas Extraction,2111,21111
Oil and Gas Field Machinery and Equipment Manufacturing,3331,333132
Oilseed (except Soybean) Farming,1111,11112
Oilseed and Grain Combination Farming,1111,111191
One-Hour Photofinishing,8129,812922
On-Line Information Services,5141,514191
Open-End Investment Funds,5259,52591
Ophthalmic Goods Manufacturing,3391,339115
Ophthalmic Goods Wholesalers,4214,42146
Optical Goods Stores,4461,44613
Optical Instrument and Lens Manufacturing,3333,333314
Orange Groves,1113,11131
Ornamental and Architectural Metal Products Manufacturing,3323,33232
Ornamental and Architectural Metal Work Manufacturing,3323,332323
Other Accounting Services,5412,541219
Other Activities Related to Credit Intermediation,5223,52239
Other Activities Related to Real Estate,5313,53139
Other Aircraft Parts and Auxiliary Equipment Manufacturing,3364,336413
Other Airport Operations,4881,488119
Other Aluminum Rolling and Drawing,3313,331319
Other Animal Aquaculture,1125,112519
Other Animal Food Manufacturing,3111,311119
Other Apparel Accessories and Other Apparel Manufacturing,3159,315999
Other Apparel Knitting Mills,3151,31519
Other Automotive Mechanical and Electrical Repair and Maintenance,8111,811118
Other Automotive Repair and Maintenance,8111,81119
Other Basic Inorganic Chemical Manufacturing,3251,32518
Other Basic Organic Chemical Manufacturing,3251,32519
Other Building Material Dealers,4441,44419
Other Business Service Centers (including Copy Shops),5614,561439
Other Business Support Services,5614,56149
Other Chemical and Allied Products,4226,42269
Other Chemical and Fertilizer Mineral Mining,2123,212393
Other Clothing Stores,4481,44819
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,5324,53249
Other Commercial and Service Industry Machinery Manufacturing,3333,333319
Other Commercial Equipment,4214,42144
Other Commercial Printing,3231,323119
Other Communication and Energy Wire Manufacturing,3359,335929
Other Communications Equipment Manufacturing,3342,33429
Other Community Housing Services,6242,624229
Other Computer Peripheral Equipment Manufacturing,3341,334119
Other Computer Related Services,5415,541519
Other Concrete Product Manufacturing,3273,32739
Other Construction Material,4213,42139
Other Consumer Goods Rental,5322,53229
Other Converted Paper Product Manufacturing,3222,32229
Other Crushed and Broken Stone Mining and Quarrying,2123,212319
Other Cut and Sew Apparel Manufacturing,3152,31529
Other Depository Credit Intermediation,5221,52219
"Other Direct Insurance (except Life, Health, and Medical) Carriers",5241,524128
Other Direct Selling Establishments,4543,45439
Other Electric Power Generation,2211,221119
Other Electronic and Precision Equipment Repair and Maintenance,8112,811219
Other Electronic Component Manufacturing,3344,334419
Other Electronic Parts and,4216,42169
Other Engine Equipment Manufacturing,3336,333618
Other Fabricated Wire Product Manufacturing,3326,332618
Other Farm Product Raw Material,4225,42259
Other Financial Vehicles,5259,52599
Other Food Crops Grown Under Cover,1114,111419
Other Footwear Manufacturing,3162,316219
Other Fuel Dealers,4543,454319
Other Gambling Industries,7132,71329
Other Gasoline Stations,4471,44719
Other General Government Support,9211,92119
Other Grain Farming,1111,11119
Other Grantmaking and Giving Services,8132,813219
Other Grocery and Related Products Wholesalers,4224,42249
Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,3364,336419
Other Health and Personal Care Stores,4461,44619
Other Home Furnishings Stores,4422,44229
Other Hosiery and Sock Mills,3151,315119
Other Household Textile Product Mills,3141,314129
Other Individual and Family Services,6241,62419
Other Industrial Machinery Manufacturing,3332,33329
Other Information Services,5141,51419
Other Insurance Funds,5251,52519
Other Insurance Related Activities,5242,52429
"Other Justice, Public Order, and Safety Activities",9221,92219
Other Knit Fabric and Lace Mills,3132,313249
Other Leather and Allied Product Manufacturing,3169,31699
Other Legal Services,5411,54119
Other Lighting Equipment Manufacturing,3351,335129
Other Major Household Appliance Manufacturing,3352,335228
Other Management Consulting Services,5416,541618
Other Marine Fishing,1141,114119
Other Measuring and Controlling Device Manufacturing,3345,334519
Other Metal Container Manufacturing,3324,332439
Other Metal Ore Mining,2122,21229
Other Metal Valve and Pipe Fitting Manufacturing,3329,332919
Other Metalworking Machinery Manufacturing,3335,333518
Other Millwork (including Flooring),3219,321918
Other Miscellaneous Durable Goods,4219,42199
Other Miscellaneous Nondurable,4229,42299
Other Motion Picture and Video Industries,5121,512199
Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,3363,336322
Other Motor Vehicle Parts Manufacturing,3363,33639
Other Noncitrus Fruit Farming,1113,111339
Other Nondepository Credit Intermediation,5222,52229
Other Nonferrous Foundries (except Die-Casting),3315,331528
Other Nonhazardous Waste Treatment and Disposal,5622,562219
Other Nonmetallic Mineral Mining and Quarrying,2123,21239
Other Nonscheduled Air Transportation,4812,481219
Other Oilseed Processing,3112,311223
Other Ordnance and Accessories Manufacturing,3329,332995
Other Outpatient Care Centers,6214,62149
Other Performing Arts Companies,7111,71119
Other Personal and Household Goods Repair and Maintenance,8114,81149
Other Personal Care Services,8121,81219
Other Personal Care Services,8121,812199
Other Petroleum and Coal Products Manufacturing,3241,32419
Other Plastics Product Manufacturing,3261,32619
Other Poultry Production,1123,11239
Other Pressed and Blown Glass and Glassware Manufacturing,3272,327212
Other Professional Equipment and Supplies Wholesalers,4214,42149
Other Publishers,5111,51119
Other Residential Care Facilities,6239,62399
Other Rubber Product Manufacturing,3262,32629
Other Scientific and Technical Consulting Services,5416,54169
Other Services Related to Advertising,5418,54189
Other Services to Buildings and Dwellings,5617,56179
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",8139,81399
Other Snack Food Manufacturing,3119,311919
Other Social Advocacy Organizations,8133,813319
Other Sound Recording Industries,5122,51229
Other Specialized Design Services,5414,54149
Other Specialty Food Stores,4452,44529
Other Spectator Sports,7112,711219
Other Structural Clay Product Manufacturing,3271,327123
Other Support Activities for Air Transportation,4881,48819
Other Support Activities for Road Transportation,4884,48849
Other Support Activities for Transportation,4889,48899
Other Support Activities for Water Transportation,4883,48839
Other Technical and Trade Schools,6115,611519
Other Telecommunications,5133,51339
Other Tobacco Product Manufacturing,3122,312229
Other Transit and Ground Passenger Transportation,4859,48599
Other Transportation Equipment Manufacturing,3369,33699
Other Travel Arrangement and Reservation Services,5615,56159
Other Traveler Accommodation,7211,72119
Other Urban Transit Systems,4851,485119
Other Vegetable (except Potato) and Melon Farming,1112,111219
Other Warehousing and Storage,4931,49319
Other Waste Collection,5621,562119
Outdoor Power Equipment Stores,4442,44421
Outerwear Knitting Mills,3151,315191
Outpatient Mental Health and Substance Abuse Centers,6214,62142
"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",3339,333923
Packaged Frozen Food Wholesalers,4224,42242
Packaging and Labeling Services,5619,56191
Packaging Machinery Manufacturing,3339,333993
Packing and Crating,4889,488991
Paging,5133,513321
Paint and Coating Manufacturing,3255,32551
Paint and Wallpaper Stores,4441,44412
"Paint, Varnish, and Supplies",4229,42295
Painting and Wall Covering,2352,23521
Paper (except Newsprint) Mills,3221,322121
Paper Bag and Coated and Treated Paper Manufacturing,3222,32222
Paper Industry Machinery Manufacturing,3332,333291
Paper Mills,3221,32212
Paperboard Container Manufacturing,3222,32221
Paperboard Mills,3221,32213
Parking Lots and Garages,8129,81293
Parole Offices and Probation Offices,9221,92215
Passenger Car Leasing,5321,532112
Passenger Car Rental,5321,532111
Passenger Car Rental and Leasing,5321,53211
Payroll Services,5412,541214
Peanut Farming,1119,111992
Pen and Mechanical Pencil Manufacturing,3399,339941
Pension Funds,5251,52511
Periodical Publishers,5111,51112
Perishable Prepared Food Manufacturing,3119,311991
Personal Leather Good (except Women's Handbag and Purse) Manufacturing,3169,316993
Pesticide and Other Agricultural Chemical Manufacturing,3253,32532
Pet and Pet Supplies Stores,4539,45391
Pet Care (except Veterinary) Services,8129,81291
Petrochemical Manufacturing,3251,32511
Petroleum and Petroleum Products Wholesalers (except Bulk Stations,4227,42272
Petroleum Bulk Stations and Terminals,4227,42271
Petroleum Lubricating Oil and Grease Manufacturing,3241,324191
Petroleum Refineries,3241,32411
Pharmaceutical and Medicine Manufacturing,3254,32541
Pharmaceutical Preparation Manufacturing,3254,325412
Pharmacies and Drug Stores,4461,44611
Phosphate Rock Mining,2123,212392
Phosphatic Fertilizer Manufacturing,3253,325312
Photofinishing,8129,81292
Photofinishing Laboratories (except One-Hour),8129,812921
Photographic and Photocopying Equipment Manufacturing,3333,333315
Photographic Equipment and Supplies,4214,42141
"Photographic Film, Paper, Plate, and Chemical Manufacturing",3259,325992
Photographic Services,5419,54192
"Photography Studios, Portrait",5419,541921
"Piece Goods, Notions, and Other Dry Goods Wholesalers",4223,42231
Pipeline Transportation of Crude Oil,4861,48611
Pipeline Transportation of Natural Gas,4862,48621
Pipeline Transportation of Refined Petroleum Products,4869,48691
Plastics and Rubber Industry Machinery Manufacturing,3332,33322
Plastics Bag Manufacturing,3261,326111
Plastics Bottle Manufacturing,3261,32616
Plastics Material and Resin Manufacturing,3252,325211
Plastics Materials and Basic Forms,4226,42261
Plastics Packaging Film and Sheet (including Laminated) Manufacturing,3261,326112
Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,3261,32611
Plastics Pipe and Pipe Fitting Manufacturing,3261,326122
"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",3261,32612
Plastics Plumbing Fixture Manufacturing,3261,326191
"Plastics, Foil, and Coated Paper Bag Manufacturing",3222,322223
Plate Work and Fabricated Structural Product Manufacturing,3323,33231
Plate Work Manufacturing,3323,332313
Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,4217,42172
Plumbing Fixture Fitting and Trim Manufacturing,3329,332913
"Plumbing, Heating, and",2351,23511
Police Protection,9221,92212
Polish and Other Sanitation Good Manufacturing,3256,325612
Political Organizations,8139,81394
Polystyrene Foam Product Manufacturing,3261,32614
Porcelain Electrical Supply Manufacturing,3271,327113
Port and Harbor Operations,4883,48831
Portfolio Management,5239,52392
Postal Service,4911,49111
Postharvest Crop Activities (except Cotton Ginning),1151,115114
Postproduction Services and Other Motion Picture and Video Industries,5121,51219
"Potash, Soda, and Borate Mineral Mining",2123,212391
Potato Farming,1112,111211
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",3271,32711
Poultry and Poultry Product,4224,42244
Poultry Hatcheries,1123,11234
Poultry Processing,3116,311615
Powder Metallurgy Part Manufacturing,3321,332117
Power and Communication Transmission Line Construction,2349,23492
Power Boiler and Heat Exchanger Manufacturing,3324,33241
"Power, Distribution, and Specialty Transformer Manufacturing",3353,335311
Power-Driven Handtool Manufacturing,3339,333991
Precision Turned Product Manufacturing,3327,332721
Prefabricated Metal Building and Component Manufacturing,3323,332311
Prefabricated Wood Building Manufacturing,3219,321992
Prepress Services,3231,323122
"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing",3346,334612
"Prerecorded Tape, Compact Disc, and Record Stores",4512,45122
Primary Aluminum Production,3313,331312
Primary Battery Manufacturing,3359,335912
Primary Smelting and Refining of Copper,3314,331411
Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),3314,331419
Printed Circuit Assembly (Electronic Assembly) Manufacturing,3344,334418
Printing,3231,32311
Printing and Writing Paper,4221,42211
Printing Ink Manufacturing,3259,32591
Printing Machinery and Equipment Manufacturing,3332,333293
Private Households,8141,81411
Private Mail Centers,5614,561431
"Process, Physical Distribution, and Logistics Consulting Services",5416,541614
Professional and Management Development Training,6114,61143
Professional Employer Organizations,5613,56133
Professional Organizations,8139,81392
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",7113,71131
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",7113,71132
Psychiatric and Substance Abuse Hospitals,6222,62221
Public Finance Activities,9211,92113
Public Relations Agencies,5418,54182
Pulp Mills,3221,32211
Pump and Compressor Manufacturing,3339,33391
Pump and Pumping Equipment Manufacturing,3339,333911
Quick Printing,3231,323114
Racetracks,7112,711212
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,3342,33422
Radio Broadcasting,5131,51311
Radio Networks,5131,513111
Radio Stations,5131,513112
"Radio, Television, and Other Electronics Stores",4431,443112
Rail Transportation,4821,48211
Railroad Rolling Stock Manufacturing,3365,33651
Ready-Mix Concrete Manufacturing,3273,32732
Real Estate Credit,5222,522292
Real Estate Investment Trusts,5259,52593
Real Estate Property Managers,5313,53131
Reconstituted Wood Product Manufacturing,3212,321219
Record Production,5122,51221
Recreational and Vacation Camps (except Campgrounds),7212,721214
Recreational Goods Rental,5322,532292
Recreational Vehicle Dealers,4412,44121
Recyclable Material Wholesalers,4219,42193
Refrigerated Warehousing and Storage,4931,49312
Refrigeration Equipment and,4217,42174
"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",9261,92613
Regulation and Administration of Transportation Programs,9261,92612
Regulation of Agricultural Marketing and Commodities,9261,92614
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",9261,92615
Reinsurance Carriers,5241,52413
Relay and Industrial Control Manufacturing,3353,335314
Religious Organizations,8131,81311
Remediation Services,5629,56291
Rendering and Meat Byproduct Processing,3116,311613
Repossession Services,5614,561491
"Research and Development in the Physical, Engineering, and Life Sciences",5417,54171
Research and Development in the Social Sciences and Humanities,5417,54172
Residential Electric Lighting Fixture Manufacturing,3351,335121
Residential Mental Health and Substance Abuse Facilities,6232,62322
Residential Mental Retardation Facilities,6232,62321
Residential Property Managers,5313,531311
Resilient Floor Covering Manufacturing,3261,326192
Resin and Synthetic Rubber Manufacturing,3252,32521
Retail Bakeries,3118,311811
Reupholstery and Furniture Repair,8114,81142
Rice Farming,1111,11116
Rice Milling,3112,311212
Roasted Nuts and Peanut Butter Manufacturing,3119,311911
Rolled Steel Shape Manufacturing,3312,331221
Rolling and Drawing of Purchased Steel,3312,33122
Rolling Mill Machinery and Equipment Manufacturing,3335,333516
"Roofing, Siding, and Insulation",4213,42133
"Roofing, Siding, and Sheet Metal",2356,23561
Rooming and Boarding Houses,7213,72131
"Rope, Cordage, and Twine Mills",3149,314991
Rubber and Plastics Footwear Manufacturing,3162,316211
Rubber and Plastics Hoses and Belting Manufacturing,3262,32622
Rubber Product Manufacturing for Mechanical Use,3262,326291
RV (Recreational Vehicle) Parks and Campgrounds,7212,721211
RV (Recreational Vehicle) Parks and Recreational Camps,7212,72121
Sales Financing,5222,52222
"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",2123,21232
Sanitary Paper Product Manufacturing,3222,322291
Satellite Telecommunications,5133,51334
Savings Institutions,5221,52212
Saw Blade and Handsaw Manufacturing,3322,332213
Sawmill and Woodworking Machinery Manufacturing,3332,33321
Sawmills,3211,321113
Sawmills and Wood Preservation,3211,32111
Scale and Balance (except Laboratory) Manufacturing,3339,333997
"Scenic and Sightseeing Transportation, Land",4871,48711
"Scenic and Sightseeing Transportation, Other",4879,48799
"Scenic and Sightseeing Transportation, Water",4872,48721
Scheduled Air Transportation,4811,48111
Scheduled Freight Air Transportation,4811,481112
Scheduled Passenger Air Transportation,4811,481111
Schiffli Machine Embroidery,3132,313222
School and Employee Bus Transportation,4854,48541
Seafood Canning,3117,311711
Seafood Product Preparation and Packaging,3117,31171
"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",3345,334511
Seasoning and Dressing Manufacturing,3119,31194
Secondary Market Financing,5222,522294
Secondary Smelting and Alloying of Aluminum,3313,331314
"Secondary Smelting, Refining, and Alloying of Copper",3314,331423
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",3314,331492
Securities and Commodity Exchanges,5232,52321
Securities Brokerage,5231,52312
Security Guards and Patrol Services,5616,561612
Security Systems Services,5616,56162
Security Systems Services (except Locksmiths),5616,561621
Semiconductor and Other Electronic Component Manufacturing,3344,33441
Semiconductor and Related Device Manufacturing,3344,334413
Semiconductor Machinery Manufacturing,3332,333295
Septic Tank and Related Services,5629,562991
Service Establishment Equipment and Supplies Wholesalers,4218,42185
Services for the Elderly and Persons with Disabilities,6241,62412
Setup Paperboard Box Manufacturing,3222,322213
Sewage Treatment Facilities,2213,22132
"Sewing, Needlework, and Piece Goods Stores",4511,45113
Sheep Farming,1124,11241
Sheer Hosiery Mills,3151,315111
Sheet Metal Work Manufacturing,3323,332322
Shellfish Farming,1125,112512
Shellfish Fishing,1141,114112
Ship and Boat Building,3366,33661
Ship Building and Repairing,3366,336611
Shoe Stores,4482,44821
Short Line Railroads,4821,482112
"Showcase, Partition, Shelving, and Locker Manufacturing",3372,337215
Sign Manufacturing,3399,33995
Silver Ore Mining,2122,212222
Silverware and Hollowware Manufacturing,3399,339912
Single Family Housing Construction,2332,23321
Skiing Facilities,7139,71392
Small Arms Ammunition Manufacturing,3329,332992
Small Arms Manufacturing,3329,332994
Small Electrical Appliance Manufacturing,3352,33521
Snack and Nonalcoholic Beverage Bars,7222,722213
Snack Food Manufacturing,3119,31191
Soap and Cleaning Compound Manufacturing,3256,32561
Soap and Other Detergent Manufacturing,3256,325611
Social Advocacy Organizations,8133,81331
Soft Drink and Ice Manufacturing,3121,31211
Soft Drink Manufacturing,3121,312111
Software Publishers,5112,51121
Software Reproducing,3346,334611
Softwood Veneer and Plywood Manufacturing,3212,321212
"Soil Preparation, Planting, and Cultivating",1151,115112
Solid Waste Collection,5621,562111
Solid Waste Combustors and Incinerators,5622,562213
Solid Waste Landfill,5622,562212
Sound Recording Studios,5122,51224
Soybean Farming,1111,11111
Soybean Processing,3112,311222
Space Research and Technology,9271,92711
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",3335,333514
Special Needs Transportation,4859,485991
"Specialized Freight (except Used Goods) Trucking, Local",4842,48422
"Specialized Freight (except Used Goods) Trucking, Long-Distance",4842,48423
Specialty (except Psychiatric and Substance Abuse) Hospitals,6223,62231
Specialty Canning,3114,311422
Spectator Sports,7112,71121
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",3336,333612
Spice and Extract Manufacturing,3119,311942
Sporting and Athletic Goods Manufacturing,3399,33992
Sporting and Recreational Goods and,4219,42191
Sporting Goods Stores,4511,45111
Sports and Recreation Instruction,6116,61162
Sports Teams and Clubs,7112,711211
Spring (Heavy Gauge) Manufacturing,3326,332611
Spring (Light Gauge) Manufacturing,3326,332612
Spring and Wire Product Manufacturing,3326,33261
Starch and Vegetable Fats and Oils Manufacturing,3112,31122
Stationery and Office Supplies Wholesalers,4221,42212
Stationery Product Manufacturing,3222,32223
"Stationery, Tablet, and Related Product Manufacturing",3222,322233
Steam and Air-Conditioning Supply,2213,22133
Steel Foundries (except Investment),3315,331513
Steel Investment Foundries,3315,331512
Steel Wire Drawing,3312,331222
Stone Mining and Quarrying,2123,21231
Storage Battery Manufacturing,3359,335911
Strawberry Farming,1113,111333
Structural Steel Erection,2359,23591
Sugar Beet Farming,1119,111991
Sugar Manufacturing,3113,31131
Sugarcane Farming,1119,11193
Sugarcane Mills,3113,311311
Supermarkets and Other Grocery (except Convenience) Stores,4451,44511
Support Activities for Animal Production,1152,11521
Support Activities for Coal Mining,2131,213113
Support Activities for Crop Production,1151,11511
Support Activities for Forestry,1153,11531
Support Activities for Metal Mining,2131,213114
Support Activities for Mining,2131,21311
Support Activities for Nonmetallic Minerals (except Fuels),2131,213115
Support Activities for Oil and Gas Operations,2131,213112
Support Activities for Printing,3231,32312
Support Activities for Rail Transportation,4882,48821
Surface Active Agent Manufacturing,3256,325613
Surface-Coated Paperboard Manufacturing,3222,322226
Surgical and Medical Instrument Manufacturing,3391,339112
Surgical Appliance and Supplies Manufacturing,3391,339113
Surveying and Mapping (except Geophysical) Services,5413,54137
Switchgear and Switchboard Apparatus Manufacturing,3353,335313
Synthetic Dye and Pigment Manufacturing,3251,32513
Synthetic Organic Dye and Pigment Manufacturing,3251,325132
