Sex and Country,Age,SCA,Value
FLiberia,15,FLiberia15,0.559636639
FLibyan Arab Jamahiriya,15,FLibyan Arab Jamahiriya15,0.548850716
FLiechtenstein,15,FLiechtenstein15,0.897548478
FLithuania,15,FLithuania15,0.762221583
FLuxembourg,15,FLuxembourg15,0.897548478
FMacao,15,FMacao15,0.611285744
"FMacedonia, the Former Yugoslav Republic Of",15,"FMacedonia, the Former Yugoslav Republic Of15",0.934169711
FMadagascar,15,FMadagascar15,0.85111641
FMalawi,15,FMalawi15,2.44085009
FMalaysia,15,FMalaysia15,0.701076625
FMaldives,15,FMaldives15,0.441108064
FMali,15,FMali15,0.559636639
FMalta,15,FMalta15,0.424089568
FMarshall Islands,15,FMarshall Islands15,0.701076625
FMartinique,15,FMartinique15,0.783595207
FMauritania,15,FMauritania15,0.559636639
FMauritius,15,FMauritius15,0.85111641
FMayotte,15,FMayotte15,0.85111641
FMexico,15,FMexico15,0.759371779
"FMicronesia, Federated States Of",15,"FMicronesia, Federated States Of15",0.701076625
FMoldova,15,FMoldova15,0.87586444
FMonaco,15,FMonaco15,0.897548478
FMongolia,15,FMongolia15,0.611285744
FMontenegro,15,FMontenegro15,0.934169711
FMontserrat,15,FMontserrat15,0.783595207
FMorocco,15,FMorocco15,0.559636639
FMozambique,15,FMozambique15,0.85111641
FMyanmar,15,FMyanmar15,0.815593808
FNamibia,15,FNamibia15,0.410541808
FNauru,15,FNauru15,0.701076625
FNepal,15,FNepal15,0.441108064
FNetherlands,15,FNetherlands15,1.002392946
FNetherlands Antilles,15,FNetherlands Antilles15,0.783595207
FNew Caledonia,15,FNew Caledonia15,0.701076625
FNew Zealand,15,FNew Zealand15,1.050719576
FNicaragua,15,FNicaragua15,0.759371779
FNiger,15,FNiger15,0.559636639
FNigeria,15,FNigeria15,0.559636639
FNiue,15,FNiue15,0.701076625
FNorfolk Island,15,FNorfolk Island15,1.266736674
FNorthern Mariana Islands,15,FNorthern Mariana Islands15,0.701076625
FNorway,15,FNorway15,1.085058715
FOman,15,FOman15,0.666798126
FPakistan,15,FPakistan15,0.441108064
FPalau,15,FPalau15,0.815593808
"FPalestinian Territory, Occupied",15,"FPalestinian Territory, Occupied15",0.820988585
FPanama,15,FPanama15,0.759371779
FPapua New Guinea,15,FPapua New Guinea15,0.701076625
FParaguay,15,FParaguay15,0.946708066
FPeru,15,FPeru15,0.795992077
FPhilippines,15,FPhilippines15,0.752755788
FPitcairn,15,FPitcairn15,0.701076625
FPoland,15,FPoland15,0.67673733
FPortugal,15,FPortugal15,0.979073555
