Index,OccupancyGroup,BUILDING,CONTENTS
KANSASMERCANTILE - MEDIUM,5.0,0.00000,0.20000
KANSASMOTELS AND HOTELS,7.0,0.00000,0.11400
KANSASOFFICES,3.0,0.00000,0.17400
KANSASRES APTS AND CONDOS,2.0,0.00000,0.25600
KANSASSERVICE - HIGH,12.0,0.00000,0.17800
KANSASSERVICE - LOW,13.0,0.00000,0.16300
KENTUCKYBUILDINGS,1.0,0.07600,0.00000
KENTUCKYCONTRACTORS,14.0,0.00000,0.29000
KENTUCKYINDUST-PROC - HIGH,10.0,0.00000,0.24300
KENTUCKYINDUST-PROC - LOW,11.0,0.00000,0.16900
KENTUCKYINSTITUTIONAL - HIGH,8.0,0.00000,0.11200
KENTUCKYINSTITUTIONAL - LOW,0.0,0.00000,0.07800
KENTUCKYMERCANTILE - HIGH,4.0,0.00000,0.30000
KENTUCKYMERCANTILE - LOW,6.0,0.00000,0.18100
KENTUCKYMERCANTILE - MEDIUM,5.0,0.00000,0.29100
KENTUCKYMOTELS AND HOTELS,7.0,0.00000,0.13700
KENTUCKYOFFICES,3.0,0.00000,0.17100
KENTUCKYRES APTS AND CONDOS,2.0,0.00000,0.35700
KENTUCKYSERVICE - HIGH,12.0,0.00000,0.18400
KENTUCKYSERVICE - LOW,13.0,0.00000,0.14700
MAINEBUILDINGS,1.0,0.05400,0.00000
MAINECONTRACTORS,14.0,0.00000,0.17800
MAINEINDUST-PROC - HIGH,10.0,0.00000,0.11900
MAINEINDUST-PROC - LOW,11.0,0.00000,0.10500
MAINEINSTITUTIONAL - HIGH,8.0,0.00000,0.07700
MAINEINSTITUTIONAL - LOW,0.0,0.00000,0.04800
MAINEMERCANTILE - HIGH,4.0,0.00000,0.16700
MAINEMERCANTILE - LOW,6.0,0.00000,0.09900
MAINEMERCANTILE - MEDIUM,5.0,0.00000,0.15400
MAINEMOTELS AND HOTELS,7.0,0.00000,0.08500
MAINEOFFICES,3.0,0.00000,0.15300
MAINERES APTS AND CONDOS,2.0,0.00000,0.15400
