StateCounty,TN Buildings,TN Contents,TN BI,HA Buildings,HA Contents,HA BI,WTS Buildings,WTS Contents,WTS BI,FL Buildings,FL Contents,FL BI,WF Buildings,WF Contents,WF BI
INShelby County,0.000491227,0.000382879,0.000432039,4.52274E-05,4.52274E-07,1.17591E-05,1.22127E-05,1.22127E-05,1.22127E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INSpencer County,0.000493367,0.000343347,0.000393773,3.16491E-05,3.16491E-07,8.22876E-06,9.06508E-06,9.06508E-06,9.06508E-06,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INSt. Joseph County,0.000259718,0.000189384,0.000220707,0.000157381,1.57381E-06,4.0919E-05,1.12356E-05,1.12356E-05,1.12356E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INStarke County,0.000246634,0.000185562,0.000212935,0.000159866,1.59866E-06,4.15652E-05,1.05538E-05,1.05538E-05,1.05538E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INSteuben County,0.000377626,0.000288855,0.000331203,0.00026704,2.6704E-06,6.94303E-05,1.25811E-05,1.25811E-05,1.25811E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INSullivan County,0.000346036,0.000272877,0.000309758,5.52535E-05,5.52535E-07,1.43659E-05,1.2608E-05,1.2608E-05,1.2608E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INSwitzerland County,0.000258798,0.00016796,0.000196699,1.94936E-05,1.94936E-07,5.06833E-06,1.11939E-05,1.11939E-05,1.11939E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INTippecanoe County,0.000291999,0.000234208,0.000264024,0.000185936,1.85936E-06,4.83434E-05,1.78356E-05,1.78356E-05,1.78356E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INTipton County,0.000407117,0.000324303,0.000365498,0.000109821,1.09821E-06,2.85533E-05,1.77346E-05,1.77346E-05,1.77346E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INUnion County,0.00019866,0.000142286,0.00016427,8.96529E-05,8.96529E-07,2.33098E-05,1.83232E-05,1.83232E-05,1.83232E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INVanderburgh County,0.000535648,0.000370324,0.00043084,5.51353E-05,5.51353E-07,1.43352E-05,7.6228E-06,7.6228E-06,7.6228E-06,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INVermillion County,0.000295513,0.000242362,0.000273177,0.000275856,2.75856E-06,7.17225E-05,1.92413E-05,1.92413E-05,1.92413E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INVigo County,0.000304293,0.000244677,0.000276021,8.31976E-05,8.31976E-07,2.16314E-05,1.95664E-05,1.95664E-05,1.95664E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWabash County,0.000389665,0.000313231,0.000352467,9.94611E-05,9.94611E-07,2.58599E-05,1.32968E-05,1.32968E-05,1.32968E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWarren County,0.000433355,0.000343481,0.000389349,0.000437704,4.37704E-06,0.000113803,1.23495E-05,1.23495E-05,1.23495E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWarrick County,0.000441608,0.00032311,0.000370884,4.03311E-05,4.03311E-07,1.04861E-05,8.48765E-06,8.48765E-06,8.48765E-06,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWashington County,0.000403996,0.000295882,0.00033738,1.61723E-05,1.61723E-07,4.2048E-06,1.14829E-05,1.14829E-05,1.14829E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWayne County,0.000373562,0.000273754,0.000314674,9.23952E-05,9.23952E-07,2.40227E-05,2.2475E-05,2.2475E-05,2.2475E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWells County,0.000400854,0.000313667,0.000352247,5.50513E-05,5.50513E-07,1.43134E-05,1.14558E-05,1.14558E-05,1.14558E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWhite County,0.000370569,0.000290396,0.000330194,0.000194123,1.94123E-06,5.04719E-05,1.0262E-05,1.0262E-05,1.0262E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
INWhitley County,0.00037543,0.000289858,0.000328267,0.000127935,1.27935E-06,3.32632E-05,1.11086E-05,1.11086E-05,1.11086E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
KSAllen County,0.000680872,0.000481402,0.000552701,0.000108014,1.08014E-06,2.80837E-05,4.23878E-05,4.23878E-05,4.23878E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSAnderson County,0.00054868,0.000388129,0.000445793,0.000113032,1.13032E-06,2.93883E-05,4.33991E-05,4.33991E-05,4.33991E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSAtchison County,0.000312957,0.000238461,0.000273734,7.75499E-05,7.75499E-07,2.0163E-05,3.58694E-05,3.58694E-05,3.58694E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSBarber County,0.000258362,0.000175341,0.000202866,0.000169194,1.69194E-06,4.39904E-05,5.72565E-05,5.72565E-05,5.72565E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSBarton County,0.000436395,0.000295898,0.000344721,0.000668514,6.68514E-06,0.000173814,0.000109667,0.000109667,0.000109667,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSBourbon County,0.00079929,0.000562515,0.000647034,9.4908E-05,9.4908E-07,2.46761E-05,5.40048E-05,5.40048E-05,5.40048E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSBrown County,0.000386113,0.000295397,0.000338515,9.83786E-05,9.83786E-07,2.55784E-05,2.9099E-05,2.9099E-05,2.9099E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSButler County,0.001402435,0.000892705,0.001006319,0.000136095,1.36095E-06,3.53846E-05,2.56542E-05,2.56542E-05,2.56542E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSChase County,0.001665282,0.001151297,0.001327401,0.000133917,1.33917E-06,3.48185E-05,2.55289E-05,2.55289E-05,2.55289E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSChautauqua County,0.001129892,0.000806432,0.000906068,8.51628E-05,8.51628E-07,2.21423E-05,3.381E-05,3.381E-05,3.381E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCherokee County,0.00093617,0.000678304,0.000775675,7.49328E-05,7.49328E-07,1.94825E-05,3.21809E-05,3.21809E-05,3.21809E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCheyenne County,0.000199938,0.000138021,0.00016153,0.001256271,1.25627E-05,0.00032663,0.000128731,0.000128731,0.000128731,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSClark County,0.000180991,0.00012429,0.00014369,0.000144728,1.44728E-06,3.76294E-05,7.22645E-05,7.22645E-05,7.22645E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSClay County,0.001487397,0.001068825,0.001234124,0.00020172,2.0172E-06,5.24471E-05,2.15368E-05,2.15368E-05,2.15368E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCloud County,0.001844805,0.0013188,0.00152005,0.000910865,9.10865E-06,0.000236825,3.90685E-05,3.90685E-05,3.90685E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCoffey County,0.000740176,0.000534173,0.00061406,0.000102485,1.02485E-06,2.6646E-05,3.68016E-05,3.68016E-05,3.68016E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSComanche County,0.000180695,0.000123063,0.000143263,0.00016083,1.6083E-06,4.18159E-05,6.15343E-05,6.15343E-05,6.15343E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCowley County,0.000974816,0.000660188,0.000744602,0.000107888,1.07888E-06,2.80508E-05,2.33917E-05,2.33917E-05,2.33917E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSCrawford County,0.000996279,0.000709333,0.000813839,8.29705E-05,8.29705E-07,2.15723E-05,3.99205E-05,3.99205E-05,3.99205E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSDecatur County,0.000358401,0.00025498,0.000293125,0.002426452,2.42645E-05,0.000630877,0.000117724,0.000117724,0.000117724,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSDickinson County,0.001710622,0.001234596,0.001416306,0.000179578,1.79578E-06,4.66902E-05,1.79201E-05,1.79201E-05,1.79201E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSDoniphan County,0.000250206,0.000186193,0.000213991,7.24696E-05,7.24696E-07,1.88421E-05,3.88715E-05,3.88715E-05,3.88715E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSDouglas County,0.000447191,0.000322111,0.000371924,8.1125E-05,8.1125E-07,2.10925E-05,4.28524E-05,4.28524E-05,4.28524E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSEdwards County,0.000254312,0.000173531,0.000200334,0.000364809,3.64809E-06,9.48503E-05,0.000113953,0.000113953,0.000113953,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSElk County,0.001294619,0.000924001,0.001038164,9.87492E-05,9.87492E-07,2.56748E-05,3.16284E-05,3.16284E-05,3.16284E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSEllis County,0.000416527,0.000279799,0.000324126,0.001562522,1.56252E-05,0.000406256,0.000132131,0.000132131,0.000132131,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSEllsworth County,0.000961787,0.00065656,0.000766653,0.000505175,5.05175E-06,0.000131346,6.80416E-05,6.80416E-05,6.80416E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSFinney County,0.000225063,0.000155563,0.000179396,0.000225384,2.25384E-06,5.85998E-05,0.000155147,0.000155147,0.000155147,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSFord County,0.000221965,0.000153212,0.000176887,0.000328348,3.28348E-06,8.53704E-05,0.00012585,0.00012585,0.00012585,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSFranklin County,0.000454589,0.00032647,0.000375598,0.000122468,1.22468E-06,3.18417E-05,4.21206E-05,4.21206E-05,4.21206E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGeary County,0.001833609,0.001358077,0.001559476,0.000128481,1.28481E-06,3.34052E-05,2.52233E-05,2.52233E-05,2.52233E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGove County,0.000278928,0.000199458,0.000230498,0.00096699,9.6699E-06,0.000251418,0.000158676,0.000158676,0.000158676,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGraham County,0.000368964,0.000262081,0.000301811,0.001942293,1.94229E-05,0.000504996,0.00013004,0.00013004,0.00013004,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGrant County,0.000218405,0.000149829,0.000171848,0.000129595,1.29595E-06,3.36947E-05,0.000100161,0.000100161,0.000100161,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGray County,0.000237092,0.000166071,0.000190926,0.000131005,1.31005E-06,3.40614E-05,0.000136271,0.000136271,0.000136271,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGreeley County,0.000169078,0.00010971,0.000129452,0.000301147,3.01147E-06,7.82981E-05,0.000134971,0.000134971,0.000134971,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSGreenwood County,0.001309942,0.000883206,0.001012566,7.43794E-05,7.43794E-07,1.93386E-05,2.98709E-05,2.98709E-05,2.98709E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSHamilton County,0.000185107,0.000115685,0.000135724,0.000194241,1.94241E-06,5.05027E-05,0.000101665,0.000101665,0.000101665,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSHarper County,0.000507702,0.000347513,0.000403851,0.000156706,1.56706E-06,4.07437E-05,3.84954E-05,3.84954E-05,3.84954E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSHarvey County,0.001493461,0.001019329,0.001184619,0.000316903,3.16903E-06,8.23947E-05,2.78291E-05,2.78291E-05,2.78291E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSHaskell County,0.000193214,0.000135444,0.000155301,0.000114748,1.14748E-06,2.98344E-05,0.000114533,0.000114533,0.000114533,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSHodgeman County,0.000281921,0.00019228,0.000223822,0.000590676,5.90676E-06,0.000153576,0.000133145,0.000133145,0.000133145,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSJackson County,0.000750113,0.000555456,0.000637269,0.000117738,1.17738E-06,3.06119E-05,1.99306E-05,1.99306E-05,1.99306E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSJefferson County,0.000494393,0.000353806,0.000409093,8.30154E-05,8.30154E-07,2.1584E-05,3.27518E-05,3.27518E-05,3.27518E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSJewell County,0.001708943,0.00122907,0.001416014,0.00326687,3.26687E-05,0.000849386,8.5045E-05,8.5045E-05,8.5045E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSJohnson County,0.000285852,0.000235972,0.000263718,0.000146155,1.46155E-06,3.80003E-05,6.07868E-05,6.07868E-05,6.07868E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSKearny County,0.000198788,0.00013508,0.000155595,0.000182106,1.82106E-06,4.73475E-05,0.000121466,0.000121466,0.000121466,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSKingman County,0.000612505,0.000417434,0.000485414,0.000285283,2.85283E-06,7.41736E-05,4.61993E-05,4.61993E-05,4.61993E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSKiowa County,0.000221093,0.000150429,0.000173625,0.0003036,3.036E-06,7.89361E-05,0.000109659,0.000109659,0.000109659,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLabette County,0.000914541,0.00067416,0.000771681,7.04261E-05,7.04261E-07,1.83108E-05,2.63035E-05,2.63035E-05,2.63035E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLane County,0.000255083,0.000177678,0.00020611,0.000598163,5.98163E-06,0.000155522,0.000169906,0.000169906,0.000169906,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLeavenworth County,0.000282225,0.000209122,0.00024157,0.000126114,1.26114E-06,3.27897E-05,5.27466E-05,5.27466E-05,5.27466E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLincoln County,0.001155097,0.000792947,0.000921678,0.000874478,8.74478E-06,0.000227364,5.89301E-05,5.89301E-05,5.89301E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLinn County,0.000472007,0.00033255,0.000383353,0.000104383,1.04383E-06,2.71395E-05,6.60075E-05,6.60075E-05,6.60075E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLogan County,0.000256917,0.000179082,0.000207175,0.000642399,6.42399E-06,0.000167024,0.000166694,0.000166694,0.000166694,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSLyon County,0.001214166,0.000887923,0.001020544,0.000108101,1.08101E-06,2.81062E-05,2.96398E-05,2.96398E-05,2.96398E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMarion County,0.001749755,0.001226294,0.001413927,0.000188983,1.88983E-06,4.91355E-05,2.31627E-05,2.31627E-05,2.31627E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMarshall County,0.000591577,0.000444071,0.000508783,0.000126205,1.26205E-06,3.28134E-05,2.83191E-05,2.83191E-05,2.83191E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMcpherson County,0.001337539,0.000936263,0.001089055,0.000357138,3.57138E-06,9.28558E-05,3.42863E-05,3.42863E-05,3.42863E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMeade County,0.000215499,0.000150182,0.000172572,0.000102799,1.02799E-06,2.67277E-05,8.26024E-05,8.26024E-05,8.26024E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMiami County,0.000289009,0.000206587,0.000238031,0.00012021,1.2021E-06,3.12545E-05,5.03585E-05,5.03585E-05,5.03585E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMitchell County,0.00132887,0.000931859,0.001077981,0.001298026,1.29803E-05,0.000337487,5.70768E-05,5.70768E-05,5.70768E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMontgomery County,0.000953223,0.000692784,0.000787556,7.34791E-05,7.34791E-07,1.91046E-05,2.49105E-05,2.49105E-05,2.49105E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMorris County,0.001992625,0.001485387,0.001704589,0.000142351,1.42351E-06,3.70113E-05,2.20702E-05,2.20702E-05,2.20702E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSMorton County,0.000163698,0.000103304,0.000121474,6.48417E-05,6.48417E-07,1.68589E-05,7.72116E-05,7.72116E-05,7.72116E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSNemaha County,0.000398673,0.000303196,0.000347357,0.000104075,1.04075E-06,2.70596E-05,3.24324E-05,3.24324E-05,3.24324E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSNeosho County,0.000796146,0.000574172,0.000657299,9.11718E-05,9.11718E-07,2.37047E-05,3.41485E-05,3.41485E-05,3.41485E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSNess County,0.000290238,0.000200356,0.000232622,0.000673284,6.73284E-06,0.000175054,0.000138817,0.000138817,0.000138817,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSNorton County,0.000541553,0.000384958,0.000442299,0.004170314,4.17031E-05,0.001084282,0.000101013,0.000101013,0.000101013,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSOsage County,0.000702334,0.000505331,0.000583988,9.95796E-05,9.95796E-07,2.58907E-05,2.89416E-05,2.89416E-05,2.89416E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSOsborne County,0.000702153,0.000480004,0.000541856,0.003688925,3.68893E-05,0.000959121,9.39829E-05,9.39829E-05,9.39829E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSOttawa County,0.001535393,0.001074515,0.001242238,0.000559638,5.59638E-06,0.000145506,2.82438E-05,2.82438E-05,2.82438E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSPawnee County,0.000289493,0.000195601,0.000227913,0.000480177,4.80177E-06,0.000124846,0.000124123,0.000124123,0.000124123,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSPhillips County,0.000678429,0.000475434,0.000549221,0.005230745,5.23074E-05,0.001359994,9.94547E-05,9.94547E-05,9.94547E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSPottawatomie County,0.000955581,0.000717344,0.000822414,0.00014528,1.4528E-06,3.77728E-05,1.81127E-05,1.81127E-05,1.81127E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSPratt County,0.000303095,0.000202971,0.00023559,0.000677401,6.77401E-06,0.000176124,9.12039E-05,9.12039E-05,9.12039E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRawlins County,0.00026796,0.000189845,0.000219349,0.002110097,2.1101E-05,0.000548625,0.000116902,0.000116902,0.000116902,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSReno County,0.000962338,0.00066344,0.00077143,0.000415531,4.15531E-06,0.000108038,4.72064E-05,4.72064E-05,4.72064E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRepublic County,0.001991813,0.001435728,0.001652526,0.001310341,1.31034E-05,0.000340689,6.57036E-05,6.57036E-05,6.57036E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRice County,0.000854504,0.000580727,0.000674996,0.000475708,4.75708E-06,0.000123684,5.30534E-05,5.30534E-05,5.30534E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRiley County,0.001421478,0.001052829,0.00120896,0.000142384,1.42384E-06,3.70198E-05,2.58727E-05,2.58727E-05,2.58727E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRooks County,0.000555431,0.000383732,0.000444376,0.00311179,3.11179E-05,0.000809065,0.000123856,0.000123856,0.000123856,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRush County,0.000342677,0.000230507,0.000267688,0.000729321,7.29321E-06,0.000189623,0.000125808,0.000125808,0.000125808,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSRussell County,0.000579113,0.000391073,0.000453099,0.00180463,1.80463E-05,0.000469204,0.000104009,0.000104009,0.000104009,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSaline County,0.001437252,0.000985594,0.001147094,0.000370963,3.70963E-06,9.64503E-05,2.84208E-05,2.84208E-05,2.84208E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSScott County,0.000249233,0.000171719,0.000198488,0.000358945,3.58945E-06,9.33256E-05,0.000174996,0.000174996,0.000174996,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSedgwick County,0.001114791,0.00072957,0.000832257,0.000172076,1.72076E-06,4.47398E-05,3.77239E-05,3.77239E-05,3.77239E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSeward County,0.000210138,0.000147336,0.000168938,8.62939E-05,8.62939E-07,2.24364E-05,7.36141E-05,7.36141E-05,7.36141E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSShawnee County,0.000862657,0.000647996,0.000747418,9.16445E-05,9.16445E-07,2.38276E-05,2.79562E-05,2.79562E-05,2.79562E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSheridan County,0.000323703,0.000232682,0.000268933,0.001407131,1.40713E-05,0.000365854,0.00015655,0.00015655,0.00015655,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSherman County,0.000203607,0.000135385,0.000158439,0.000912451,9.12451E-06,0.000237237,0.00016566,0.00016566,0.00016566,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSmith County,0.001062222,0.000736175,0.000803781,0.006248693,6.24869E-05,0.00162466,9.70412E-05,9.70412E-05,9.70412E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSStafford County,0.000323065,0.00021851,0.000254187,0.00037019,3.7019E-06,9.62494E-05,9.05879E-05,9.05879E-05,9.05879E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSStanton County,0.000174132,0.00011101,0.000129895,0.000157265,1.57265E-06,4.0889E-05,8.51048E-05,8.51048E-05,8.51048E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSStevens County,0.000224424,0.00015386,0.00017691,8.35475E-05,8.35475E-07,2.17223E-05,7.89132E-05,7.89132E-05,7.89132E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSSumner County,0.000811848,0.000555737,0.000634311,9.65106E-05,9.65106E-07,2.50928E-05,3.32268E-05,3.32268E-05,3.32268E-05,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
KSThomas County,0.000271051,0.000191042,0.000220422,0.001505303,1.5053E-05,0.000391379,0.000167337,0.000167337,0.000167337,5.28614E-05,5.28614E-05,5.28614E-05,1.48818E-05,1.48818E-05,1.48818E-05
