Version,Benchmark Class,Item,Value
13,Contingency,Investment Income /GN Premium,7.43E-02
13,Contingency,RI Premium/GN Premium,9.85E-02
13,Contingency,RI Recoveries/ GN Premium,4.57E-02
13,Contingency,Capital Required / GN Premium,0.805977359
13,Contingency,Att LR,0.380888177
13,Contingency,Large LR,0.13577868
13,Contingency,Cat LR,0.130575806
13,Contingency,Att COV,0.574933253
13,Contingency,Large COV,0.894777904
13,Contingency,Cat COV,3.243759836
13,Contingency,Large Loss Threshold,1000000
13,Contingency,Decay Factor,0.9
13,Contingency,Target NLR,0.7
13,Contingency,NML,0.025
13,Contingency,LAE,0
13,Contingency,RoC,0.15
13,Contingency,Variable Expense,0
13,Contingency,Fixed Expense,0
13,Contingency,Climate Load,0
13,Political,Gross Net Att ULR,0.431649778
13,Political,Gross Net Cat ULR,0.269151355
13,Political,Total ULR,0.700801133
13,Political,BP GN Premium,78444960.06
13,Political,BP NN Premium,78444960.06
13,Political,Net Premium,56702232.52
13,Political,Net Expense/ GN Premium,0.191813915
13,Political,Investment Income /GN Premium,9.93E-02
13,Political,RI Premium/GN Premium,0.277171759
13,Political,RI Recoveries/ GN Premium,0.174246974
13,Political,Capital Required / GN Premium,0.574203679
13,Political,Att LR,0.29094916
13,Political,Large LR,0.107366276
13,Political,Cat LR,0.238216412
13,Political,Att COV,2.000094035
13,Political,Large COV,2.524444448
13,Political,Cat COV,2.947311306
13,Political,Large Loss Threshold,1000000
13,Political,Decay Factor,0.9
13,Political,Target NLR,0.7
13,Political,NML,0.025
13,Political,LAE,0
13,Political,RoC,0.15
13,Political,Variable Expense,0
13,Political,Fixed Expense,0
13,Political,Climate Load,0
13,Terrorism,Gross Net Att ULR,0.147290645
13,Terrorism,Gross Net Cat ULR,0.46475
13,Terrorism,Total ULR,0.612040645
13,Terrorism,BP GN Premium,47351613.71
13,Terrorism,BP NN Premium,47351613.71
13,Terrorism,Net Premium,36793804.49
13,Terrorism,Net Expense/ GN Premium,0.254880088
13,Terrorism,Investment Income /GN Premium,6.61E-02
13,Terrorism,RI Premium/GN Premium,0.222966197
13,Terrorism,RI Recoveries/ GN Premium,0.127090732
13,Terrorism,Capital Required / GN Premium,1.000184608
13,Terrorism,Att LR,0.121318789
13,Terrorism,Large LR,9.29E-02
13,Terrorism,Cat LR,0.282375892
13,Terrorism,Att COV,0.448934778
13,Terrorism,Large COV,1.494604703
13,Terrorism,Cat COV,2.251040164
13,Terrorism,Large Loss Threshold,1000000
13,Terrorism,Decay Factor,0.9
13,Terrorism,Target NLR,0.7
13,Terrorism,NML,0.025
13,Terrorism,LAE,0
13,Terrorism,RoC,0.15
13,Terrorism,Variable Expense,0
13,Terrorism,Fixed Expense,0
13,Terrorism,Climate Load,0
13,BICI A&H PA,Gross Net Att ULR,0
13,BICI A&H PA,Gross Net Cat ULR,0
13,BICI A&H PA,Total ULR,0
13,BICI A&H PA,BP GN Premium,25000000
13,BICI A&H PA,BP NN Premium,25000000
13,BICI A&H PA,Net Premium,0
13,BICI A&H PA,Net Expense/ GN Premium,0
13,BICI A&H PA,Investment Income /GN Premium,0
13,BICI A&H PA,RI Premium/GN Premium,1
13,BICI A&H PA,RI Recoveries/ GN Premium,0
13,BICI A&H PA,Capital Required / GN Premium,0
13,BICI A&H PA,Att LR,0.412915167
13,BICI A&H PA,Large LR,0.120541697
13,BICI A&H PA,Cat LR,9.39E-02
13,BICI A&H PA,Att COV,0.467079531
13,BICI A&H PA,Large COV,1.287220916
13,BICI A&H PA,Cat COV,1.854328489
13,BICI A&H PA,Large Loss Threshold,1000000
13,BICI A&H PA,Decay Factor,0.9
13,BICI A&H PA,Target NLR,0.7
13,BICI A&H PA,NML,0.025
13,BICI A&H PA,LAE,0
13,BICI A&H PA,RoC,0.15
13,BICI A&H PA,Variable Expense,0
13,BICI A&H PA,Fixed Expense,0
13,BICI A&H PA,Climate Load,0
13,Life Direct,Gross Net Att ULR,0.757447883
13,Life Direct,Gross Net Cat ULR,0.024
13,Life Direct,Total ULR,0.781447883
13,Life Direct,BP GN Premium,33432484.28
13,Life Direct,BP NN Premium,33432484.28
13,Life Direct,Net Premium,25035709.2
13,Life Direct,Net Expense/ GN Premium,0.169425919
13,Life Direct,Investment Income /GN Premium,6.37E-02
13,Life Direct,RI Premium/GN Premium,0.251156181
13,Life Direct,RI Recoveries/ GN Premium,0.200600822
13,Life Direct,Capital Required / GN Premium,0.444783285
13,Life Direct,Att LR,0.567737499
13,Life Direct,Large LR,6.83E-02
13,Life Direct,Cat LR,8.13E-02
13,Life Direct,Att COV,0.467079531
13,Life Direct,Large COV,1.287220916
13,Life Direct,Cat COV,1.854328489
13,Life Direct,Large Loss Threshold,1000000
13,Life Direct,Decay Factor,0.9
13,Life Direct,Target NLR,0.7
13,Life Direct,NML,0.025
13,Life Direct,LAE,0
13,Life Direct,RoC,0.15
13,Life Direct,Variable Expense,0
13,Life Direct,Fixed Expense,0
13,Life Direct,Climate Load,0
13,Life Reinsurance,Gross Net Att ULR,0.517251439
13,Life Reinsurance,Gross Net Cat ULR,0.024
13,Life Reinsurance,Total ULR,0.541251439
13,Life Reinsurance,BP GN Premium,4111047.602
13,Life Reinsurance,BP NN Premium,4111047.602
13,Life Reinsurance,Net Premium,3985790.283
13,Life Reinsurance,Net Expense/ GN Premium,0.208073774
13,Life Reinsurance,Investment Income /GN Premium,8.25E-02
13,Life Reinsurance,RI Premium/GN Premium,3.05E-02
13,Life Reinsurance,RI Recoveries/ GN Premium,1.22E-02
13,Life Reinsurance,Capital Required / GN Premium,0.575862963
13,Life Reinsurance,Att LR,0.567737499
13,Life Reinsurance,Large LR,6.83E-02
13,Life Reinsurance,Cat LR,8.13E-02
13,Life Reinsurance,Att COV,0.467079531
13,Life Reinsurance,Large COV,1.287220916
13,Life Reinsurance,Cat COV,1.854328489
13,Life Reinsurance,Large Loss Threshold,1000000
13,Life Reinsurance,Decay Factor,0.9
13,Life Reinsurance,Target NLR,0.7
13,Life Reinsurance,NML,0.025
13,Life Reinsurance,LAE,0
13,Life Reinsurance,RoC,0.15
13,Life Reinsurance,Variable Expense,0
13,Life Reinsurance,Fixed Expense,0
13,Life Reinsurance,Climate Load,0
13,PA Direct,Gross Net Att ULR,0.705377551
13,PA Direct,Gross Net Cat ULR,0.024
13,PA Direct,Total ULR,0.729377551
13,PA Direct,BP GN Premium,42627079.94
13,PA Direct,BP NN Premium,42627079.94
13,PA Direct,Net Premium,37171519.35
13,PA Direct,Net Expense/ GN Premium,0.175900504
13,PA Direct,Investment Income /GN Premium,7.42E-02
13,PA Direct,RI Premium/GN Premium,0.127983446
13,PA Direct,RI Recoveries/ GN Premium,8.71E-02
13,PA Direct,Capital Required / GN Premium,0.489067203
13,PA Direct,Att LR,0.412915167
13,PA Direct,Large LR,0.120541697
13,PA Direct,Cat LR,9.39E-02
13,PA Direct,Att COV,0.467079531
13,PA Direct,Large COV,1.287220916
13,PA Direct,Cat COV,1.854328489
13,PA Direct,Large Loss Threshold,1000000
13,PA Direct,Decay Factor,0.9
13,PA Direct,Target NLR,0.7
13,PA Direct,NML,0.025
13,PA Direct,LAE,0
13,PA Direct,RoC,0.15
13,PA Direct,Variable Expense,0
13,PA Direct,Fixed Expense,0
13,PA Direct,Climate Load,0
13,PA reinsurance,Gross Net Att ULR,0.309572332
13,PA reinsurance,Gross Net Cat ULR,0.103262025
13,PA reinsurance,Total ULR,0.412834357
13,PA reinsurance,BP GN Premium,25577260.93
13,PA reinsurance,BP NN Premium,25577260.93
13,PA reinsurance,Net Premium,22660036.25
13,PA reinsurance,Net Expense/ GN Premium,0.208073774
13,PA reinsurance,Investment Income /GN Premium,7.54E-02
13,PA reinsurance,RI Premium/GN Premium,0.114055398
13,PA reinsurance,RI Recoveries/ GN Premium,4.67E-02
13,PA reinsurance,Capital Required / GN Premium,0.496878697
13,PA reinsurance,Att LR,0.412915167
13,PA reinsurance,Large LR,0.120541697
