Limit as proportion of TIV,WS1,EQ1
0.499000,0.989900,0.637500
0.500000,0.990000,0.638200
0.501000,0.990000,0.639000
0.502000,0.990100,0.639700
0.503000,0.990100,0.640400
0.504000,0.990100,0.641100
0.505000,0.990100,0.641900
0.506000,0.990200,0.642600
0.507000,0.990200,0.643300
0.508000,0.990200,0.644000
0.509000,0.990200,0.644800
0.510000,0.990300,0.645500
0.511000,0.990300,0.646200
0.512000,0.990300,0.646900
0.513000,0.990300,0.647700
0.514000,0.990400,0.648400
0.515000,0.990400,0.649100
0.516000,0.990400,0.649800
0.517000,0.990400,0.650600
0.518000,0.990400,0.651300
0.519000,0.990500,0.652000
0.520000,0.990500,0.652700
0.521000,0.990500,0.653400
0.522000,0.990500,0.654200
0.523000,0.990600,0.654900
0.524000,0.990600,0.655600
0.525000,0.990600,0.656300
0.526000,0.990700,0.657100
0.527000,0.990700,0.657800
0.528000,0.990700,0.658500
0.529000,0.990700,0.659200
0.530000,0.990800,0.660000
0.531000,0.990800,0.660700
0.532000,0.990800,0.661400
0.533000,0.990800,0.662100
0.534000,0.990800,0.662900
0.535000,0.990900,0.663600
0.536000,0.990900,0.664300
0.537000,0.990900,0.665000
0.538000,0.990900,0.665800
0.539000,0.991000,0.666500
0.540000,0.991000,0.667200
0.541000,0.991000,0.667900
0.542000,0.991000,0.668700
0.543000,0.991100,0.669400
0.544000,0.991100,0.670100
0.545000,0.991100,0.670800
0.546000,0.991100,0.671600
0.547000,0.991200,0.672300
0.548000,0.991200,0.673000
0.549000,0.991200,0.673700
0.550000,0.991200,0.674400
0.551000,0.991300,0.675200
0.552000,0.991300,0.675900
0.553000,0.991300,0.676600
0.554000,0.991400,0.677300
0.555000,0.991400,0.678100
0.556000,0.991400,0.678800
0.557000,0.991400,0.679500
0.558000,0.991500,0.680200
0.559000,0.991500,0.681000
0.560000,0.991500,0.681700
0.561000,0.991500,0.682400
0.562000,0.991600,0.683100
0.563000,0.991600,0.683900
0.564000,0.991600,0.684600
0.565000,0.991600,0.685300
0.566000,0.991700,0.686000
0.567000,0.991700,0.686800
0.568000,0.991700,0.687500
0.569000,0.991700,0.688200
0.570000,0.991700,0.688900
0.571000,0.991800,0.689700
0.572000,0.991800,0.690400
0.573000,0.991800,0.691100
0.574000,0.991800,0.691800
0.575000,0.991900,0.692600
0.576000,0.991900,0.693300
0.577000,0.991900,0.694000
0.578000,0.992000,0.694700
0.579000,0.992000,0.695500
0.580000,0.992000,0.696200
0.581000,0.992000,0.696900
0.582000,0.992100,0.697600
0.583000,0.992100,0.698300
0.584000,0.992100,0.699100
0.585000,0.992100,0.699800
0.586000,0.992200,0.700500
0.587000,0.992200,0.701200
0.588000,0.992200,0.702000
0.589000,0.992200,0.702700
0.590000,0.992300,0.703400
0.591000,0.992300,0.704100
0.592000,0.992300,0.704900
0.593000,0.992300,0.705600
0.594000,0.992400,0.706300
0.595000,0.992400,0.707000
0.596000,0.992400,0.707800
0.597000,0.992400,0.708500
0.598000,0.992500,0.709200
0.599000,0.992500,0.709900
0.600000,0.992500,0.710700
0.601000,0.992500,0.711400
0.602000,0.992600,0.712100
0.603000,0.992600,0.712800
0.604000,0.992600,0.713600
0.605000,0.992600,0.714300
0.606000,0.992700,0.715000
0.607000,0.992700,0.715700
0.608000,0.992700,0.716500
0.609000,0.992700,0.717200
0.610000,0.992800,0.717900
0.611000,0.992800,0.718600
0.612000,0.992800,0.719400
0.613000,0.992800,0.720100
0.614000,0.992900,0.720800
0.615000,0.992900,0.721500
0.616000,0.992900,0.722200
0.617000,0.992900,0.723000
0.618000,0.992900,0.723700
0.619000,0.993000,0.724400
0.620000,0.993000,0.725100
0.621000,0.993000,0.725900
0.622000,0.993000,0.726600
0.623000,0.993100,0.727300
0.624000,0.993100,0.728000
0.625000,0.993100,0.728800
0.626000,0.993200,0.729500
0.627000,0.993200,0.730200
0.628000,0.993200,0.730900
0.629000,0.993200,0.731700
0.630000,0.993300,0.732400
0.631000,0.993300,0.733100
0.632000,0.993300,0.733800
0.633000,0.993300,0.734600
0.634000,0.993300,0.735300
0.635000,0.993400,0.736000
0.636000,0.993400,0.736700
0.637000,0.993400,0.737500
0.638000,0.993400,0.738200
0.639000,0.993500,0.738900
0.640000,0.993500,0.739600
0.641000,0.993500,0.740400
0.642000,0.993500,0.741100
0.643000,0.993600,0.741800
0.644000,0.993600,0.742500
0.645000,0.993600,0.743300
0.646000,0.993600,0.744000
0.647000,0.993700,0.744700
0.648000,0.993700,0.745400
0.649000,0.993700,0.746100
0.650000,0.993700,0.746900
0.651000,0.993800,0.747600
0.652000,0.993800,0.748300
0.653000,0.993800,0.749000
0.654000,0.993900,0.749800
0.655000,0.993900,0.750500
0.656000,0.993900,0.751200
0.657000,0.993900,0.751900
0.658000,0.994000,0.752700
0.659000,0.994000,0.753400
0.660000,0.994000,0.754100
0.661000,0.994000,0.754800
0.662000,0.994100,0.755600
0.663000,0.994100,0.756300
0.664000,0.994100,0.757000
0.665000,0.994100,0.757700
0.666000,0.994200,0.758500
0.667000,0.994200,0.759200
0.668000,0.994200,0.759900
0.669000,0.994200,0.760600
0.670000,0.994200,0.761400
0.671000,0.994300,0.762100
