StateCounty,FL,WF,TN,HA
COGarfield County,3.47500000000000,5.37500000000000,1.00000000000000,1.00000000000000
COGilpin County,3.20000000000000,3.25000000000000,1.00000000000000,1.00000000000000
COGrand County,0.70000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COGunnison County,3.96363636363637,1.00000000000000,1.00000000000000,1.00000000000000
COHinsdale County,0.60000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COHuerfano County,3.71666666666667,3.12500000000000,1.00000000000000,1.00000000000000
COJackson County,0.80000000000000,3.37500000000000,1.00000000000000,1.00000000000000
COJefferson County,2.40360360360360,2.31756756756757,1.00000000000000,1.00000000000000
COKiowa County,1.64444444444444,4.45833333333333,1.00000000000000,1.00000000000000
COKit Carson County,0.73333333333333,6.50000000000000,1.00000000000000,1.00000000000000
COLa Plata County,2.82857142857143,8.14285714285714,1.00000000000000,1.00000000000000
COLake County,0.90000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COLarimer County,3.28055555555555,12.15625000000000,1.00000000000000,1.00000000000000
COLas Animas County,1.65128205128205,8.26923076923077,1.00000000000000,1.00000000000000
COLincoln County,3.43809523809524,1.00000000000000,1.00000000000000,1.00000000000000
COLogan County,2.60000000000000,3.37500000000000,1.00000000000000,1.00000000000000
COMesa County,0.81052631578947,1.71052631578947,1.00000000000000,1.00000000000000
COMineral County,15.00000000000000,2.00000000000000,1.00000000000000,1.00000000000000
COMoffat County,10.55238095238100,3.57142857142857,1.00000000000000,1.00000000000000
COMontezuma County,3.13333333333333,6.43750000000000,1.00000000000000,1.00000000000000
COMontrose County,1.54000000000000,6.00000000000000,1.00000000000000,1.00000000000000
COMorgan County,3.18333333333333,6.68750000000000,1.00000000000000,1.00000000000000
COOtero County,0.93333333333333,1.16666666666667,1.00000000000000,1.00000000000000
COOuray County,7.80000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COPark County,3.83333333333333,2.80000000000000,1.00000000000000,1.00000000000000
COPhillips County,2.06666666666667,7.37500000000000,1.00000000000000,1.00000000000000
COPitkin County,8.16190476190476,1.00000000000000,1.00000000000000,1.00000000000000
COProwers County,3.58888888888889,1.33333333333333,1.00000000000000,1.00000000000000
COPueblo County,3.87333333333333,1.42500000000000,1.00000000000000,1.00000000000000
CORio Blanco County,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000
CORio Grande County,3.23333333333333,5.50000000000000,1.00000000000000,1.00000000000000
CORoutt County,3.88888888888889,3.11111111111111,1.00000000000000,1.00000000000000
COSaguache County,7.54444444444445,5.58333333333333,1.00000000000000,1.00000000000000
COSan Juan County,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COSan Miguel County,2.03333333333333,3.20833333333333,1.00000000000000,1.00000000000000
COSedgwick County,1.64444444444444,4.16666666666667,1.00000000000000,1.00000000000000
COSummit County,0.76000000000000,1.00000000000000,1.00000000000000,1.00000000000000
COTeller County,0.80000000000000,5.41666666666667,1.00000000000000,1.00000000000000
COWashington County,4.82222222222222,1.79166666666667,1.00000000000000,1.00000000000000
COWeld County,2.11282051282051,6.55769230769231,1.00000000000000,1.00000000000000
COYuma County,0.88571428571429,8.82142857142857,1.00000000000000,1.00000000000000
CTFairfield County,3.86035087719299,1.00000000000000,1.00000000000000,1.00000000000000
CTHartford County,4.37901234567900,1.00000000000000,1.00000000000000,1.00000000000000
CTLitchfield County,3.96000000000000,1.00000000000000,1.00000000000000,1.00000000000000
CTMiddlesex County,2.78840579710145,1.00000000000000,1.00000000000000,1.00000000000000
CTNew Haven County,4.90000000000001,1.00000000000000,1.00000000000000,1.00000000000000
CTNew London County,3.88333333333334,1.07500000000000,1.00000000000000,1.00000000000000
CTTolland County,1.63666666666667,1.00000000000000,1.00000000000000,1.00000000000000
CTWindham County,2.22857142857143,1.00000000000000,1.00000000000000,1.00000000000000
DCDistrict of Columbia,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000
DEKent County,2.01159420289855,1.00000000000000,1.00000000000000,1.00000000000000
DENew Castle County,3.31030303030303,1.00000000000000,1.00000000000000,1.00000000000000
DESussex County,4.18181818181818,1.00000000000000,1.00000000000000,1.00000000000000
FLAlachua County,3.53750000000000,4.90625000000000,1.00000000000000,1.00000000000000
FLBaker County,2.75000000000000,20.75000000000000,1.00000000000000,1.00000000000000
