State,CA_TN Buildings,CA_TN Contents,CA_TN BI,CA_HA Buildings,CA_HA Contents,CA_HA BI,CA_WS Rate All,CA_FL Rate,CA_WF Rate,CA_FL Rel,CA_WF Rel,CA_TN Rel,CA_HA Rel
GISBORNE DISTRICTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
BAY OF PLENTYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
MANAWATU-WANGANUINA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
MARLBOROUGHNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
SOUTHLANDNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WEST COASTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
TASMAN DISTRICTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
WELLINGTON REGIONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
AUCKLAND REGIONNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
BRITTANYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
BOURGOGNE-FRANCHE-COMTÉNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
CORSICANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
CENTRE-VAL DE LOIRENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
GRAND ESTNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
HAUTS-DE-FRANCENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
ÎLE-DE-FRANCENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NOUVELLE-AQUITAINENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
NORMANDYNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
OCCITANIANA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
PAYS DE LA LOIRENA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
PROVENCE-ALPES-CÔTE D'AZURNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
AUVERGNE-RHÔNE-ALPESNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
HAMBURGNA,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.000000000000000000,1.00,1.00,1.00,1.00
