Lookup code,Values,AOP,WS,EQ,Excess FL,Equipment breakdown,PAF,Wildfire
0.122,-999,0.4095,0.1402,0.6422,0.4095,-999,-999,0.4095
0.123,-999,0.40790000000000004,0.1391,0.6413,0.40790000000000004,-999,-999,0.40790000000000004
0.124,-999,0.4064,0.13790000000000002,0.6404000000000001,0.4064,-999,-999,0.4064
0.125,-999,0.40490000000000004,0.13680000000000003,0.6395,0.40490000000000004,-999,-999,0.40490000000000004
0.126,-999,0.40349999999999997,0.13560000000000005,0.6386000000000001,0.40349999999999997,-999,-999,0.40349999999999997
0.127,-999,0.402,0.13449999999999995,0.6376999999999999,0.402,-999,-999,0.402
0.128,-999,0.40049999999999997,0.13329999999999997,0.6368,0.40049999999999997,-999,-999,0.40049999999999997
0.129,-999,0.3991,0.13219999999999998,0.6359,0.3991,-999,-999,0.3991
0.13,-999,0.39759999999999995,0.131,0.635,0.39759999999999995,-999,-999,0.39759999999999995
0.131,-999,0.3962,0.12990000000000002,0.6341,0.3962,-999,-999,0.3962
0.132,-999,0.39480000000000004,0.12880000000000003,0.6332,0.39480000000000004,-999,-999,0.39480000000000004
0.133,-999,0.3933,0.12770000000000004,0.6323,0.3933,-999,-999,0.3933
0.134,-999,0.3919,0.12660000000000005,0.6315,0.3919,-999,-999,0.3919
0.135,-999,0.39059999999999995,0.12549999999999994,0.6306,0.39059999999999995,-999,-999,0.39059999999999995
0.136,-999,0.3892,0.12439999999999996,0.6296999999999999,0.3892,-999,-999,0.3892
0.137,-999,0.38780000000000003,0.12329999999999997,0.6288,0.38780000000000003,-999,-999,0.38780000000000003
0.138,-999,0.38639999999999997,0.12219999999999998,0.6279,0.38639999999999997,-999,-999,0.38639999999999997
0.139,-999,0.3851,0.12109999999999999,0.627,0.3851,-999,-999,0.3851
0.14,-999,0.38370000000000004,0.12,0.6262,0.38370000000000004,-999,-999,0.38370000000000004
0.141,-999,0.38239999999999996,0.119,0.6253,0.38239999999999996,-999,-999,0.38239999999999996
0.142,-999,0.3811,0.118,0.6244000000000001,0.3811,-999,-999,0.3811
0.143,-999,0.3798,0.11699999999999999,0.6235999999999999,0.3798,-999,-999,0.3798
0.144,-999,0.37839999999999996,0.11599999999999999,0.6227,0.37839999999999996,-999,-999,0.37839999999999996
0.145,-999,0.3771,0.11499999999999999,0.6218,0.3771,-999,-999,0.3771
0.146,-999,0.3758,0.11399999999999999,0.6209,0.3758,-999,-999,0.3758
0.147,-999,0.37460000000000004,0.11299999999999999,0.6201,0.37460000000000004,-999,-999,0.37460000000000004
0.148,-999,0.37329999999999997,0.11199999999999999,0.6192,0.37329999999999997,-999,-999,0.37329999999999997
0.149,-999,0.372,0.11099999999999999,0.6183000000000001,0.372,-999,-999,0.372
0.15,-999,0.3708,0.10999999999999999,0.6174999999999999,0.3708,-999,-999,0.3708
0.151,-999,0.36950000000000005,0.10909999999999997,0.6167,0.36950000000000005,-999,-999,0.36950000000000005
0.152,-999,0.36829999999999996,0.10819999999999996,0.6159,0.36829999999999996,-999,-999,0.36829999999999996
0.153,-999,0.367,0.10729999999999995,0.6151,0.367,-999,-999,0.367
0.154,-999,0.3658,0.10640000000000005,0.6143000000000001,0.3658,-999,-999,0.3658
0.155,-999,0.36460000000000004,0.10550000000000004,0.6134999999999999,0.36460000000000004,-999,-999,0.36460000000000004
0.156,-999,0.36339999999999995,0.10460000000000003,0.6127,0.36339999999999995,-999,-999,0.36339999999999995
0.157,-999,0.36219999999999997,0.10370000000000001,0.6119,0.36219999999999997,-999,-999,0.36219999999999997
0.158,-999,0.361,0.1028,0.6112,0.361,-999,-999,0.361
0.159,-999,0.3598,0.10189999999999999,0.6104,0.3598,-999,-999,0.3598
0.16,-999,0.35860000000000003,0.10099999999999998,0.6095999999999999,0.35860000000000003,-999,-999,0.35860000000000003
0.161,-999,0.35740000000000005,0.10019999999999996,0.6088,0.35740000000000005,-999,-999,0.35740000000000005
0.162,-999,0.35619999999999996,0.09940000000000004,0.608,0.35619999999999996,-999,-999,0.35619999999999996
0.163,-999,0.35509999999999997,0.09860000000000002,0.6072,0.35509999999999997,-999,-999,0.35509999999999997
0.164,-999,0.3539,0.0978,0.6064,0.3539,-999,-999,0.3539
0.165,-999,0.3528,0.09699999999999998,0.6057,0.3528,-999,-999,0.3528
0.166,-999,0.3516,0.09619999999999995,0.6049,0.3516,-999,-999,0.3516
0.167,-999,0.35050000000000003,0.09540000000000004,0.6041000000000001,0.35050000000000003,-999,-999,0.35050000000000003
0.168,-999,0.34940000000000004,0.09460000000000002,0.6033,0.34940000000000004,-999,-999,0.34940000000000004
0.169,-999,0.34819999999999995,0.0938,0.6025,0.34819999999999995,-999,-999,0.34819999999999995
0.17,-999,0.34709999999999996,0.09299999999999997,0.6018,0.34709999999999996,-999,-999,0.34709999999999996
0.171,-999,0.346,0.09230000000000005,0.601,0.346,-999,-999,0.346
0.172,-999,0.3449,0.09160000000000001,0.6002000000000001,0.3449,-999,-999,0.3449
0.173,-999,0.3438,0.09089999999999998,0.5993999999999999,0.3438,-999,-999,0.3438
0.174,-999,0.3427,0.09019999999999995,0.5987,0.3427,-999,-999,0.3427
0.175,-999,0.3416,0.08950000000000002,0.5979,0.3416,-999,-999,0.3416
0.176,-999,0.3406,0.08879999999999999,0.5971,0.3406,-999,-999,0.3406
0.177,-999,0.3395,0.08809999999999996,0.5963,0.3395,-999,-999,0.3395
0.178,-999,0.33840000000000003,0.08740000000000003,0.5956,0.33840000000000003,-999,-999,0.33840000000000003
0.179,-999,0.33730000000000004,0.0867,0.5948,0.33730000000000004,-999,-999,0.33730000000000004
0.18,-999,0.33630000000000004,0.08599999999999997,0.594,0.33630000000000004,-999,-999,0.33630000000000004
0.181,-999,0.33520000000000005,0.08540000000000003,0.5932,0.33520000000000005,-999,-999,0.33520000000000005
0.182,-999,0.33420000000000005,0.08479999999999999,0.5925,0.33420000000000005,-999,-999,0.33420000000000005
0.183,-999,0.33320000000000005,0.08420000000000005,0.5917,0.33320000000000005,-999,-999,0.33320000000000005
0.184,-999,0.33209999999999995,0.08360000000000001,0.5909,0.33209999999999995,-999,-999,0.33209999999999995
0.185,-999,0.33109999999999995,0.08299999999999996,0.5902000000000001,0.33109999999999995,-999,-999,0.33109999999999995
0.186,-999,0.33009999999999995,0.08240000000000003,0.5893999999999999,0.33009999999999995,-999,-999,0.33009999999999995
0.187,-999,0.32899999999999996,0.08179999999999998,0.5886,0.32899999999999996,-999,-999,0.32899999999999996
0.188,-999,0.32799999999999996,0.08120000000000005,0.5879,0.32799999999999996,-999,-999,0.32799999999999996
0.189,-999,0.32699999999999996,0.0806,0.5871,0.32699999999999996,-999,-999,0.32699999999999996
0.19,-999,0.32599999999999996,0.07999999999999996,0.5863,0.32599999999999996,-999,-999,0.32599999999999996
