PolicyReference,SectionReference,YOA,CoverageName,TriFocusName,Division,RateChangeDivisor,SettlementCurrency,WrittenOrEstimatPrem,TotalIncurred,RateChangeReformat,WEPOnLevel,Index,TotalWrittenIfNotSignedMultiplier,TotalWEP
B0816C93,B0816C93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,664.9848,243.8461,1,664.9848,B0816CANFJ,0.025,26599.392
F7872K93,F7872K93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,3034.7884,0,1,3034.7884,F7872KANFJ,0.4,7586.971
F7901Q93,F7901Q93BNFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,4968.2879,0,1,4968.2879,F7901QBNFW,0.1839,27016.24742
F7920X93,F7920X93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1417.9296,0,1,1417.9296,F7920XANFJ,0.2326,6096
B0999G93,B0999G93ANFM,1992,General Specie,Fine Art and Specie,Property Risks,0,GBP,0,0,1,0,B0999GANFM,0.08929,0
F8603K93,F8603K93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,922.274,0,1,922.274,F8603KANFJ,0.02697,34196.29218
F7864B93,F7864B93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,4061.7474,11302.5836,1,4061.7474,F7864BANFJ,0.1111,36559.38254
F7917J93,F7917J93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1430.8451,339.3308,1,1430.8451,F7917JANFJ,0.1304,10972.7385
F7924K93,F7924K93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1375.313,0,1,1375.313,F7924KANFJ,0.15,9168.753333
F7918X93,F7918X93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,0,0,1,0,F7918XANFD,0.2,0
F7884N93,F7884N93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2367.28,0,1,2367.28,F7884NANFJ,0.5,4734.56
F8572K93,F8572K93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,423.1049,0,1,423.1049,F8572KANFJ,0.1905,2221.023097
F8540V93,F8540V93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,117.6674,0,1,117.6674,F8540VANFD,0.1853,635.0102536
F7883E93,F7883E93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,0,0,1,0,F7883EANFD,0.5,0
F7876D93,F7876D93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,4127.307,0,1,4127.307,F7876DANFW,0.1834,22504.40022
B0035C93,B0035C93BVFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,USD,5675.3765,2708.1009,1,5675.3765,B0035CBVFJ,0.00426,1332248.005
F8551K93,F8551K93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,463.8379,0,1,463.8379,F8551KANFM,1,463.8379
F7882V93,F7882V93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,6077.4635,0,1,6077.4635,F7882VANFJ,0.13034,46627.76968
B1008H93,B1008H93AVFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,7991.7696,6151.025,1,7991.7696,B1008HAVFR,0.085,94020.81882
F7873Z93,F7873Z93ANFR,1993,Fine Art,Fine Art and Specie,Property Risks,0,GBP,728.2693,0,1,728.2693,F7873ZANFR,0.2041,3568.198432
B1507E93,B1507E93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,1214.2977,0,1,1214.2977,B1507EANFM,0.1,12142.977
F8705A93,F8705A93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,756.92,0,1,756.92,F8705AANFJ,0.0745,10160
F8548C93,F8548C93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,550.9832,929.5364,1,550.9832,F8548CANFJ,0.093,5924.550538
F8546F93,F8546F93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,343.8305,0,1,343.8305,F8546FANFJ,0.1538,2235.568921
F8547Q93,F8547Q93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,277.9213,1183.8686,1,277.9213,F8547QANFJ,0.1539,1805.8564
F8545X93,F8545X93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1511.6132,0,1,1511.6132,F8545XANFJ,0.243903,6197.599866
F8576D93,F8576D93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1276.6681,0,1,1276.6681,F8576DANFJ,0.15,8511.120667
F8186X93,F8186X93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,USD,262.5,0,1,262.5,F8186XANFD,0.25,1050
F8568Q93,F8568Q93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,508,0,1,508,F8568QANFW,0.5,1016
F8567F93,F8567F93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,236.281,0,1,236.281,F8567FANFD,0.11628,2032.000344
F8216J93,F8216J93ANFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,60.96,0,1,60.96,F8216JANFM,0.1,609.6
F8579H93,F8579H93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1027.2911,0,1,1027.2911,F8579HANFJ,0.30862,3328.660165
F8559V93,F8559V93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,0,0,1,0,F8559VANFD,0.2,0
F8691G93,F8691G93ANFM,1994,General Specie,Fine Art and Specie,Property Risks,0,GBP,543.3431,0,1,543.3431,F8691GANFM,0.0976,5567.039959
F8581H93,F8581H93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1861.3495,0,1,1861.3495,F8581HANFJ,0.315,5909.046032
F8584N93,F8584N93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,USD,1060,0,1,1060,F8584NANFD,0.5,2120
F8557A93,F8557A93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,1402.0474,0,1,1402.0474,F8557AANFD,0.1923,7290.938118
F8587X93,F8587X93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,447.3374,0,1,447.3374,F8587XANFJ,0.0455,9831.591209
F8699N93,F8699N93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,381,0,1,381,F8699NANFD,0.5,762
F8562E93,F8562E93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,876.3,0,1,876.3,F8562EANFJ,0.5,1752.6
F8563N93,F8563N93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1306.257,0,1,1306.257,F8563NANFJ,0.23809,5486.400101
F8570Q93,F8570Q93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2063.7294,0,1,2063.7294,F8570QANFJ,0.33333,6191.250113
F8571C93,F8571C93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1650.9835,0,1,1650.9835,F8571CANFJ,0.33333,4953.00003
F8698E93,F8698E93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,177.8,0,1,177.8,F8698EANFD,0.25,711.2
F8598L93,F8598L93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,2600.0677,0,1,2600.0677,F8598LANFJ,0.140187,18547.13847
F8602C93,F8602C93ANFD,1993,Art Dealers,Jewellers,Property Risks,0,GBP,0,0,1,0,F8602CANFD,0.3333,0
F8589Q93,F8589Q93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,889,0,1,889,F8589QANFW,0.25,3556
F8586J93,F8586J93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,749.3,0,1,749.3,F8586JANFJ,0.25,2997.2
F8608L93,F8608L93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,381,0,1,381,F8608LANFJ,0.5,762
F8606S93,F8606S93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,360.2736,0,1,360.2736,F8606SANFW,0.1182,3048
F8595G93,F8595G93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,4539.5867,0,1,4539.5867,F8595GANFJ,0.17544,25875.43719
F8594Z93,F8594Z93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,5246.4213,2268.9284,1,5246.4213,F8594ZANFW,0.1238,42378.20113
F8588F93,F8588F93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,1215.3265,0,1,1215.3265,F8588FANFW,0.19139,6350
F8610L93,F8610L93ANFW,1993,Jewellers - Wholesale,Jewellers,Property Risks,0,GBP,1967.5023,0,1,1967.5023,F8610LANFW,0.123149,15976.59989
F8614E93,F8614E93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,1168.4,0,1,1168.4,F8614EANFJ,0.2,5842
F8613V93,F8613V93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,277.1242,0,1,277.1242,F8613VANFJ,0.4546,609.600088
F8597D93,F8597D93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,USD,5194.8,844.0588,1,5194.8,F8597DANFJ,0.0481,108000
F8601Q93,F8601Q93ANFJ,1993,Jewellers - Retail,Jewellers,Property Risks,0,GBP,100020.4021,0,1,100020.4021,F8601QANFJ,0.08495,1177403.203
L0664E93,L0664E93BNFM,1993,General Specie,Fine Art and Specie,Property Risks,0,GBP,24377.9831,2054.6484,1,24377.9831,L0664EBNFM,0.1383,176268.8583
