Version,Benchmark Class,Year,Value
11,E&S Property,2016,0.945603294
11,E&S Property,2017,0.977411872
11,E&S Property,2018,1.079295654
11,E&S Property,2019,1.11099541
11,E&S Property,2020,1.154491484
11,E&S Property,2021,1.126999926
11,E&S Property,2022,1.163800049
11,E&S Property,2023,1.18
11,E&S Property,2024,1.18
11,E&S Property,2025,1.18
11,E&S Property,2026,1.18
11,E&S Property,2027,1.18
11,E&S Property,2028,1.18
11,E&S Property,2029,1.18
11,E&S Property,2030,1.18
11,Energy Liab and Cas,2000,0.971930811
11,Energy Liab and Cas,2001,1.120751263
11,Energy Liab and Cas,2002,1.206182686
11,Energy Liab and Cas,2003,1.057277051
11,Energy Liab and Cas,2004,1.065288151
11,Energy Liab and Cas,2005,1.038989965
11,Energy Liab and Cas,2006,1.139070815
11,Energy Liab and Cas,2007,0.963363114
11,Energy Liab and Cas,2008,0.928328183
11,Energy Liab and Cas,2009,1.048072566
11,Energy Liab and Cas,2010,1.097312069
11,Energy Liab and Cas,2011,1.098179436
11,Energy Liab and Cas,2012,1.051302571
11,Energy Liab and Cas,2013,0.99605759
11,Energy Liab and Cas,2014,0.951966481
11,Energy Liab and Cas,2015,0.870323133
11,Energy Liab and Cas,2016,0.921569443
11,Energy Liab and Cas,2017,0.930958562
11,Energy Liab and Cas,2018,1.020056296
11,Energy Liab and Cas,2019,1.003534051
11,Energy Liab and Cas,2020,1.046706678
11,Energy Liab and Cas,2021,1.0698808
11,Energy Liab and Cas,2022,1.059127187
11,Energy Liab and Cas,2023,1.025
11,Energy Liab and Cas,2024,1.025
11,Energy Liab and Cas,2025,1.025
11,Energy Liab and Cas,2026,1.025
11,Energy Liab and Cas,2027,1.025
11,Energy Liab and Cas,2028,1.025
11,Energy Liab and Cas,2029,1.025
11,Energy Liab and Cas,2030,1.025
11,Energy PD,2000,0.99
11,Energy PD,2001,1.529381479
11,Energy PD,2002,1.482209281
11,Energy PD,2003,1.079190589
11,Energy PD,2004,0.958606499
11,Energy PD,2005,1.119941828
11,Energy PD,2006,1.387520448
11,Energy PD,2007,0.905649999
11,Energy PD,2008,0.869108277
11,Energy PD,2009,1.251604902
11,Energy PD,2010,0.963747228
11,Energy PD,2011,1.038666521
11,Energy PD,2012,1.017743808
11,Energy PD,2013,0.962393042
11,Energy PD,2014,0.884649153
11,Energy PD,2015,0.84003742
11,Energy PD,2016,0.879762271
11,Energy PD,2017,0.908327845
11,Energy PD,2018,1.067032322
11,Energy PD,2019,1.012978337
11,Energy PD,2020,1.037108333
11,Energy PD,2021,1.041564031
11,Energy PD,2022,1.019308782
11,Energy PD,2023,1.025
11,Energy PD,2024,1.025
11,Energy PD,2025,1.025
11,Energy PD,2026,1.025
11,Energy PD,2027,1.025
11,Energy PD,2028,1.025
11,Energy PD,2029,1.025
11,Energy PD,2030,1.025
11,Environmental,2000,1.039842072
11,Environmental,2001,1.179199038
11,Environmental,2002,1.387628983
11,Environmental,2003,1.229139912
11,Environmental,2004,1.097653234
11,Environmental,2005,1.024892065
11,Environmental,2006,1.024927899
11,Environmental,2007,0.956301241
11,Environmental,2008,0.941442076
11,Environmental,2009,0.993515858
11,Environmental,2010,0.998523014
11,Environmental,2011,1.002816167
11,Environmental,2012,1.01427088
11,Environmental,2013,1.135977834
11,Environmental,2014,1.036976906
11,Environmental,2015,1.001395885
11,Environmental,2016,1.146604549
11,Environmental,2017,1.008689389
11,Environmental,2018,1.036859943
11,Environmental,2019,1.05480507
11,Environmental,2020,1.021604504
11,Environmental,2021,1.040930502
11,Environmental,2022,1.046468059
11,Environmental,2023,1.03
11,Environmental,2024,1.03
11,Environmental,2025,1.03
11,Environmental,2026,1.03
11,Environmental,2027,1.03
11,Environmental,2028,1.03
11,Environmental,2029,1.03
11,Environmental,2030,1.03
11,EPL,2000,1.018084298
11,EPL,2001,1.412000955
11,EPL,2002,1.607004615
11,EPL,2003,1.222693849
11,EPL,2004,1.00251207
11,EPL,2005,0.96185272
11,EPL,2006,0.973982963
11,EPL,2007,0.979005223
11,EPL,2008,0.965355912
11,EPL,2009,1.041176046
11,EPL,2010,1.042077811
11,EPL,2011,1.043540088
11,EPL,2012,1.181363613
11,EPL,2013,1.187422566
11,EPL,2014,1.125880745
11,EPL,2015,1.067265901
11,EPL,2016,1.015675526
11,EPL,2017,0.99692622
11,EPL,2018,1.038836778
11,EPL,2019,1.069624457
11,EPL,2020,1.307465136
11,EPL,2021,1.448202059
11,EPL,2022,1.193209919
11,EPL,2023,1.05
11,EPL,2024,1.05
11,EPL,2025,1.05
11,EPL,2026,1.05
11,EPL,2027,1.05
