"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_total_months_launch_delivery","ship_building_total_months_launch_delivery","float","input","optional","Total Months
Keel Launch-Delivery","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_total_months_all_stages","ship_building_total_months_all_stages","float","input","optional","Total Months (All Stages)","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_country","ship_building_country","str","input","optional","Country","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_survey_grade","ship_building_survey_grade","str","input","optional","Survey Grade","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_deductible","ship_building_deductible","float","input","optional","Deductible","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_sum_insured","ship_building_sum_insured","float","input","optional","Sum Insured","None"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list/ship_building_benchmark_rate","ship_building_benchmark_rate","float","output","n/a","Benchmark rate
(net brokerage)
incl UW adj","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_vessels_list","ship_building_vessels_list","list","n/a","n/a","n/a","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_overall_process_base_rate","ship_building_pricing_overall_process_base_rate","float","output","n/a","Overall Process Base Rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_base_rate_steel_cutting_keel_laying","ship_building_pricing_base_rate_steel_cutting_keel_laying","float","output","n/a","Steel Cutting and Keel Lay - Base Rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_base_rate_keel_laying_launch","ship_building_pricing_base_rate_keel_laying_launch","float","output","n/a","Launch -Base Rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_base_rate_launch_delivery","ship_building_pricing_base_rate_launch_delivery","float","output","n/a","Delivery- Base Rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_base_rate_non_war","ship_building_pricing_base_rate_non_war","float","output","n/a","Base rate (non-war)","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_vessel_type","ship_building_pricing_vessel_type","str","output","n/a","Type of Vessel","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_country","ship_building_pricing_country","str","output","n/a","Country","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_survey_grade","ship_building_pricing_survey_grade","float","output","n/a","Survey Grade","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_deductible","ship_building_pricing_deductible","float","output","n/a","Deductible","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_non_war_premium_net_rate","ship_building_pricing_non_war_premium_net_rate","float","output","n/a","Non-war premium net rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_war_premium_net_rate","ship_building_pricing_war_premium_net_rate","float","output","n/a","War premium net rate","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_total_exposure_net_rate_pre_fleet","ship_building_pricing_total_exposure_net_rate_pre_fleet","float","output","n/a","Total exposure net rate (pre fleet discount)","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_fleet_discount","ship_building_pricing_fleet_discount","float","output","n/a","Fleet discount","n/a"
"cds/exposure/granular/vessels/ship_building_rating/ship_building_pricing_vessels_list/ship_building_pricing_total_exposure_net_rate","ship_building_pricing_total_exposure_net_rate","float","output","n/a","Total exposure net rate","n/a"
