"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/rate_change/exposure_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/exposure_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/exposure_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/exposure_change","exposure_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/risk_characteristics_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/risk_characteristics_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/risk_characteristics_change","risk_characteristics_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/limit_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/limit_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/limit_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/limit_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/limit_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/limit_change","limit_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/deductible_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/deductible_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/deductible_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/deductible_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/deductible_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/deductible_change","deductible_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/terms_conditions_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/terms_conditions_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/terms_conditions_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/terms_conditions_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/terms_conditions_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/terms_conditions_change","terms_conditions_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/other_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/other_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/other_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/other_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/other_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/other_change","other_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/brokerage_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/brokerage_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/brokerage_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/brokerage_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/brokerage_change","brokerage_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","[]"
"cds/layers/rate_change/rate_change/uw_selected","uw_selected","float","output","n/a","UW Selected","n/a","n/a","[]"
"cds/layers/rate_change/rate_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/rate_change/lloyds_limit_attachment_point_change","lloyds_limit_attachment_point_change","float","output","n/a","Lloyds's Limit Attachment Point Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/lloyds_breadth_of_cover_change","lloyds_breadth_of_cover_change","float","output","n/a","Lloyds's Breadth of Cover Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/other_factors_change","other_factors_change","float","output","n/a","Other Factors Change","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","n/a"
"cds/layers/rate_change/rate_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/rate_change","rate_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/expiring_layer","expiring_layer","int","input","optional","Expiring Layer","None","['expiring_policy_fetch_task', 'rarc_task']","[{'task': 'start_renewal_task', 'reset': False}]"
"cds/layers/rate_change/risk_adjusted_rate_change","risk_adjusted_rate_change","float","output","n/a","Final Risk Adjusted Rate Change","n/a","n/a","n/a"
"cds/layers/rate_change/risk_adjusted_rate_change_gross_for_reporting","risk_adjusted_rate_change_gross_for_reporting","float","output","n/a","Risk Adjusted Rate Change (Gross For Reporting)","n/a","n/a","n/a"
"cds/layers/rate_change/risk_adjusted_rate_change_case_priced","risk_adjusted_rate_change_case_priced","float","input","optional","Final Risk Adjusted Rate Change","None","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/policy_term","policy_term","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct/annualised","annualised","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/line_100pct","line_100pct","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/policy_term","policy_term","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/rebased_expiring","rebased_expiring","float","output","n/a","Rebased
Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line/annualised","annualised","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium/beazley_line","beazley_line","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/premium","premium","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/limit/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/limit/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/limit/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/limit","limit","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/deductible/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/deductible","deductible","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/excess/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
"cds/layers/rate_change/excess/expiring","expiring","float","output","n/a","Expiring","n/a","n/a","n/a"
"cds/layers/rate_change/excess/expiring_revalued","expiring_revalued","float","output","n/a","Expiring Revalued","n/a","n/a","n/a"
"cds/layers/rate_change/excess","excess","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/market_cap/renewal","renewal","float","output","n/a","Renewal","n/a","n/a","n/a"
