vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Fire Fighting Tug - XFF,20,24,56486.898160000000000000000000,23408000,2,0.002413145000000000000000
Fire Fighting Tug - XFF,30,999,48392.430000000000000000000000,4050000,3,0.011948748148148100000000
Fire Fighting Tug - XFF,35,39,23525.123442000000000000000000,486140,3,0.048391663804665300000000
Fire Fighting Tug - XFF,40,44,43201.383101800000000000000000,802706,5,0.053819683796807300000000
Fire Fighting Tug/Supply - XFS,2,4,23417.466240000000000000000000,8079000,1,0.002898560000000000000000
Fire Fighting Tug/Supply - XFS,5,8,106978.221564000000000000000000,20769750,4,0.005150674493626550000000
Fire Fighting Tug/Supply - XFS,9,14,58540.323720000000000000000000,12010500,4,0.004874095476458100000000
Fishery Protection - FFP,5,8,691000.167000000000000000000000,132000000,3,0.005234849750000000000000
Fishing (General) - FFS,0,1,44813.036519697600000000000000,2909937.436344000000000000000000,4,0.015400000000000000000000
Fishing (General) - FFS,15,19,1156549.350624400000000000000000,72130979.875108000000000000000000,24,0.016034016904067000000000
Fishing (General) - FFS,2,4,82800,30000000,1,0.002760000000000000000000
Fishing (General) - FFS,20,24,232579.531507805000000000000000,5981617.850425000000000000000000,7,0.038882378868666700000000
Fishing (General) - FFS,25,29,2289232.810000000000000000000000,386400000,22,0.005924515553830230000000
Fishing (General) - FFS,30,999,3372566.326705630000000000000000,606849719.557132000000000000000000,25,0.005557498369063870000000
Fishing (General) - FFS,35,39,1864618.772615120000000000000000,62697230.488821000000000000000000,8,0.029740050048105200000000
Fishing (General) - FFS,40,44,542638.519654607000000000000000,10092172.508868000000000000000000,7,0.053768256455960300000000
Fishing (General) - FFS,45,49,237036.949850959000000000000000,8101255.765613000000000000000000,2,0.029259284820644500000000
Fishing (General) - FFS,5,8,870315,139500000,6,0.006238817204301070000000
Fishing (General) - FFS,50,999,86805.957585697000000000000000,2576810.424057000000000000000000,3,0.033687366666666700000000
Fishing (General) - FFS,9,14,552870.666807611000000000000000,21650866.581345000000000000000000,5,0.025535729238846300000000
Floating Crane - OFL,15,19,76860.900685600000000000000000,12904800,2,0.005955993171967020000000
Floating Crane - OFL,2,4,174177.884054400000000000000000,54289650,3,0.003208307367139040000000
Floating Crane - OFL,20,24,15204.844368000000000000000000,2438400,1,0.006235582500000000000000
Floating Crane - OFL,25,29,17750.252217600000000000000000,3068800,1,0.005784102000000000000000
Floating Crane - OFL,30,999,3303.338056113390000000000000,3373414.495187000000000000000000,2,0.000979226851851859000000
Floating Crane - OFL,45,49,7295.327446100130000000000000,7371535.378372000000000000000000,2,0.000989661864406775000000
Floating Crane - OFL,5,8,557098.892991272000000000000000,120599777,5,0.004619402347578740000000
Floating Crane - OFL,9,14,261100.429160000000000000000000,76892800,5,0.003395642103812060000000
Floating Gas Production - LFP,0,1,178505.250000000000000000000000,70000000,1,0.002550075000000000000000
Floating Gas Production - LFP,2,4,183700.303312500000000000000000,73775000,1,0.002490007500000000000000
Floating Gas Storage - LFS,0,1,398182.400000000000000000000000,224000000,1,0.001777600000000000000000
Floating Gas Storage - LFS,2,4,117809.628750000000000000000000,33000000,2,0.003569988750000000000000
Floating Gas Storage - LFS,20,24,37213.578000000000000000000000,20400000,1,0.001824195000000000000000
Floating Gas Storage - LFS,35,39,102035.917814400000000000000000,17803587,1,0.005731200000000000000000
Floating Gas Storage - LFS,45,49,9102.845812500000000000000000,450000,1,0.020228546250000000000000
Floating Production Tanker - TFP,20,24,114694.650000000000000000000000,30000000,1,0.003823155000000000000000
Floating Storage Tanker - TFS,15,19,292928.248369977000000000000000,105562858,5,0.002774917749668890000000
Floating Storage Tanker - TFS,20,24,688343.238443503000000000000000,190971426,11,0.003604430531107330000000
Floating Storage Tanker - TFS,25,29,120336.671829462000000000000000,26750178,2,0.004498537237003130000000
Floating Storage Tanker - TFS,30,999,40866.612520959000000000000000,18764917.450000000000000000000000,1,0.002177820000000000000000
Floating Storage Tanker - TFS,9,14,86231.250000000000000000000000,25550000,1,0.003375000000000000000000
Fully Cellular Containership - UCC,0,1,1170702.488000000000000000000000,618040000,14,0.001894217992362950000000
Fully Cellular Containership - UCC,15,19,5927752.691048670000000000000000,1082232920.072410000000000000000000,82,0.005477335406367080000000
Fully Cellular Containership - UCC,2,4,1083180.570884170000000000000000,736710931.247025000000000000000000,11,0.001470292519008350000000
Fully Cellular Containership - UCC,20,24,2260329.002574470000000000000000,240890084.282694000000000000000000,33,0.009383238041138660000000
Fully Cellular Containership - UCC,25,29,42471.682500000000000000000000,5000000,1,0.008494336500000000000000
