"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/peril_allocation/air_el_approx/el_other","el_other","float","output","n/a","AIR Other PML Approx.","n/a","n/a","['peril_allocation_task']"
"cds/layers/peril_allocation/air_el_approx","air_el_approx","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation/rms_aal/el_eq","el_eq","float","input","optional","RMS EQ AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_ws","el_ws","float","input","optional","RMS WS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_scs","el_scs","float","input","optional","RMS SCS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_wf","el_wf","float","input","optional","RMS WF AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_winter","el_winter","float","input","optional","RMS Winter AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_fl","el_fl","float","input","optional","RMS FL AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal/el_other","el_other","float","input","optional","RMS Other AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/rms_aal","rms_aal","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/peril_allocation/air_aal/el_eq","el_eq","float","input","optional","AIR EQ AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_ws","el_ws","float","input","optional","AIR WS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_scs","el_scs","float","input","optional","AIR SCS AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_wf","el_wf","float","input","optional","AIR WF AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_winter","el_winter","float","input","optional","AIR Winter AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_fl","el_fl","float","input","optional","AIR FL AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal/el_other","el_other","float","input","optional","AIR Other AAL","None","['peril_allocation_task']","['start_renewal_task']"
"cds/layers/peril_allocation/air_aal","air_aal","structure","n/a","n/a","n/a","n/a","n/a","n/a"
