coverage_label,coverage_name,us_international,product,class,surcharge
Stop Gap,stop_gap,US,Misc Med,Clinic - AIDS/Community/FTCA,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - AIDS/Community/FTCA,0.05
TRIA,tria,US,Misc Med,Clinic - AIDS/Community/FTCA,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - AIDS/Community/FTCA,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - AIDS/Community/FTCA,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - AIDS/Community/FTCA,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - AIDS/Community/FTCA,0.06
Product Liability,product_liability,International,Misc Med,Clinic - AIDS/Community/FTCA,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - AIDS/Community/FTCA,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - AIDS/Community/FTCA,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - AIDS/Community/FTCA,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - AIDS/Community/FTCA,0.05
TRIA,tria,International,Misc Med,Clinic - AIDS/Community/FTCA,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - AIDS/Community/FTCA,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - AIDS/Community/FTCA,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Dental,1.0
General Liability,general_liability,US,Misc Med,Clinic - Dental,0.06
Product Liability,product_liability,US,Misc Med,Clinic - Dental,0.01
E&O,eo,US,Misc Med,Clinic - Dental,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Dental,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Dental,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Dental,0.05
TRIA,tria,US,Misc Med,Clinic - Dental,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Dental,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Dental,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Dental,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Dental,0.06
Product Liability,product_liability,International,Misc Med,Clinic - Dental,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Dental,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Dental,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Dental,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Dental,0.05
TRIA,tria,International,Misc Med,Clinic - Dental,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Dental,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Dental,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Eye Care,1.0
General Liability,general_liability,US,Misc Med,Clinic - Eye Care,0.05
Product Liability,product_liability,US,Misc Med,Clinic - Eye Care,0.02
E&O,eo,US,Misc Med,Clinic - Eye Care,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Eye Care,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Eye Care,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Eye Care,0.05
TRIA,tria,US,Misc Med,Clinic - Eye Care,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Eye Care,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Eye Care,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Eye Care,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Eye Care,0.05
Product Liability,product_liability,International,Misc Med,Clinic - Eye Care,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Eye Care,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Eye Care,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Eye Care,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Eye Care,0.05
TRIA,tria,International,Misc Med,Clinic - Eye Care,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Eye Care,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Eye Care,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Fertility,1.0
General Liability,general_liability,US,Misc Med,Clinic - Fertility,0.05
Product Liability,product_liability,US,Misc Med,Clinic - Fertility,0.01
E&O,eo,US,Misc Med,Clinic - Fertility,0.1
Employers Liability,employers_liability,US,Misc Med,Clinic - Fertility,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Fertility,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Fertility,0.1
TRIA,tria,US,Misc Med,Clinic - Fertility,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Fertility,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Fertility,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Fertility,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Fertility,0.05
Product Liability,product_liability,International,Misc Med,Clinic - Fertility,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Fertility,0.1
Employers Liability,employers_liability,International,Misc Med,Clinic - Fertility,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Fertility,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Fertility,0.1
TRIA,tria,International,Misc Med,Clinic - Fertility,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Fertility,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Fertility,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
General Liability,general_liability,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Product Liability,product_liability,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
E&O,eo,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Employers Liability,employers_liability,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Stop Gap,stop_gap,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
TRIA,tria,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Medical Inpatient (ROW Only),1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.06
Product Liability,product_liability,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.05
TRIA,tria,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Medical Inpatient (ROW Only),0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Pain Management,1.0
General Liability,general_liability,US,Misc Med,Clinic - Pain Management,0.06
Product Liability,product_liability,US,Misc Med,Clinic - Pain Management,0.01
E&O,eo,US,Misc Med,Clinic - Pain Management,0.05
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Pain Management,0.05
TRIA,tria,US,Misc Med,Clinic - Pain Management,0.02
Stop Gap,stop_gap,US,Misc Med,Clinic - Pain Management,0.01
Employers Liability,employers_liability,US,Misc Med,Clinic - Pain Management,0.05
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Pain Management,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Pain Management,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Pain Management,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Pain Management,0.06
Product Liability,product_liability,International,Misc Med,Clinic - Pain Management,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Pain Management,0.05
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Pain Management,0.05
TRIA,tria,International,Misc Med,Clinic - Pain Management,0.0
Stop Gap,stop_gap,International,Misc Med,Clinic - Pain Management,0.0
Employers Liability,employers_liability,International,Misc Med,Clinic - Pain Management,0.05
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Pain Management,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Pain Management,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Physical Therapy,1.0
General Liability,general_liability,US,Misc Med,Clinic - Physical Therapy,0.07
Product Liability,product_liability,US,Misc Med,Clinic - Physical Therapy,0.02
E&O,eo,US,Misc Med,Clinic - Physical Therapy,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Physical Therapy,0.05
