"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/aggregate/perils/insurrection/is_covered_override","is_covered_override","str","input","optional","Covered
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/limit_override","limit_override","float","input","optional","Limit
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/excess_override","excess_override","float","input","optional","Excess
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/deductible_override","deductible_override","float","input","optional","Deductible
Override","None","n/a","n/a"
"cds/exposure/aggregate/perils/insurrection/is_covered_selected","is_covered_selected","str","output","n/a","Covered
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/insurrection/limit_selected","limit_selected","float","output","n/a","Limit
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/insurrection/excess_selected","excess_selected","float","output","n/a","Excess
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/insurrection/deductible_selected","deductible_selected","float","output","n/a","Deductible
Selected","n/a","['task_confirm_limits']","n/a"
"cds/exposure/aggregate/perils/insurrection","insurrection","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/coup/is_covered_calculated","is_covered_calculated","str","output","n/a","Covered
Calculated","n/a","n/a","n/a"
"cds/exposure/aggregate/perils/coup/limit_calculated","limit_calculated","float","output","n/a","Limit
Calculated","n/a","n/a","n/a"
