"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/music/composer_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/composer_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/composer_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/composer_low","composer_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/artist_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/artist_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/artist_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/artist_low","artist_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/record_label_low/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/record_label_low/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/record_label_low/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/record_label_low","record_label_low","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/other3/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/other3/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/other3/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/other3","other3","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/composer_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/composer_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/composer_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/composer_medium","composer_medium","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/music/artist_medium/base_rate","base_rate","float","input","optional","Base Rate","0"
"cds/exposure/granular/music/artist_medium/comment","comment","str","input","optional","Comment","None"
"cds/exposure/granular/music/artist_medium/show_row","show_row","bool","output","n/a","Show Row","n/a"
"cds/exposure/granular/music/artist_medium","artist_medium","structure","n/a","n/a","n/a","n/a"
