eventid,region_desc_id,remetrica_description,state
2847451,20,Caribbean Wind,Other
2847452,17,Other Wind,Other
2847453,17,Other Wind,Other
2847454,15,Texas WS,TX
2847455,20,Caribbean Wind,Other
2847456,18,Florida non SE WS,FL
2847457,17,Other Wind,Other
2847458,18,Florida non SE WS,FL
2847459,22,Carolinas WS,NC
2847460,23,Central America Wind,Other
2847461,17,Other Wind,Other
2847462,17,Other Wind,Other
2847463,19,Louisiana WS,LA
2847464,17,Other Wind,Other
2847465,17,Other Wind,Other
2847466,19,Louisiana WS,LA
2847467,17,Other Wind,Other
2847468,15,Texas WS,TX
2847469,20,Caribbean Wind,Other
2847470,15,Texas WS,TX
2847471,17,Other Wind,Other
2847472,17,Other Wind,Other
2847473,22,Carolinas WS,NC
2847474,22,Carolinas WS,NC
2847475,20,Caribbean Wind,Other
2847476,17,Other Wind,Other
2847477,25,Florida SE - All Other,FL
2847478,15,Texas WS,TX
2847479,20,Caribbean Wind,Other
2847480,18,Florida non SE WS,FL
2847481,17,Other Wind,Other
2847482,19,Louisiana WS,LA
2847483,17,Other Wind,Other
2847484,18,Florida non SE WS,FL
2847485,24,NE WS,NY
2847486,22,Carolinas WS,NC
2847487,17,Other Wind,Other
2847488,15,Texas WS,TX
2847489,20,Caribbean Wind,Other
2847490,20,Caribbean Wind,Other
2847491,17,Other Wind,Other
2847492,17,Other Wind,Other
2847493,20,Caribbean Wind,Other
2847494,17,Other Wind,Other
2847495,20,Caribbean Wind,Other
2847496,18,Florida non SE WS,FL
2847497,17,Other Wind,Other
2847498,17,Other Wind,Other
2847499,17,Other Wind,Other
2847500,20,Caribbean Wind,Other
2847501,18,Florida non SE WS,FL
2847502,19,Louisiana WS,LA
2847503,23,Central America Wind,Other
2847504,22,Carolinas WS,NC
2847505,17,Other Wind,Other
2847506,20,Caribbean Wind,Other
2847507,17,Other Wind,Other
2847508,17,Other Wind,Other
2847509,15,Texas WS,TX
2847510,17,Other Wind,Other
2847511,17,Other Wind,Other
2847512,17,Other Wind,Other
2847513,17,Other Wind,Other
2847514,19,Louisiana WS,LA
2847515,22,Carolinas WS,NC
2847516,17,Other Wind,Other
2847517,17,Other Wind,Other
2847518,15,Texas WS,TX
2847519,16,Mexico Wind,Other
2847520,20,Caribbean Wind,Other
2847521,17,Other Wind,Other
2847522,17,Other Wind,Other
2847523,18,Florida non SE WS,FL
2847524,17,Other Wind,Other
2847525,17,Other Wind,Other
2847526,20,Caribbean Wind,Other
2847527,17,Other Wind,Other
2847528,16,Mexico Wind,Other
2847529,17,Other Wind,Other
2847530,17,Other Wind,Other
2847531,17,Other Wind,Other
2847532,17,Other Wind,Other
2847533,20,Caribbean Wind,Other
2847534,27,Canada Wind,Other
2847535,19,Louisiana WS,LA
2847536,17,Other Wind,Other
2847537,17,Other Wind,Other
2847538,17,Other Wind,Other
2847539,17,Other Wind,Other
2847540,17,Other Wind,Other
2847541,22,Carolinas WS,NC
2847542,20,Caribbean Wind,Other
2847543,18,Florida non SE WS,FL
2847544,17,Other Wind,Other
2847545,17,Other Wind,Other
2847546,17,Other Wind,Other
2847547,17,Other Wind,Other
2847548,18,Florida non SE WS,FL
2847549,20,Caribbean Wind,Other
2847550,20,Caribbean Wind,Other
2847551,17,Other Wind,Other
2847552,17,Other Wind,Other
2847553,22,Carolinas WS,NC
2847554,25,Florida SE - All Other,FL
2847555,20,Caribbean Wind,Other
2847556,19,Louisiana WS,LA
2847557,17,Other Wind,Other
2847558,17,Other Wind,Other
2847559,26,Florida SE - South Tip,FL
2847560,17,Other Wind,Other
2847561,17,Other Wind,Other
2847562,17,Other Wind,Other
2847563,20,Caribbean Wind,Other
2847564,17,Other Wind,Other
2847565,24,NE WS,NY
2847566,17,Other Wind,Other
2847567,17,Other Wind,Other
2847568,17,Other Wind,Other
2847569,17,Other Wind,Other
2847570,17,Other Wind,Other
2847571,17,Other Wind,Other
2847572,25,Florida SE - All Other,FL
2847573,20,Caribbean Wind,Other
2847574,17,Other Wind,Other
2847575,26,Florida SE - South Tip,FL
2847576,17,Other Wind,Other
2847577,17,Other Wind,Other
2847578,15,Texas WS,TX
2847579,26,Florida SE - South Tip,FL
2847580,17,Other Wind,Other
2847581,20,Caribbean Wind,Other
2847582,20,Caribbean Wind,Other
2847583,17,Other Wind,Other
2847584,17,Other Wind,Other
2847585,17,Other Wind,Other
2847586,17,Other Wind,Other
2847587,16,Mexico Wind,Other
2847588,20,Caribbean Wind,Other
2847589,17,Other Wind,Other
2847590,17,Other Wind,Other
2847591,17,Other Wind,Other
2847592,17,Other Wind,Other
2847593,15,Texas WS,TX
2847594,18,Florida non SE WS,FL
2847595,20,Caribbean Wind,Other
2847596,17,Other Wind,Other
2847597,17,Other Wind,Other
2847598,20,Caribbean Wind,Other
2847599,17,Other Wind,Other
2847600,17,Other Wind,Other
2847601,20,Caribbean Wind,Other
2847602,17,Other Wind,Other
2847603,17,Other Wind,Other
2847604,20,Caribbean Wind,Other
2847605,17,Other Wind,Other
2847606,17,Other Wind,Other
2847607,25,Florida SE - All Other,FL
2847608,17,Other Wind,Other
2847609,17,Other Wind,Other
2847610,22,Carolinas WS,NC
2847611,17,Other Wind,Other
2847612,17,Other Wind,Other
2847613,15,Texas WS,TX
2847614,26,Florida SE - South Tip,FL
2847615,22,Carolinas WS,NC
2847616,16,Mexico Wind,Other
2847617,16,Mexico Wind,Other
2847618,17,Other Wind,Other
2847619,17,Other Wind,Other
2847620,20,Caribbean Wind,Other
2847621,20,Caribbean Wind,Other
2847622,17,Other Wind,Other
2847623,17,Other Wind,Other
2847624,17,Other Wind,Other
2847625,19,Louisiana WS,LA
2847626,15,Texas WS,TX
2847627,17,Other Wind,Other
2847628,15,Texas WS,TX
2847629,20,Caribbean Wind,Other
2847630,17,Other Wind,Other
2847631,17,Other Wind,Other
2847632,17,Other Wind,Other
2847633,17,Other Wind,Other
2847634,20,Caribbean Wind,Other
2847635,20,Caribbean Wind,Other
2847636,26,Florida SE - South Tip,FL
2847637,17,Other Wind,Other
2847638,20,Caribbean Wind,Other
2847639,20,Caribbean Wind,Other
2847640,26,Florida SE - South Tip,FL
2847641,17,Other Wind,Other
2847642,17,Other Wind,Other
2847643,15,Texas WS,TX
2847644,17,Other Wind,Other
2847645,18,Florida non SE WS,FL
2847646,17,Other Wind,Other
2847647,17,Other Wind,Other
2847648,16,Mexico Wind,Other
2847649,17,Other Wind,Other
2847650,16,Mexico Wind,Other
2847651,17,Other Wind,Other
2847652,17,Other Wind,Other
2847653,22,Carolinas WS,NC
2847654,17,Other Wind,Other
2847655,27,Canada Wind,Other
2847656,17,Other Wind,Other
2847657,17,Other Wind,Other
2847658,17,Other Wind,Other
2847659,17,Other Wind,Other
2847660,17,Other Wind,Other
2847661,17,Other Wind,Other
2847662,17,Other Wind,Other
2847663,27,Canada Wind,Other
2847664,17,Other Wind,Other
2847665,17,Other Wind,Other
2847666,17,Other Wind,Other
2847667,19,Louisiana WS,LA
2847668,16,Mexico Wind,Other
2847669,24,NE WS,NY
2847670,17,Other Wind,Other
2847671,17,Other Wind,Other
2847672,17,Other Wind,Other
2847673,17,Other Wind,Other
2847674,17,Other Wind,Other
2847675,25,Florida SE - All Other,FL
2847676,17,Other Wind,Other
2847677,20,Caribbean Wind,Other
2847678,20,Caribbean Wind,Other
2847679,17,Other Wind,Other
2847680,19,Louisiana WS,LA
2847681,22,Carolinas WS,NC
2847682,22,Carolinas WS,NC
2847683,27,Canada Wind,Other
2847684,17,Other Wind,Other
2847685,17,Other Wind,Other
2847686,17,Other Wind,Other
2847687,17,Other Wind,Other
2847688,15,Texas WS,TX
2847689,17,Other Wind,Other
2847690,23,Central America Wind,Other
2847691,26,Florida SE - South Tip,FL
2847692,17,Other Wind,Other
2847693,15,Texas WS,TX
2847694,15,Texas WS,TX
2847695,20,Caribbean Wind,Other
2847696,17,Other Wind,Other
2847697,17,Other Wind,Other
2847698,17,Other Wind,Other
2847699,17,Other Wind,Other
2847700,17,Other Wind,Other
2847701,17,Other Wind,Other
2847702,20,Caribbean Wind,Other
2847703,15,Texas WS,TX
2847704,17,Other Wind,Other
2847705,20,Caribbean Wind,Other
2847706,20,Caribbean Wind,Other
2847707,17,Other Wind,Other
2847708,15,Texas WS,TX
2847709,17,Other Wind,Other
2847710,17,Other Wind,Other
2847711,20,Caribbean Wind,Other
2847712,17,Other Wind,Other
2847713,17,Other Wind,Other
2847714,17,Other Wind,Other
2847715,22,Carolinas WS,NC
2847716,20,Caribbean Wind,Other
2847717,17,Other Wind,Other
2847718,17,Other Wind,Other
2847719,24,NE WS,NY
2847720,16,Mexico Wind,Other
2847721,17,Other Wind,Other
2847722,17,Other Wind,Other
2847723,18,Florida non SE WS,FL
2847724,18,Florida non SE WS,FL
2847725,17,Other Wind,Other
2847726,17,Other Wind,Other
2847727,17,Other Wind,Other
2847728,15,Texas WS,TX
2847729,17,Other Wind,Other
2847730,17,Other Wind,Other
2847731,17,Other Wind,Other
2847732,26,Florida SE - South Tip,FL
2847733,16,Mexico Wind,Other
2847734,20,Caribbean Wind,Other
2847735,17,Other Wind,Other
2847736,17,Other Wind,Other
2847737,17,Other Wind,Other
2847738,20,Caribbean Wind,Other
2847739,18,Florida non SE WS,FL
2847740,17,Other Wind,Other
2847741,17,Other Wind,Other
2847742,16,Mexico Wind,Other
2847743,15,Texas WS,TX
2847744,26,Florida SE - South Tip,FL
2847745,17,Other Wind,Other
2847746,17,Other Wind,Other
2847747,17,Other Wind,Other
2847748,26,Florida SE - South Tip,FL
2847749,20,Caribbean Wind,Other
2847750,17,Other Wind,Other
2847751,17,Other Wind,Other
2847752,20,Caribbean Wind,Other
2847753,17,Other Wind,Other
2847754,19,Louisiana WS,LA
2847755,20,Caribbean Wind,Other
2847756,26,Florida SE - South Tip,FL
2847757,26,Florida SE - South Tip,FL
2847758,17,Other Wind,Other
2847759,22,Carolinas WS,NC
2847760,26,Florida SE - South Tip,FL
2847761,17,Other Wind,Other
2847762,27,Canada Wind,Other
2847763,17,Other Wind,Other
2847764,17,Other Wind,Other
2847765,17,Other Wind,Other
2847766,16,Mexico Wind,Other
2847767,20,Caribbean Wind,Other
2847768,15,Texas WS,TX
2847769,20,Caribbean Wind,Other
2847770,17,Other Wind,Other
2847771,17,Other Wind,Other
2847772,27,Canada Wind,Other
2847773,18,Florida non SE WS,FL
2847774,17,Other Wind,Other
2847775,24,NE WS,NY
2847776,18,Florida non SE WS,FL
2847777,17,Other Wind,Other
2847778,27,Canada Wind,Other
2847779,17,Other Wind,Other
2847780,16,Mexico Wind,Other
2847781,17,Other Wind,Other
2847782,26,Florida SE - South Tip,FL
2847783,17,Other Wind,Other
2847784,19,Louisiana WS,LA
2847785,20,Caribbean Wind,Other
2847786,17,Other Wind,Other
2847787,20,Caribbean Wind,Other
2847788,20,Caribbean Wind,Other
2847789,17,Other Wind,Other
2847790,17,Other Wind,Other
2847791,17,Other Wind,Other
2847792,17,Other Wind,Other
2847793,20,Caribbean Wind,Other
2847794,17,Other Wind,Other
2847795,17,Other Wind,Other
2847796,22,Carolinas WS,NC
2847797,17,Other Wind,Other
2847798,20,Caribbean Wind,Other
2847799,17,Other Wind,Other
2847800,17,Other Wind,Other
2847801,20,Caribbean Wind,Other
2847802,17,Other Wind,Other
2847803,22,Carolinas WS,NC
2847804,17,Other Wind,Other
2847805,27,Canada Wind,Other
2847806,20,Caribbean Wind,Other
2847807,20,Caribbean Wind,Other
2847808,17,Other Wind,Other
2847809,18,Florida non SE WS,FL
2847810,17,Other Wind,Other
2847811,17,Other Wind,Other
2847812,17,Other Wind,Other
2847813,17,Other Wind,Other
2847814,17,Other Wind,Other
2847815,17,Other Wind,Other
2847816,16,Mexico Wind,Other
2847817,17,Other Wind,Other
2847818,24,NE WS,NY
2847819,20,Caribbean Wind,Other
2847820,24,NE WS,NY
2847821,16,Mexico Wind,Other
2847822,17,Other Wind,Other
2847823,17,Other Wind,Other
2847824,22,Carolinas WS,NC
2847825,17,Other Wind,Other
2847826,20,Caribbean Wind,Other
2847827,17,Other Wind,Other
2847828,22,Carolinas WS,NC
2847829,22,Carolinas WS,NC
2847830,17,Other Wind,Other
2847831,17,Other Wind,Other
2847832,17,Other Wind,Other
2847833,16,Mexico Wind,Other
2847834,20,Caribbean Wind,Other
2847835,22,Carolinas WS,NC
2847836,20,Caribbean Wind,Other
2847837,17,Other Wind,Other
2847838,20,Caribbean Wind,Other
2847839,17,Other Wind,Other
2847840,16,Mexico Wind,Other
2847841,20,Caribbean Wind,Other
2847842,17,Other Wind,Other
2847843,17,Other Wind,Other
2847844,17,Other Wind,Other
2847845,18,Florida non SE WS,FL
2847846,20,Caribbean Wind,Other
2847847,17,Other Wind,Other
2847848,19,Louisiana WS,LA
2847849,17,Other Wind,Other
2847850,17,Other Wind,Other
2847851,17,Other Wind,Other
2847852,17,Other Wind,Other
2847853,17,Other Wind,Other
2847854,17,Other Wind,Other
2847855,17,Other Wind,Other
2847856,17,Other Wind,Other
2847857,17,Other Wind,Other
2847858,20,Caribbean Wind,Other
2847859,20,Caribbean Wind,Other
2847860,17,Other Wind,Other
2847861,17,Other Wind,Other
2847862,22,Carolinas WS,NC
2847863,17,Other Wind,Other
2847864,20,Caribbean Wind,Other
2847865,17,Other Wind,Other
2847866,17,Other Wind,Other
