"Path","Name","Type","Mode","Label","Default Value"
"cds/bi_data/facility_detail/net_100pct_premium_adjexp_sett_fx","net_100pct_premium_adjexp_sett_fx","float","input","Net 100pct Adjusted Expiring Premium @ Settlement Fx","None"
"cds/bi_data/facility_detail","facility_detail","list","n/a","n/a","n/a"
"cds/bi_data/claims_listing/date_extracted","date_extracted","date","input","Date Extracted","None"
"cds/bi_data/claims_listing/section_reference","section_reference","str","input","Section Reference","None"
"cds/bi_data/claims_listing/claim_reference","claim_reference","str","input","Claim Reference","None"
"cds/bi_data/claims_listing/exposure_reference","exposure_reference","str","input","Exposure Reference","None"
"cds/bi_data/claims_listing/yoa","yoa","float","input","YOA","None"
"cds/bi_data/claims_listing/beazley_catcode","beazley_catcode","str","input","Beazley CatCode","None"
"cds/bi_data/claims_listing/market_catcode","market_catcode","str","input","Market CatCode","None"
"cds/bi_data/claims_listing/trifocus_name","trifocus_name","str","input","TriFocus Name","None"
"cds/bi_data/claims_listing/settlement_currency","settlement_currency","str","input","Settlement Currency","None"
"cds/bi_data/claims_listing/block_indicator","block_indicator","str","input","Block Indicator","None"
"cds/bi_data/claims_listing/date_of_loss","date_of_loss","date","input","Date Of Loss","None"
"cds/bi_data/claims_listing/claim_made_date","claim_made_date","date","input","Claim Made Date","None"
"cds/bi_data/claims_listing/claim_or_circumstance","claim_or_circumstance","str","input","Claim Or Circumstance","None"
"cds/bi_data/claims_listing/beazley_share_total_incurred","beazley_share_total_incurred","float","input","Beazley Share Total Incurred","None"
"cds/bi_data/claims_listing/slip_order_total_incurred","slip_order_total_incurred","float","input","Slip Order Total Incurred","None"
"cds/bi_data/claims_listing/slip_order_total_paid","slip_order_total_paid","float","input","Slip Order Total Paid","None"
"cds/bi_data/claims_listing/beazley_share_pre_peer_blend","beazley_share_pre_peer_blend","float","input","Beazley Share Pre Peer Blend","None"
"cds/bi_data/claims_listing/beazley_share_pre_peer_most_likely","beazley_share_pre_peer_most_likely","float","input","Beazley Share Pre Peer Most Likely","None"
