policy_option_id,policy_option_id_old,datafix,status,time,error_step,error_message,error_detail,time_taken
1412483,1383172,yes,succeeded,39:35.2,,,,13.55871344
1412484,1383173,yes,succeeded,39:35.9,,,,13.22999263
1412485,1383174,yes,succeeded,39:38.7,,,,13.99875379
1412486,1383175,yes,succeeded,39:41.3,,,,13.73066449
1412487,1383176,yes,succeeded,39:43.5,,,,13.24430585
1412488,1383177,yes,succeeded,39:46.2,,,,15.90022516
1412489,1383178,yes,succeeded,39:45.4,,,,13.14472437
1412490,1383179,yes,succeeded,39:49.0,,,,15.56590867
1412491,1383180,yes,succeeded,39:49.5,,,,14.27933693
1412492,1383181,yes,failed,40:17.6,get values,403,,41.68807888
1412493,1383182,yes,succeeded,39:51.9,,,,13.17386341
1412494,1383184,yes,succeeded,39:54.0,,,,12.70902467
1412495,1383183,yes,succeeded,39:56.9,,,,13.42170358
1412496,1383185,yes,succeeded,39:59.2,,,,13.76008034
1412497,1383186,yes,failed,40:27.7,get values,403,,41.58093572
1412498,1383187,yes,succeeded,40:02.9,,,,13.83118677
1412499,1383188,yes,succeeded,40:03.1,,,,13.61780953
1412500,1383189,yes,succeeded,40:06.6,,,,14.66424561
1412501,1383190,yes,succeeded,40:07.2,,,,13.17167592
1412502,1383191,yes,succeeded,40:10.9,,,,14.01575518
1412503,1383192,yes,succeeded,40:12.4,,,,13.19758606
1412504,1383193,yes,failed,40:47.6,get values,403,,44.70106864
1412506,1409059,yes,succeeded,40:16.4,,,,13.25843549
1412505,1383194,yes,succeeded,40:21.9,,,,15.32065368
1412507,1383195,yes,succeeded,40:21.4,,,,14.24057984
1412508,1383196,yes,failed,40:53.0,get values,403,,42.02658391
1412509,1383197,yes,succeeded,40:27.1,,,,14.76686716
1412510,1383198,yes,succeeded,40:31.4,,,,15.01454091
1412511,1383199,yes,succeeded,40:30.7,,,,13.03728628
1412512,1383200,yes,succeeded,40:35.1,,,,13.75694108
1412513,1383201,yes,succeeded,40:34.3,,,,12.47208786
1412514,1383202,yes,succeeded,40:40.6,,,,13.4899981
1412515,1383203,yes,succeeded,40:40.4,,,,12.64741707
1412516,1387649,yes,succeeded,40:44.1,,,,13.40954757
1412517,1389054,yes,succeeded,40:47.4,,,,16.01631689
1412518,1389073,yes,succeeded,40:49.9,,,,15.54247689
1412519,1390732,yes,succeeded,40:50.7,,,,15.59580708
1412520,1390030,yes,succeeded,40:53.8,,,,13.41810966
1412521,1391400,yes,succeeded,40:53.5,,,,12.87071848
1412522,1393572,yes,succeeded,40:57.9,,,,13.85948634
1412523,1396965,yes,succeeded,41:01.5,,,,14.01740408
1412524,1400727,yes,succeeded,41:01.8,,,,14.21577549
1412525,1401715,yes,succeeded,41:02.4,,,,12.55357218
1412526,1406510,yes,succeeded,41:04.8,,,,14.00735545
1412527,1408334,yes,succeeded,41:08.1,,,,15.11046171
1412528,1409214,yes,succeeded,41:06.6,,,,13.065696
1412529,1409318,yes,succeeded,41:08.0,,,,14.17806268
1412530,1409831,yes,succeeded,41:11.8,,,,13.91726184
1412531,1409844,yes,succeeded,41:15.1,,,,13.6315856
1412532,1409879,yes,succeeded,41:14.6,,,,12.79651952
1412533,1410431,yes,failed,41:44.3,get values,403,,41.828089
1412534,1410529,yes,succeeded,41:18.4,,,,13.59869242
1412535,1411209,yes,succeeded,41:19.3,,,,12.71669531
