"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/exposure/granular/event_cancel/base_coverages/war/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/war","war","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/covered","covered","bool","input","required","Covered","True","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/sublimit","sublimit","float","input","optional","Sublimit","None","['rarc_task', 'task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/trigger","trigger","str","input","optional","Trigger","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/delegates","delegates","float","input","optional","% of Delegates","None","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/uw_adj_min","uw_adj_min","float","output","n/a","Minimum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/uw_adj_max","uw_adj_max","float","output","n/a","Maximum","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/uw_adj_sel","uw_adj_sel","float","input","required","Selected","0","['rarc_task']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/uw_adj_fin","uw_adj_fin","float","output","n/a","Selected - Final","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/uw_comment","uw_comment","str","input","optional","UW Comment","None","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_el_usd","net_el_usd","float","output","n/a","Expected Loss USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_prem_usd","net_prem_usd","float","output","n/a","GN Benchmark Premium USD","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_el","net_el","float","output","n/a","Expected Loss","n/a","['task_simulation']","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_prem","net_prem","float","output","n/a","GN Benchmark Premium","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_el_mod","net_el_mod","float","output","n/a","Expected Loss after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app/net_prem_mod","net_prem_mod","float","output","n/a","GN Benchmark Premium after UW Adj","n/a","n/a","n/a"
"cds/exposure/granular/event_cancel/base_coverages/catastrophic_non_app","catastrophic_non_app","structure","n/a","n/a","n/a","n/a","n/a","n/a"
