Operator,Mapped TLO Group
Asia Continental Airlines,G
Mid Airlines,G
Belfairs (UK) Ltd,G
Aircraft Acquisition Group II LLC,G
Minoan Air,G
Skylease II Inc,G
Aerokontrol (FSUE),G
Unconfirmed Tajikstan Airline,G
DAC Aviation East Africa,G
Generation Jets LLC,G
Connect Cargo,G
BNY Capital Funding LLC,G
Borrower 2019 No1 Pty Ltd,G
Albatros Airlines,G
Lighthouse Aviation,G
UT Finance Corp,G
Lumiwings,G
Aquiline International Corporation,G
Ford Motor Co,G
Interavia Airlines,G
RVL Aviation Ltd,G
Sberbank Leasing,G
Stratus Ltd,G
Athens Airways,G
Kush Air,G
Peterborough 850 LLC,G
Ababeel Aviation,G
Commonwealth Bank of Australia,G
Aerochaco,G
Sundsvallsflyg,G
R1 Airlines,G
Finaircraft,G
Aircraft Solutions 27108/27109 LLC,G
Royal Air Charters,G
Zavod 410 GAZ,G
Government of Poland,G
Islamic Republic of Iran Army,G
Pinnacle Partners LLC,G
Aerofinance LLC,G
Air Urga,G
Unconfirmed Djibouti Airline,G
Perm Airlines,G
Punto Azul,G
Czech Connect Airlines,G
FL Technics,G
Redenlake Aviation Inc,G
International Air Leases Inc,G
Airtrails Services & Management,G
Merx Aviation,G
Itek Air,G
Engine Lease Finance Corp,G
Royal Aero,G
Norilsk Avia (1),G
Zero Gravity Corp,G
Armenian Air Force,G
Aircraft 235 LLC,G
Charter Air,G
Kahala Aviation,G
Joasro Aviation,G
Aurora Leasing Inc,G
Bhoja Air,G
Dutch Royal Flight,G
Fly Union,G
AOGLINE.com Inc,G
Kallat Elsaker Air,G
AV Cargo Airlines,G
Eurus Aviation,G
Unconfirmed Gabon Airline,G
North American Jet,G
Flex Airlines,G
Q Aviation LLC,G
Malta MedAir,G
Coanda LLC,G
Euromanx,G
Air Alanna,G
Constel Aviation Services,G
Hotel du Bois Rouge Corp,G
Flight Technology Aviacompany,G
Skiva Air,G
Rayani Air,G
Clipper Aviation Services,G
Discovery Air,G
Skybus,G
TGI-Lizing OOO,G
Fleet Air International,G
LAI - Linea Aerea IAACA,G
SkyExec Aviation Ltd,G
Halcyonair Cabo Verde Airways,G
Gryphon Aviation Leasing,G
ARC Shengtai Corporation,G
Finnish Air Force,G
Premiair (Indonesia),G
Citicorp North America Inc,G
S-Air,G
Turboprop Ventures LLC,G
Unconfirmed Armenian Airline,G
Rajshahi Air,G
Aircraft Investments Ltd,G
SARPA,G
Livemercial Aviation Holding LLC,G
MEGAviation SRL,G
PNCEF LLC,G
USL Capital Corp,G
Airlift Service,G
Sobel Air Ghana,G
Jet Plus America LLC,G
Best Jets International Inc,G
Turkish Navy,G
Seagle Air,G
LPJ Aircraft Finance LLC,G
Super Air Jet,G
Angolan Peoples Air Force,G
Halla Airlines,G
Air Trading International LLC,G
AeroCondor Express,G
Mena Aerospace,G
Pembroke Group & Aircraft Financing and Trading BV,G
Jubba Airways (Somalia),G
Bremer Business Finance Corp,G
The Love2Fly,G
Botswana Defence Force,G
Turan Air,G
Ghana Air Force,G
L & E Sweden AB/Advantage Aviation Services Sweden,G
Judah 1 Inc,G
First Flight Couriers,G
Imperial Air Cargo,G
Mitsui Bussan Aerospace Corp,G
KC Air Show Charities Inc,G
Jet Technics slr,G
Pinnacle Aircraft Parts Inc,G
Regional Paraguaya,G
Jet Engine Technology Corp,G
Quikjet,G
Servivensa,G
Niger Airlines,G
Prudential Retirement Insurance & Annuity Company,G
AP Finance Ltd,G
Air Transport Office,G
Kosmos Airlines,G
Georgian Airlines,G
Via Air,G
AlisCargo,G
Ram Air Sales Inc,G
KP Aviation LLC,G
Vigo Jet,G
China Aircraft Leasing Company,G
Aircraft Leasing & Management Ltd (Malta),G
Formula 1,G
Aerolineas SOSA,G
Celestial Airways Limited,G
Mineralogy Pty Ltd,G
Aftrans Aero DMCC,G
Eram Air,G
Enrique Pineyro,G
Small Planet Airlines (Estonia),G
ST Engineering Aerospace,G
Albion Aviation LLC,G
MSN25368 Corp,G
Challenge Airlines IL,G
Tenir Airlines,G
80C2 Partners LLC,G
Unconfirmed Indonesian Airline,G
Philippine Air Force,G
iAero Tech,G
Brisair Ltd,G
Corporate Tajikstan Operator,G
Linus Airways,G
Airlift International of Ghana,G
Aero Nomad,G
Anugrah Mandiri Walesi,G
Golden Wings Aviation,G
Wizz Air Abu Dhabi,G
Mongolian Airways,G
Lanhsa Airlines,G
Comores Aviation,G
Menajet,G
WDC Leasing Corp,G
JetOneX LLC,G
Vildanden,G
Lockard Aircraft Sales Co,G
Multiple Solutions,G
Luxury Air LLC,G
Pivot Airlines,G
Fly540 Ghana,G
Unicredit,G
RUS Aviation,G
CRJ 7779 LLC,G
Eirjet,G
FlightWorks,G
Do-Tec GmbH,G
Int'Air Iles,G
Aircraft & Engine Support LLC,G
Millers Capital Investments Pte Ltd,G
John Travolta,G
Kan Air,G
Air Lituanica,G
Crane Aircraft Partners,G
AS&L LLC,G
Inter Island Airways (American Samoa),G
Avion Capital Partners,G
KAP.KG Cargo,G
Ameritech Credit Corp,G
Vertical De Aviacion,G
Slate Aerospace LLC,G
East Flight Operations Ltd,G
Abbas Amini,G
Keybank National Association,G
Pacific Aviation Group LLC,G
Caisse D'Epargne Ingepar,G
Pac Jet Acquisitions LLC,G
Air One Leasing Inc,G
Green Flag Aviation,G
LASA Lineas Aereas,G
FirstBank Puerto Rico,G
Elite Airlines,G
Esen Air,G
Kirland 41022 LLC,G
Orion Engine Services LLC,G
Toos Airlines,G
Tiramavia,G
Global Equipment Lease Ltd,G
LD Services LLC,G
BNY Leasing Corp,G
Business Aero,G
IMP Group Ltd,G
Backbone Aviation A/S,G
United Aircraft Corporation,G
Casco Aero Ltd,G
Owen Air,G
"Global Air Fleet, LLC",G
Global Aviation Leasing LLC,G
Khozu Avia,G
Air Montenegro,G
Monocoque Diversified Interests,G
Aviatsa,G
Listari Marina Sdn Bhd,G
Goldman Sachs & Co,G
Unconfirmed Guinean Airline,G
Pearl Aircraft Corporation,G
Interleasing,G
Interstate Airlines,G
Vincent Aviation,G
MSN 24452 Ltd,G
Alfa Air Services,G
Casino Rodos,G
JoinJet,G
Nova Air,G
Sparrow Aviation,G
Tor Air,G
Strong Tower Properties X LLC,G
Sky Trade Ltd,G
Pace Cargo Enterprises,G
Krasnoyarsk Regional Government,G
Peau Vava'u,G
Jet-Star,G
Sky Border Logistics Ltd,G
Oceanic Aviation 1 Ltd,G
SG Air Leasing Ltd,G
BB Airways,G
SmartJets,G
US Bancorp Equipment Finance Inc,G
Stanton Defense Industries Inc,G
Aircraft & Engine Parts LLC,G
223rd State Airline Flight Unit,G
MAP Ulan Ude APO,G
Transwest Air,G
SJL Aeronautica Congo,G
Transaviaservice,G
Apsara International Air,G
GIE RJ Fin,G
Aircraft N532AU LLC,G
Amerer Air,G
Air Atlantique,G
Latin American Wings,G
Al Anwa Establishment,G
Elite Aviation,G
Kargo Xpress,G
LTA-Linea Turistica Aereotuy,G
M1 Commercial Jets Ltd,G
Aero Majestic Charter Services,G
Ajwaa Airlines,G
Royal New Zealand Air Force,G
IJT Aviation,G
Keen Max Development Ltd,G
Fly Blue Crane,G
Sigma Airlines,G
CV Cargo,G
Mali Air Force,G
IBEX Air Charter,G
Aviatrans K,G
Saturn Aviakompania,G
Vdp Aero Services,G
Agneet Sky Limited,G
Swiflite Aircraft Corp,G
Astra Holdings Limited,G
NAYSA,G
Government of Togo,G
NyxAir,G
Hapero Aircraft 50,G
Government of Algeria,G
Air Asturias,G
National Airways Corporation,G
Nordea Finance Sweden Plc,G
Colombian National Police,G
Jhonlin Air Transport,G
IAP Group Australia Pty Ltd,G
Myway Airlines,G
Cobra Jet,G
Air Tahoma,G
Scotland PLC,G
Wells Fargo Bank NA,G
Elevate Capital Partners,G
Senator Flugzeuge GmbH And Co Kg,G
Norfolk Air,G
Dove Air Services,G
Maxavia,G
Eleron,G
Air Corridor,G
MCA Airlines AB,G
FlyCAA,G
East Horizon Airlines,G
Luxor Air,G
Aerolift Airways,G
Aviro Air,G
Community Airlines,G
Citelynx Travel Ltd,G
Cypress Leasing,G
S7 Group,G
Fastway Leasing Ltd,G
Transamerica Aircraft Finance Group,G
Sky Cana,G
Aerolineas Sudamericanas,G
Pakistan Air Force,G
Silver Air,G
TECO Investments Inc,G
Allegiance Air,G
Sky One sro,G
Alterna Capital Partners,G
PDVSA Petroleo SA,G
Sirte Oil Company,G
Sabena Technics (DNR),G
Unconfirmed Ukrainian Company,G
Zimbabwe Airways,G
Aviation Technologies Inc (PA),G
MyWings,G
Continuity Air Finance VIII BV,G
Uniworld Air Cargo,G
Euro Oceanic Transport Ltd,G
Hong Kong & Shanghai Banking Corp,G
Transportes Generales Aereos,G
7th Sky,G
RCR Air LLC,G
Andjet Havacilik ve Seyehat Ltd,G
EFW,G
Polish Air Force,G
Asialink Cargo Airlines,G
Fly Tanzania,G
Sky Aviation Ltd,G
National Regionale Transport,G
Aero Rent,G
MAP Asset Preservation LLC,G
UR Airlines,G
AVIC International Leasing,G
Pacific AirFinance,G
Ark Airways,G
North Shore Aircraft LLC,G
Strong Aviation,G
Aeroresiduals / Kellstrom Industries,G
LAC - Linea Aerea Cuencana,G
ETF Airways,G
Mountain Aircraft Services Inc,G
CAVU Aerospace Inc,G
Ladoga,G
Valljet,G
Alas Uruguay,G
Air Maleo,G
Kyrgyz Trans Avia,G
Unconfirmed Libyan Airline,G
Indonesian Police,G
Volare Airlines,G
Trygon Ltd,G
Cara Aircraft Leasing Inc,G
PB Leasing CA (UK) Ltd,G
Jetlite,G
53251 LLC,G
Rockton,G
Worldwide Equipment Financial LLC,G
Fly Lili,G
Samara Airlines,G
Walker Aviation Finance Ltd,G
Divi Divi Air,G
Executive Jet Group I LLC,G
Alajnihah Air Transport,G
TC Skyward Aviation,G
Diamond Sky OU,G
First Chicago Leasing Corp,G
Flight Director Inc,G
Hokkaido Air System,G
Sky Capital Airlines,G
LMO Fly Dynamics Development,G
Allegiance Airways - Gabon,G
Edwin Air Cargo,G
RAF-AVIA,G
Rocky S Morris,G
Air Salvage International Ltd,G
Everjets Madeira,G
3TOP Aviation Services,G
Andalus Lineas Aereas,G
OLT Express Poland,G
Honduran Air Force,G
Eznis Airways,G
Air Scotland,G
Gabon Airlines,G
Defence Research & Development Organisation,G
Stratos,G
Dan Air,G
JALUX Americas Inc,G
DFO Partnership,G
Eftec (UK) Ltd,G
Jet Stream International,G
Unconfirmed Russian Company,G
Rimbun Air,G
Motor Sich Airlines,G
ALG DC-9 LLC,G
Volaris El Salvador,G
Negri Immobiliare,G
GATX Financial Corp,G
Gomelavia,G
Heavylift Cargo Airlines,G
Mojave Jet Holdings LLC,G
UTAGE,G
Transafrican Air Ltd,G
Lobaye Airways,G
Titan Singapore Aircraft Leasing Ltd,G
Cyrrus Air,G
Sumitomo Bank Capital Markets,G
Sky Bosnia,G
Syrian Pearl Airways,G
Aircraft 23684 LLC,G
Turbo Resources International,G
ARP 410 Airlines,G
UAC (Ilyushin),G
Italy First,G
Smartlynx Italia,G
Kellstrom Aerospace Group Inc,G
Silverstone Air Services,G
Sol Lineas Aereas,G
Tibet Financial Leasing,G
MSN 53470 LLC,G
EquAir,G
Westall Ltd,G
Blue Sky,G
Unconfirmed Moldovan Airline,G
Gadair Lines,G
KG Aircraft Leasing Co Ltd,G
National Legacy for Aircraft Management,G
Plaza Servicios Aereos,G
Skies Airlines,G
Unannounced non-commercial customer,G
AMS Aircraft Services Ltd,G
LINC Capital Inc,G
Internal Finance (Pty) Ltd,G
ScanBlu Airlines,G
Fordair,G
Ovenstone Ltd,G
Bravo Aviation,G
MetLife Capital LP,G
CFS Aero,G
SAM Intercontinental,G
Propulsion Investments,G
Regency Projects Ltd,G
Jetlease Inc,G
Macair Airlines,G
Regional Aircraft Leasing 1 Pty Ltd,G
Swift Air Cargo,G
Omni-Blu Aviation,G
Adelante,G
Denver Air Support Inc,G
NCC Key Company,G
Aerocondor (Portugal),G
Banc One Equipment Finance Inc,G
Jet Managers International,G
AC Leasing Inc,G
Santos Dumont Aircraft Management,G
NTE Aviation SW23063/23251 LLC,G
China Everbright Financial Leasing,G
LaserLine Lease Finance Corp,G
One Source Aerospace,G
Solenta Aviation Cote d'Ivoire,G
LJ Properties Inc,G
ME Aviation Services LLC,G
Aero,G
Domodedovo Airlines,G
Cramington Aviation Limited,G
PT. Eastindo Services,G
GATX 737-800 Partners LDC,G
Cirrus Aviation,G
Elas Professional Services Network BV,G
Lizinkom,G
Falcon Aviation Inc,G
Pelangi Air,G
South Phoenix Airways,G
JARO International,G
American Falcon,G
Nex Aviation Aircrafts Ltd,G
Emerald Airways,G
Sky Gabon,G
Galistair,G
Cirrus Gmbh,G
Joe Gibbs Racing Inc,G
AirWheel,G
Freedom Air Services,G
Verizon Capital Group,G
Fly 365 Aviation,G
Hayways,G
Seldon Partners,G
Government of Tahiti,G
Mars Aeroparts Trading FZE,G
Globus Airlines,G
Skybus Peru,G
Aviator Airlines,G
Air Universal,G
3 Way Aviation Ltd,G
Nine Star Airways,G
Phoenix International Investment Group Co Ltd,G
TRTO Agency Ltd,G
Speed Star ( Hong Kong ) Limited,G
Gambia International Airlines,G
Avenue Capital AMR N624AA Inc,G
Okapi Airlines,G
Windavia,G
Fly Jordan,G
Government of Philippines,G
AerOasis,G
19th Hole Corp,G
Khatlon Air,G
South Sudan Supreme Airlines,G
Marine Midland Business Loans Inc,G
Airseven,G
Aerospace Management Capital,G
Corporate Italian Operator,G
Tahmid Air,G
Waterworld Jet Aviation,G
Hermes Aviation Capital LLC,G
Undisclosed Russian Operator,G
Kuber Airlines,G
Phoebus Apollo Aviation,G
FlyCemAir Canada,G
JW Aviation LLC,G
Paramount Jet LLC,G
Rheinland Air Service,G
Air Amder,G
FlyNamibia,G
SkyAirWorld,G
Star1 Airlines,G
Lensib Jsc,G
Europe Air,G
First Airways S.A.,G
Sunrider International,G
Top Way General Trading LLC,G
Sierra Foxtrot Zulu Aircraft Pty,G
Gresham Marketing Limited,G
JR Executive SAL,G
Aviatica,G
Bellevue Aircraft Leasing Ltd,G
BVI Airways,G
Air National Corporate,G
Nasim Air,G
Tiara Air,G
Air Vega Bulgaria,G
Commercial Aircraft Services Inc,G
Serve Air Ltd,G
Woelbern Flight Invest 01 GmbH & C/o. KG.,G
Air Guicango,G
Erickson Aviation LLC (OR),G
Blue Sky Ventures Ltd,G
World Aircraft Trading Inc,G
Bank of Hawaii,G
Emerald Airlines,G
Fit Aero Iceland Ltd,G
RGL-4 Corp,G
Advantage Asset Sweden AB,G
Hello Jets,G
Air Lithuania,G
LuxAviation Inc,G
Heflin Business Inc,G
Northern Lights Leasing,G
Jet Express,G
Government of Myanmar,G
Merlin One Aircraft LLC,G
Citibank,G
Kraake & Associates Inc,G
Russian Sky,G
Sudamericana de Aviacion,G
Royal Thai Police,G
AirCorp Inc (Texas),G
Fast Spread Investment Ltd,G
Sigma Aircraft Management LLC,G
Euroair,G
LuftLine Georgia,G
Scorpion Air,G
Compass Cargo Airlines,G
Fortune Air,G
Unconfirmed Moldovan Company,G
V9U-737 LLC,G
Aban Air,G
Trans Maldivian Airways,G
Ruta Air,G
Flywings,G
Banque Indosuez SA,G
Maya Island Air,G
Futura Gael,G
Vision Asset Co LLC,G
Executive Aerospace,G
Jiangsu JD Cargo Airlines,G
Air Caucasus,G
Barker Aeromotive,G
Meridian Air,G
Icar Air,G
Sky Bishkek,G
Bank of Scotland PLC (London),G
Air Charter Express,G
AU7 LLC,G
19th Hole Inc,G
Tbilisi Airways,G
Aerospace Trading LLC,G
Air Cuenca,G
Finservice Bank Jsc,G
POS Malaysia,G
Cobrex Trans,G
World Aviation Services LLC,G
Voliamo,G
Sakaviaservice,G
Aero Controls Inc,G
Aircraft 23169 LLC,G
Historical Aircraft Restoration Society Inc,G
ST Engineering Aerospace Engines,G
Dauair,G
Tandem Aero,G
LinkAir Express,G
Avtrade Ltd,G
Rising Sun Aviation LLC,G
Aerodyne LLC,G
Air Transport Services Group (ATSG),G
Erik Thun AB,G
Air Pegasus,G
Qanot Sharq,G
Soir Premiere Enterprises Inc,G
Omega Air Refueling Services Inc,G
Aerodesierto,G
Chornomorski avialinii,G
Salam Aviation Services FZE,G
Alpha Air,G
Cello Air Finance,G
Flycana,G
Polet Airlines,G
Fleet National Bank of Connecticut,G
Bombardier Finance Inc,G
Qingdao Airlines,G
Siem Reap Airways,G
Cronos Airlines (South Africa),G
Empost Air,G
ORIX Aircraft Corp,G
Trinidad & Tobago CAA,G
Woelbern Flight Invest 02 GmbH & C/o. KG.,G
NPTC Inc,G
Dirgantara Air Service,G
IMD Airways,G
Zimex Aviation Austria,G
Air Turquoise,G
Aero Bee Airlines,G
CLC Capital LLC,G
Aviation Sales MSN 26461 LLC,G
Mimika Air,G
Tronosjet Maintenance Inc,G
AK Sunkar,G
Best Aviation,G
Exclusive Alliance,G
Flightcraft Trading Ltd,G
Flugvik ehf,G
JetNetherlands,G
Imperial Airlines,G
Phoenix Aviation (Kenya),G
Airstream Aviation,G
Layonair,G
Air West,G
DaimlerChrysler Services North America LLC,G
Oscar Jet,G
Unconfirmed Lithuanian Company,G
GS/MC Leasing (N14336) LLC,G
T A Corporativos 2006,G
Aviation Leasing Group,G
Air International Ltd,G
MDT (UK) Limited,G
Peak Pacific Global Ltd,G
Cardiff Aviation Malta,G
Fuga Inc,G
Hermes Aviation Ltd,G
Innovative Aviation,G
South Asian Airlines,G
VGAS Procurement BV,G
EGO Airways,G
Siemens Financial Services Inc,G
Air Carrier Accessory Service,G
Andre Drevs,G
Irtysh Air,G
Avior Regional,G
Lukoil Avia,G
Fly Armenia,G
STV Group a.s.,G
Eswatini Air,G
Trijet Global Air LLC,G
Gambia Bird,G
Libyavia,G
Royal Malaysian Air Force,G
Million Air Charter,G
Aer Lucht,G
Servicaribe Express,G
ExecuJet (UK) Ltd,G
Gremar Management S.A Ltd,G
V M Rotar,G
Avtrade Aircraft Leasing Ltd,G
SC Toyo Motor Leasing IFN S.A,G
Lubeck Air,G
"Charter Jets, UAB",G
Air Paradise International,G
Italiatour Airlines,G
Top Fly,G
ERJ-145-025 LLC,G
Strong Tower Services LLC,G
Falcon Air,G
Airlines of Mordovia,G
Lehman Brothers Inc,G
Sino Europe Aircraft Ltd,G
Transworld Air Freighters,G
Whirlpool Financial Corp,G
Aeolian Airlines,G
Export-Import Bank Of The United States,G
AerDragon Aviation Leasing,G
Paradigm Jet Management,G
Inflite Engineering,G
VECA,G
SVMF 36 LLC,G
World Sky Aviation FZE,G
Mega Aircompany,G
East Coast Flight Services Inc,G
Aviacon Zitotrans,G
Mwant Jet,G
ERJ-145-026 LLC,G
General Electric Capital Business Asset Funding Cp,G
Delbitur,G
Aviation Sales MSN 25022 LLC,G
Gacela Air Cargo,G
Egon Oldendorff OHG,G
BellSouth Corp,G
Floridian Community Bank,G
VAH,G
LAMIA,G
ERJ-145-007 LLC,G
Starling Aviation,G
Zantop International,G
Trust N693BR,G
Albarka Air,G
Zenith Aviation Inc,G
Transaviaservis,G
Beibars,G
Airbus Defence & Space,G
Easy Fly Express,G
Hi Sky Airlines,G
Puma Air Linhas Aereas,G
E1076 Trading Ltd,G
Air Phoenix,G
Cressing Ltd,G
Rainbow Aviation V.o.F,G
Corporate Armenian Operator,G
Jeritt Ltd,G
Air Service Gabon,G
ExecuJet Africa,G
Honk Aviation Limited,G
Aventure Aviation,G
Meridien FZE,G
Skyways Technics,G
The MEC Group LLC,G
Air Peru International,G
Primaris Airlines,G
Weststar General Aviation,G
Hermes Aviation LLC,G
Unconfirmed Indian Airline,G
Golden International Airlines,G
BIC Arrendamento Mercantil SA,G
Winged foot LLC,G
Georgian International Airlines,G
Skytech-AIC,G
Air Lease International One LC,G
Eheim Flugzeug GmbH & Co,G
Kemira Trading Ltd,G
Aeronef Limited,G
Jetcorp Technical Services Inc,G
Green Africa Airways,G
Aerogaviota,G
Airgo Airlines (Greece),G
Rainbow Air,G
SkyBangla Airways,G
Syrian Air Force,G
West Caribbean Airways,G
DVB Aviation Finance Asia Pte Ltd,G
Nurman Avia,G
Air Gabon,G
Phoenix Avia,G
SilkLine Air,G
Contrail Aviation Support Inc,G
Fly540 Uganda,G
AeroUSA Inc,G
Elitavia (Malta) Ltd,G
New England Merchants Leasing Corp B-10,G
Espace Aviation Services,G
Kenn Borek Air,G
First Security Leasing Company,G
Northrop Grumman Systems Corp (Delaware),G
Maersk Aircraft A/S,G
Wu Air Corp,G
Finlayt OOO,G
Jet Asia,G
PanAm Air Cargo,G
JL Anna Lease Co Ltd,G
Taron-Avia,G
Trump Air,G
Pratt & Whitney Engine Services Inc,G
Sunlight Air,G
PL Panorama Leasing Limited,G
Vale S.A.,G
JL Carina Lease Co Ltd,G
Hi-Jet Helicopters,G
Roger H Turnbaugh,G
AirCruising Australia,G
BizCharters Inc,G
Ridgmount Holdings Ltd,G
Grupo Adelac,G
African Airlines Investments,G
Fairchild Dornier,G
Sierra Bravo Delta Aircraft,G
Zone 4 International,G
JRW Aviation Inc (Texas),G
AT&T Credit Corp,G
Mid Express Tchad,G
Continuity Air Finance VII BV,G
Government of Niger,G
NXT Capital LLC,G
Savannah Airlines,G
MontAir,G
Tec Aircraft Leasing Gmbh & Co Kg,G
Air Charter United,G
Unconfirmed Ukrainian Airline,G
Eaganbail GIE,G
Antares Aviation LLC,G
Norris Aviation Services Australia Pty Ltd,G
Paladin (Africa) Ltd,G
Capital Aircraft Inc,G
JL Sarah Lease Co Ltd,G
MCA Airlines (1),G
Third Star Aviation LLC,G
Aviation Holdings II Investments LP,G
Triton Aviation Services LLC,G
Pronair,G
Six Cargo,G
Lonestar Aviation LLC,G
Funair Corp,G
342 Airframe Acquisition LLC,G
Ararat International Airlines,G
Ansett Australia Cargo,G
Fly Salone,G
Enterprise World Airways,G
Imtrec Aviation Cambodia,G
Avaio Ltd,G
Chasseral Aircraft Leasing Ltd,G
Grossmann Air Service,G
Dornier 3095 LLC,G
GST Aero Aircompany,G
Samal Air,G
Airline Transport,G
Lynx Taxi Aereo Ltda,G
Chrome Air Services,G
Cesa Cargo,G
SP Aircraft Owner IV LLC,G
Gromov Flight Research Institute ( LII ),G
Albatros Airways,G
Fly Guam,G
Daruro Airline,G
Fly Wings LLC,G
GIE Danda,G
Nomads,G
Arab Leasing International Finance,G
Safair Lease Finance,G
Bravo Airlines,G
Rocky S Morris & Mary E Morris,G
Sol Airlines,G
Saratov Aviation Plant,G
Flycorp Ltd,G
Bristow Helicopters (UK),G
Privatair Saudi Arabia,G
Jetways Airlines,G
Prestige Avia,G
Aventura Aviation LLC,G
Buffair Services,G
Vermeer Global Aviation Sevices,G
Pacific Coast Group Inc,G
Air Falcon,G
Gary 737 LLC,G
CFM Materials LP,G
Libertas Holding AS,G
Nuevo Continente,G
Augusta Aviation (Cayman) Inc,G
Fly Erbil,G
Alphastream AG,G
Clear Blue Capital PTY Ltd,G
Braun Racing Aviation LLC,G
Jetstream Aviation Capital,G
Pacific Gas & Electric Co,G
Zermatt Ltd,G
GETRA-Guinea Ecuatorial de Transportes Aereos,G
Turbo ATR Partnership,G
Air Universal (Cyprus),G
Grizodubova Aviation Company,G
Nona Trade Corporation GmbH,G
Prestige Jet,G
FGUAP MCHS Rossii,G
Premier Avia Service,G
AVCOM,G
Government of Taiwan,G
Lowa Ltd,G
Canoga Capital Corp,G
Regional Air Services,G
Unconfirmed Airline,G
SkyKing Airlines,G
Jetsgo,G
Avico Asset Management,G
United Aircraft Corporation (Aviastar-SP),G
Opel Investments,G
Star Jet,G
Unconfirmed Kazakhstan Airline,G
Eastern Trade Wings Denmark ApS,G
Star Airline,G
Desert Eagle LLC,G
Leasing Roma SpA,G
Ascent Aviation Services (Marana),G
Unconfirmed Russian Airline,G
ERJ145 Msn 145524 LLC,G
Afghan Air Force,G
Knight Airlines,G
Meditair,G
Air Midwest (3),G
Aero Acquisitions LLC,G
Jupiter Jet,G
Tikal Jets Airlines,G
Tiko Air,G
Bay Aeroservices Inc,G
Aquila Air Capital,G
Latinoamericana de Aviacion SA,G
BCI Aircraft Leasing Ireland Ltd,G
Fujairah Amiri Flight,G
T.P Mazembe,G
Air Leap,G
Nedbank Ltd,G
US Department of State - INL Air Wing (INL/A),G
Hong Kong Meilian Airline Share Ltd,G
Source One Spares,G
Aer Lingus UK,G
SKYnet.aero,G
Bangkok Helicopter Services,G
Eastgate Investments (London) Ltd,G
Precision Aircraft Solutions,G
Sol del Paraguay Lineas Aereas SA,G
Red Apple Aviation Inc,G
SP Aircraft Owner VI LLC,G
Air Company Continent,G
South East Airlines - Dagestan Airlines,G
Grand Airlines Inc,G
Locat SpA,G
Protocole Aviation,G
West Caribbean Costa Rica,G
WS Aircraft Holdings 1 LLC,G
FlyAruba,G
Atyrau Air Ways,G
C.S.P. Societe,G
Bionic Aviation,G
FX Aviation Capital LLC,G
LG Aviation Inc,G
Towards Air LLC,G
Business Jet Access,G
Starwood Flight Operations Inc,G
Australian Corporate Jet Centres Pty Ltd,G
Chip Ganassi Racing Teams Inc,G
Chip Ganassi Racing with Felix Sabates Inc,G
Eurex Airlines,G
Largus Aviation,G
MWG Avia,G
Geo Fly Airways,G
Samara Airlines (Georgia),G
GATX Air,G
Unconfirmed Kyrgyzstan Airline,G
Regional International Air Services,G
WuMac Inc,G
AirCapital Aviation Services LLC,G
Thompson SPE LLC,G
Air Kazakhstan (1),G
Boreal Aviacion,G
Flying Colours Corp,G
Pembroke Capital Shannon 2000 Ltd,G
Comlux Aviation Malta,G
Triton Aviation Cargo Conversion LLC,G
Aztech Ltd,G
Tbilaviamsheni Georgia,G
Planet Airways,G
Al-Atheer Establishment,G
Botir Avia,G
UAC (Irkut),G
Skyline Aviation,G
Aeronautical Engineers Inc,G
ADA Air,G
Government of the Ivory Coast,G
Heritage Air,G
SP Aircraft Owner II LLC,G
US Airways Group Inc,G
Hemmer Management & Beheer BV,G
Lineas Aereas Santomenses,G
Fly Air 41,G
ANCL Investments Limited,G
flybig,G
Zia Turbopower Inc,G
Sumisho Aircraft Asset Management BV,G
Piraeus Financial Leasing SA,G
AL22371 LLC,G
Bulair,G
Air Atlanta Europe,G
Universal Express Holdings Limited,G
Salaam Air Express,G
Jordan International Air Cargo,G
Corporate Russian Operator,G
Sierra West Airlines,G
KLM UK Engineering,G
ASSL Air,G
Rollins Air,G
Fly ZeJet,G
Orient Aviation Services,G
United Aviation (Kuwait),G
Kinshasa Airways,G
Air Antwerp,G
Flightec International,G
Select Leasing Inc,G
Scaife Flight Operations LLC,G
Royal Air (Gambia),G
Zodiac Group,G
Fly540 Angola,G
Master Airways,G
Benin Golf Air,G
International Jet Management GmbH,G
Afrijet,G
Aerostan,G
Aerovip,G
Regional Air (Kenya),G
Fleet Air International (Bulgaria),G
Wetrafa Airlift,G
CRJ 7245 LLC,G
CRJ 7408 LLC,G
SP Aircraft Owner III LLC,G
Aeroinversiones SA,G
IAGB A300 LLC,G
QinetiQ Ltd,G
Africa Airways,G
PeopleFly,G
Tropical Air,G
RICO Linhas Aereas,G
Medavia,G
Chen Avia (Pty) Ltd,G
Air Rum International,G
Air Glona,G
Renegade Air,G
RepublicAir,G
OWG,G
Commercial Aviation Services LLC,G
Magadanavialeasing,G
Okada Air,G
Equipment Sales and Leasing LLC,G
Skyway,G
SRF Aircraft Services Inc,G
Aero Technologies Inc,G
Air Carnival,G
Houston Aircorp Basketball LLC,G
FaroeJet,G
Capex Leasing,G
Desna Avia OOO,G
Emery Worldwide Airlines,G
Icelandic Coast Guard,G
Avcorp Industries,G
Alvar Enterprises,G
JM 21695 LLC,G
Marbyia Investments,G
Avex Air,G
Sunny Airways,G
Click Airways,G
Stansted Aircraft Finance (No.1) Ltd,G
flyOristano,G
