Operator,Mapped TLO Group
Wizz Air Ukraine,G
Blue Bird Aviation,G
ORIX Aviation,G
Moskovia Airlines,G
Blue Bird Airways,G
JetLink Express,G
Aeronexus,G
CargoLogicAir,G
Japan Asia Airways,G
Rio Linhas Aereas,G
Serene Air,G
Air Gemini,G
Karthago Airlines,G
Camair-Co,G
Air Senegal,G
UTair-Express,G
Toll Priority,G
NIIIS ATP,G
Scoot (1),G
Bombardier Inc,G
Sama Airways,G
Astral Aviation,G
MFW Aeronautics Inc,G
Level (Spain),G
ICBC Leasing,G
Unconfirmed Operator,G
Avantiair,G
Air Greenland,G
Cambodia Angkor Air,G
Afrijet Business Service,G
Iberojet,G
JP Express,G
ITA Airways,G
Paramount Airways,G
Skyjet,G
Tomskavia,G
Air Spray USA Inc,G
LATAM Airlines Paraguay,G
Air China Zhejiang,G
Texel Air,G
Karun Airlines,G
Air Mali,G
Colombian Air Force,G
CIAF-Leasing,G
Jubba Airways,G
Presidio Aircraft Leasing,G
Asian Wings Airways,G
Smartwings Poland,G
Grozny-Avia,G
Breeze Airways,G
Henan Airlines,G
Indonesia Air Transport,G
General Electric Co (CA),G
Boeing,G
Turuhan Aviacompany,G
Transair,G
Cargo Air,G
Petropavlovsk-Kamchatsky Air Enterprise,G
United Nigeria,G
Air Guilin,G
Progress TsSKB Aviakompania,G
Virgin Samoa,G
Gulf Traveller,G
Lviv Airlines Ukraine West,G
Conair Aviation,G
Republic of Singapore Air Force,G
Bassaka Air,G
LanExpress,G
AerFin,G
Sundair,G
Elix Aviation Capital,G
Africa Charter Airline,G
Perla Airlines,G
DLR Flugbetriebe,G
DHL Network Operations (USA) Inc,G
Paradigm Air Operators,G
Jet2 (1st),G
Atlantis Armenian Airlines,G
Air Cargo Germany,G
Unconfirmed Operating Lessor,G
CAL Cargo Air Lines,G
Komiaviatrans,G
AviaAM Leasing,G
Trade Air,G
Wells Fargo Delaware Trust Company,G
Aerway Leasing LLC,G
B&H Airlines,G
VASCO,G
ALBAWINGS,G
Golden Mile Aircraft Leasing Inc,G
AT Leasing,G
Air Libya,G
Livingston Compagnia Aerea,G
Air Ivoire,G
Gulf Air Group,G
Great Wall Airlines,G
Phuket Air,G
Hamburg Airways,G
ALS Limited,G
Miniliner,G
Up,G
NokScoot,G
AirSwift,G
Omega Air Inc,G
Mexican Air Force,G
Air India Cargo,G
Alexandria Airlines,G
Go2Sky,G
FastJet Zimbabwe,G
Hemus Air,G
SAHA Airlines,G
Kostroma Air Enterprise,G
A&W Aeronautics Services Inc,G
RAK Airways,G
Asia Sky Lines,G
Nesma Airlines (Saudi Arabia),G
Plus Ultra,G
Klasjet,G
CAI Second,G
PAL Airlines,G
Longjiang Airlines,G
Air Costa,G
ATR,G
Doric,G
Bravo Airways,G
2Excel Aviation,G
Mann Yadanarpon Airlines,G
Smartwings Slovakia,G
East Star Airlines,G
Airjet Angola,G
Solomon Airlines,G
Anda Air,G
AeBal - Aerolineas de Baleares,G
Dutch Antilles Express,G
Lufthansa Italia,G
SprintAir,G
Air Incheon,G
Iberojet (Portugal),G
Koral Blue,G
GMT Global Republic Aviation,G
Servicos Executivos Aereos de Angola (SEAA),G
Hevilift Ltd,G
SELVA Colombia,G
Alfa Airlines,G
DC Aviation,G
Olympus Airways,G
InselAir Aruba,G
Gomair,G
TAB Airlines,G
Riau Airlines,G
Air Bashkortostan,G
Maldivian,G
Flyme,G
TransAVIAexport Airlines,G
Amas Uruguay,G
MAP Linhas Aereas,G
Dubrovnik Airline,G
Air Horizont,G
Jackson Square Aviation,G
Blue Line,G
Overland Airways,G
Aerosucre Colombia,G
Buraq Air,G
RusJet,G
Kingfisher Red,G
Eritrean Airlines,G
Daimler Capital Services LLC,G
IRS Airlines,G
EXIN,G
Bhutan Airlines,G
BWIA West Indies Airways,G
Zoom Airlines,G
LTE,G
ALM - Aircraft Leasing & Management,G
Sun D'Or International Airlines,G
Cobalt Air,G
Songbird,G
Falcon Air Express,G
Air Comet Chile,G
Air Kasai,G
Peruvian Air Force,G
Avianova (Russia),G
Brazilian Air Force,G
Global Charter Services,G
Skytraders,G
Filair,G
Wizz Air Bulgaria,G
Welcome Air,G
Volaris Costa Rica,G
AMCK Aviation,G
Shanxi Airlines,G
KMV - Kavkazskie Mineralnye Vody,G
Cardig Air,G
Syphax Airlines,G
Beta Cargo,G
East Air,G
GMG Airlines,G
Asia Pacific Airlines,G
Transavia-Garantiya,G
Air Mediterranean,G
Royal Falcon Airlines,G
10 Tanker Air Carrier,G
Viking Airlines,G
Tez Jet Airlines,G
FlyOne,G
African Inland Mission International,G
Everts Air Alaska,G
BRA-Braathens Regional Airlines (1),G
TransAfrik,G
2GO,G
Qatar Amiri Flight,G
Rio Sul,G
DHL Ecuador,G
Business Air,G
Aviolet,G
Icejet,G
Israel Air and Space Force,G
Seraph Aviation Management,G
La Compagnie,G
Aero Airlines,G
Orange2fly,G
Argentine Air Force,G
Iceland Express,G
Eurowings Discover,G
Veling,G
AAR Aircraft Sales & Leasing,G
LOT Charters,G
LUK Aero,G
Investec Bank,G
SkyBird Air,G
Coulson Aviation (USA) Inc,G
Olympia Aviation,G
Aero Condor,G
Thai VietJet Air,G
Phoenix Aircraft Leasing,G
Leading Edge Air Services Corp,G
Sky Road Leasing,G
RVR Air Charter,G
Groupe Transair,G
Virgin Galactic,G
Tehran Airline Development Company,G
SR Jet,G
Aer Caribe,G
Custom Air Transport,G
Baikal Airlines,G
Indian Air Force,G
Siam Air,G
HNB Investment Corp,G
Marsland,G
Senegal Airlines,G
Vertir Airlines,G
Saga Airlines,G
Enerjet,G
Holiday Europe,G
ORBIS,G
Agni Air,G
Norwegian Air UK,G
Air Cargo Global,G
Regional Air Lines,G
Congo Airways,G
California Pacific Airlines,G
