RiskCode,High Level Class of Business,Generic Class of Business,Type of Placement,Risk Code Description,Risk Code Description - Expanded,OECD Class Mapping,Assigned Tracker,Assigned BP Class
UR,Casualty Other,NM General Liability (US direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",NM GENERAL AND MISC LIABILITY ALL OTHER INCL USA - BINDERS ONLY,General and miscellaneous non marine liability on any basis other than claims made including the USA - binders only,GENERAL LIABILITY,Tracker SR,US Specialty Programmes
US,Casualty Other,NM General Liability (US direct),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",NM GENERAL AND MISC LIAB CLAIMS MADE INCL USA -  BINDERS ONLY,General and miscellaneous liability on a claims made basis including the USA - binders only,GENERAL LIABILITY,Tracker SR,US Specialty Programmes
V,Marine,Cargo,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",CARGO ALL RISKS INCL WAR EXCL WRO,Cargo all risks including war but excluding war risks only (stand alone),GOODS IN TRANSIT,Tracker Marine,Cargo
VL,Marine,Cargo,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",LEGAL LIAB CARGO AND PROP INCL CCC OF ASSURED EXCL WRO,Legal liability in respect of cargo and property of the insured including care custody control excluding war risks only (stand alone),GOODS IN TRANSIT,Tracker Marine,Cargo
VX,Marine,Marine XL,Excess of Loss Treaty,XOL Cargo Incl. War Excl. WRO,Excess of loss treaty in respect of cargo all risks including war but excluding war risks only (stand alone),GOODS IN TRANSIT,Tracker Marine,Cargo
W,Marine,Marine War,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",VESSELS WAR AND OR CONFISCATION EXCL BREACH VOYAGES,War and/or confiscation in respect of vessels excluding breach voyages,SHIPS DMGE & LIABILITY,Tracker Marine,War
W3,Casualty Other,Employers Liability/ WCA (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",UK EMPLOYERS LIABILITY,UK employers liability,GENERAL LIABILITY,Tracker SR,Large Client Professional
W4,Casualty Other,Employers Liability/ WCA (non-US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",INTL WORKERS COMP AND EMPLOYERS LIAB EXCL USA AND UK,Overseas workers compensation and employers liability excluding the USA and the UK,GENERAL LIABILITY,Tracker SR,London EPL
W5,Casualty Treaty,Employers Liability/ WCA (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",US WORKERS COMPENSATION PER PERSON EXPOSED,US workers compensation with per person exposure,GENERAL LIABILITY,Tracker SR,US EPL
W6,Casualty Treaty,Employers Liability/ WCA (US),"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",US WORKERS COMPENSATION CATASTROPHE EXPOSED,US workers compensation catastrophe (excess of per person exposure),GENERAL LIABILITY,Tracker SR,US EPL
WA,Specialty Other,Extended Warranty,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty","EXTENDED WARRANTY - From 01/01/05 also includes business previously coded ""WS""",Extended warranty,PECUNIARY LOSS,Tracker SR,Recall
WB,Marine,Marine War,"Direct, Facultative Proportional, Facultative Excess Loss, Proportional Treaty",VESSELS HULL WAR BREACH VOYAGES ONLY,War and confiscation of vessels in respect of breach voyages only,SHIPS DMGE & LIABILITY,Tracker Marine,War
