lloyds_risk_code,yoa,gpi,gnpi,acquisition_cost,latest_paid_position,latest_incurred_position,gn_ulr,incurred_development,paid_development,premium_development
DC,2013,299517754.6,215488012.7,0.28055012,20698593.25,20698592.24,0,1,0,0.999976247
DC,2014,344082293,239246920.8,0.304681102,32964121.98,32989821.19,0,1,0,1
DC,2015,352322949,247074035,0.298728523,80125568.08,80129107.25,0,1,0,1
DC,2016,396381825.7,281267584.4,0.290412511,224556485,224727290.8,0,1,0,1
DC,2017,432150623,308980221.3,0.285017295,166627264.4,167104822.5,0,1,0,0.999950944
DC,2018,0,0,0,0,0,0,1,0,0.999752927
DC,2019,0,0,0,0,0,0,1,0,1
DC,2020,0,0,0,0,0,0,1,0,1
DC,2021,0,0,0,0,0,0,1,0,1
DC,2022,0,0,0,0,0,0,1,0,0.9962157
DC,2023,846374981.3,604728759,0.285507284,200654646.1,236171504.6,0,1,0,1
DC,2024,848334986.7,607689442.3,0.283668065,163787819.9,197859410.9,0,0.898614957,0,1
DC,2025,488409539.9,355433195,0.27226402,12614540.87,16834632.54,0,0.302472447,0,0.573708222
E2,2005,0,0,0,0,0,0,1,0,1
E2,2006,258654045.2,220081309.3,0.149128678,91501281.3,91501223.71,0,1,0,1
E2,2007,255844884.7,217745749,0.148914979,219578249.3,220103083.8,0,1,0,1
E2,2008,222741946.2,189512461.3,0.149183777,206416584,206416583,0,0.999915743,0,1
E2,2009,219680425.4,184420291.9,0.160506488,246574269.5,246605846.2,0,1,0,1
E2,2010,179520281.1,152287444.4,0.151697828,129490112.2,137869983.6,0,1,0,1
E2,2011,158879828,132054101.8,0.16884287,95579093.12,95836782.48,0,0.997461174,0,1
E2,2012,169774026.7,142387508.8,0.161311589,164910373.3,167233944.8,0,0.995381731,0,1
E2,2013,180739505,148547246.6,0.178114123,110007098.3,110662672.4,0,0.992222768,0,1
E2,2014,179745594.3,146251689.5,0.186340616,85248766.59,85529041.12,0,0.980655751,0,1
E2,2015,189188421.5,154505761.5,0.183323375,143275386,148979075.5,0,0.983223107,0,1
E2,2016,207652317.6,168109338.8,0.190428786,153207756.1,169497293.2,0,0.974690176,0,1
E2,2017,190342511.9,155539321.4,0.182845073,128910594.6,141676627.1,0,0.95375211,0,0.993144594
E2,2018,191033297,156549794.9,0.180510428,127746821.6,149540348.9,0,0.910255011,0,0.988308968
E2,2019,183228971.5,149828746.2,0.182286813,104032146.3,119564106.7,0,0.841481215,0,0.984579978
E2,2020,167574042.5,137217147.7,0.181155114,95542696.95,111022504.2,0,0.767736739,0,0.980869257
E2,2021,162244721.8,135837408,0.162762236,23978881.06,41292908.72,0,0.657207124,0,0.976483948
E2,2022,155114051.8,129274399.5,0.166584858,55340171.35,78067143.82,0,0.524865733,0,0.97674276
E2,2023,154380001.1,130418045.5,0.155214117,24781180.66,46368477.21,0,0.339640153,0,0.979719747
E2,2024,162037407.8,135751862.6,0.162218993,13857026.72,23364575.76,0,0.149324579,0,0.974898904
E2,2025,146483687,122968258.7,0.160532744,1545131.817,2362975.086,0,0.012004249,0,0.738105696
E3,2005,0,0,0,0,0,0,1,0,1
E3,2006,82420252.86,73551416.09,0.107605066,46956611.99,47095266.18,0,1,0,1
E3,2007,87984186.46,77297382.01,0.121462786,48286247.45,48687380.87,0,1,0,1
E3,2008,92256578.4,82349858.87,0.107382256,69688995.13,69965542.15,0,1,0,1
E3,2009,95275681.72,86597042.82,0.091089759,73726477.97,74786734.33,0,1,0,1
E3,2010,110565537.6,98838694.66,0.10606237,92639147.49,94235671.75,0,0.99761631,0,1
E3,2011,115375973,103269984.1,0.10492643,105441295.5,108682721.1,0,0.997891217,0,1
E3,2012,131521388.7,117869968,0.103796202,112385871.9,113633788.9,0,0.988084667,0,1
E3,2013,152965981.5,137656958.7,0.100081225,131296429.4,137786921.2,0,1,0,1
E3,2014,158493127.6,141704701.5,0.105925262,143011676.9,153253570.3,0,0.989028514,0,0.999966383
E3,2015,182390980.2,159658429.9,0.124636373,173475893.9,186073510.7,0,0.976452787,0,0.999988298
E3,2016,194871559.9,168619771.6,0.134713287,169703163.6,175809165.2,0,0.94073084,0,0.999905809
E3,2017,206210603.3,179494008.7,0.129559752,213735806.2,218834890.6,0,0.914649762,0,1
E3,2018,184971832.8,160644519.5,0.131519015,125980875.6,141700690.4,0,0.877667064,0,1
E3,2019,154302558,133789684.9,0.132939294,55211905.23,76163486.65,0,0.833068935,0,1
E3,2020,167809446.6,147951791.4,0.118334549,39804764.63,85129096.09,0,0.755292,0,0.999469515
E3,2021,200774944.5,178447515.5,0.111206251,21576838.61,26604734.11,0,0.668040128,0,0.999506512
E3,2022,224841043.3,199181957.5,0.114121005,35427271.3,46691922.57,0,0.551594967,0,0.998321153
E3,2023,247476055.5,216482543.8,0.125238426,11777851.07,23670513.64,0,0.389859662,0,0.997049478
E3,2024,277378476.3,241440573.1,0.129562696,3518422.249,8735194.914,0,0.146749201,0,0.976547116
E3,2025,157657611.7,141296903.1,0.103773667,2171774.253,2684394.891,0,0.015523715,0,0.638850594
E4,2005,0,0,0,0,0,0,1,0,1
E4,2006,24884437.39,22169804.15,0.109089597,7031579.709,7031579.699,0,1,0,1
E4,2007,26449362.74,24005514.49,0.092397245,10525736.66,10525736.65,0,1,0,1
