"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem/cont_relation_govt","cont_relation_govt","float","output","n/a","Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem/total","total","float","output","n/a","Total","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_prem","simulated_prem","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss/gov_action","gov_action","float","output","n/a","Government Action & Intervention","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss/pol_violence","pol_violence","float","output","n/a","Political Violence","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss/cur_inconvertibility","cur_inconvertibility","float","output","n/a","Currency Inconvertibility","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss/cont_relation_govt","cont_relation_govt","float","output","n/a","Contractual Relationship with Government","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss/total","total","float","output","n/a","Total","n/a"
"cds/exposure/granular/political/key_summary_outputs/simulated_loss","simulated_loss","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/key_summary_outputs","key_summary_outputs","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix/mobile_assets/gov_action","gov_action","bool","input","required","Government Action & Intervention","False"
"cds/exposure/granular/political/coverage_matrix/mobile_assets/pol_violence","pol_violence","bool","input","required","Political Violence","False"
"cds/exposure/granular/political/coverage_matrix/mobile_assets/cur_inconvertibility","cur_inconvertibility","bool","input","required","Currency Inconvertibility","False"
"cds/exposure/granular/political/coverage_matrix/mobile_assets/cont_relation_govt","cont_relation_govt","bool","input","required","Contractual Relationship with Government","False"
"cds/exposure/granular/political/coverage_matrix/mobile_assets","mobile_assets","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix/fixed_assets/gov_action","gov_action","bool","input","required","Government Action & Intervention","False"
"cds/exposure/granular/political/coverage_matrix/fixed_assets/pol_violence","pol_violence","bool","input","required","Political Violence","False"
"cds/exposure/granular/political/coverage_matrix/fixed_assets/cur_inconvertibility","cur_inconvertibility","bool","input","required","Currency Inconvertibility","False"
"cds/exposure/granular/political/coverage_matrix/fixed_assets/cont_relation_govt","cont_relation_govt","bool","input","required","Contractual Relationship with Government","False"
"cds/exposure/granular/political/coverage_matrix/fixed_assets","fixed_assets","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix/lenders_interest/gov_action","gov_action","bool","input","required","Government Action & Intervention","False"
"cds/exposure/granular/political/coverage_matrix/lenders_interest/pol_violence","pol_violence","bool","input","required","Political Violence","False"
"cds/exposure/granular/political/coverage_matrix/lenders_interest/cur_inconvertibility","cur_inconvertibility","bool","input","required","Currency Inconvertibility","False"
"cds/exposure/granular/political/coverage_matrix/lenders_interest/cont_relation_govt","cont_relation_govt","bool","input","required","Contractual Relationship with Government","False"
"cds/exposure/granular/political/coverage_matrix/lenders_interest","lenders_interest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix/sublimit/pol_violence","pol_violence","float","input","optional","Political Violence","None"
"cds/exposure/granular/political/coverage_matrix/sublimit/cur_inconvertibility","cur_inconvertibility","float","input","optional","Currency Inconvertibility","None"
"cds/exposure/granular/political/coverage_matrix/sublimit","sublimit","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix/deductible/pol_violence","pol_violence","float","input","optional","Political Violence","None"
"cds/exposure/granular/political/coverage_matrix/deductible","deductible","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/coverage_matrix","coverage_matrix","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/political/country_exposure/id","id","float","output","n/a","ID","n/a"
"cds/exposure/granular/political/country_exposure/country","country","str","input","optional","Country","None"
"cds/exposure/granular/political/country_exposure/sum_insured","sum_insured","float","input","optional","Total Sum Insured","None"
"cds/exposure/granular/political/country_exposure/excess","excess","float","input","optional","Excess","None"
"cds/exposure/granular/political/country_exposure/limit","limit","float","input","optional","Limit","None"
"cds/exposure/granular/political/country_exposure/check","check","str","output","n/a","Complete Check","n/a"
"cds/exposure/granular/political/country_exposure/country_2dig","country_2dig","str","output","n/a","Country 2 digit","n/a"
