GroupItem,GroupType,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MANUFACTURING (NON-DURABLE) / APPAREL,Claims,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MANUFACTURING (NON-DURABLE) / APPAREL,Exposure,25.0,22.0,21.0,18.0,32.24503,31.35207,30.21409,28.69,25.81897,27.83274,28.8169,28.38173,29.80772,25.55048,24.28423,26.61266,26.24366,34.98874122150366,44.2771348508127,46.742899369060005,47.44983631306723,47.44983631306723
MANUFACTURING (NON-DURABLE) / APPAREL,Base Frequency,0.04,0.045454545454545456,0.047619047619047616,0.0,0.0,0.031895820594939985,0.0,0.034855350296270474,0.0,0.0,0.0,0.03523393394271596,0.0,0.03913820797104399,0.0,0.03757610099854731,0.0,0.0,0.0,0.0,0.0,0.0
NATURAL RESOURCES,Claims,5.0,3.0,3.0,3.0,0.0,3.0,7.0,3.0,5.0,6.0,13.0,9.0,1.0,3.0,6.0,8.0,5.0,1.0,10.0,5.0,2.0,1.0
NATURAL RESOURCES,Exposure,218.0,207.0,210.0,207.0,183.8121,195.9205,196.2006,206.8625,195.7678,223.5066,225.9318,207.7369,208.7721,221.1078,198.0484,187.0448,209.3657,253.75134248282507,261.51147638302143,294.4837860376085,303.00209221694666,303.00209221694666
NATURAL RESOURCES,Base Frequency,0.022935779816513763,0.014492753623188406,0.014285714285714285,0.014492753623188406,0.0,0.015312333318871685,0.03567777060824483,0.014502386851169254,0.025540461710250616,0.02684484485021919,0.0575394875798803,0.0433240315033102,0.004789912062004454,0.013568042375709948,0.03029562470587998,0.042770502040152945,0.023881657788262355,0.003940865850070071,0.038239239586386455,0.01697886347930018,0.00660061448872115,0.003300307244360575
NON CLASSIFIABLE ESTABLISHMENTS,Claims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NON CLASSIFIABLE ESTABLISHMENTS,Exposure,86.0,85.0,79.0,70.0,0.0,0.743166,1.486331,1.486331,0.743166,2.709684,2.447537,2.235851,1.492686,1.492686,2.492686,2.704371,11.13728,0.0,14.538331278175812,15.023193412069062,19.489510064640474,19.489510064640474
NON CLASSIFIABLE ESTABLISHMENTS,Base Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NON/DISCRETIONARY RETAIL SECTOR,Claims,1.0,13.0,13.0,8.0,7.0,9.0,4.0,5.0,2.0,7.0,7.0,8.0,6.0,4.0,8.0,11.0,8.0,10.0,5.0,2.0,8.0,5.0
NON/DISCRETIONARY RETAIL SECTOR,Exposure,277.0,255.0,229.0,215.0,294.9701,292.3719,288.3477,257.8847,251.9633,268.3223,270.4179,274.292,281.2523,288.4674,289.7042,277.5368,276.7086,250.29673317458258,264.8735362642394,288.9158292162518,293.12062645336505,293.12062645336505
NON/DISCRETIONARY RETAIL SECTOR,Base Frequency,0.0036101083032490976,0.050980392156862744,0.056768558951965066,0.037209302325581395,0.023731218859131823,0.030782712018494255,0.013872141168457388,0.019388509671182507,0.00793766393756551,0.02608802920964825,0.025885860366492014,0.029165998279206105,0.021333158875500753,0.013866384901725464,0.027614373557580455,0.039634383620478435,0.028911280675772276,0.03995257897762883,0.018876933009313434,0.006922431371882403,0.027292518089895614,0.017057823806184758
PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,Claims,15.0,24.0,21.0,19.0,11.0,13.0,1.0,1.0,15.0,8.0,13.0,14.0,18.0,16.0,25.0,35.0,41.0,30.0,21.0,24.0,15.0,19.0
PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,Exposure,264.0,262.0,267.0,263.0,267.387,271.1748,287.7184,261.822,244.8752,256.3583,259.6193,253.7965,283.5584,308.5195,313.9271,314.4573,374.5987,419.9729594682511,494.59384831116427,529.8460099291781,526.7554485645878,526.7554485645878
PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE,Base Frequency,0.056818181818181816,0.0916030534351145,0.07865168539325842,0.07224334600760456,0.04113887361764035,0.0479395578055188,0.003475620606815553,0.0038193887450252463,0.06125569269570785,0.03120632333729784,0.05007331889424245,0.05516230523273567,0.06347898704464407,0.05186057931508381,0.07963632321007011,0.11130287005580727,0.10945045991884114,0.0714331704545562,0.04245908045906032,0.04529617955074902,0.02847621233131067,0.036069868952993515
PREPACKAGED SOFTWARE,Claims,8.0,14.0,13.0,8.0,4.0,3.0,3.0,2.0,3.0,6.0,1.0,2.0,2.0,2.0,4.0,4.0,7.0,2.0,4.0,6.0,3.0,4.0
PREPACKAGED SOFTWARE,Exposure,245.0,222.0,184.0,158.0,167.6853,154.0036,147.3656,129.3458,115.1403,124.1417,120.1322,116.8675,110.3011,116.0731,118.8492,116.5132,115.6034,119.266982473932,116.65895312490773,126.70526166591715,121.06660794195743,121.06660794195743
PREPACKAGED SOFTWARE,Base Frequency,0.0326530612244898,0.06306306306306306,0.07065217391304347,0.05063291139240506,0.02385420785244741,0.019480064102397606,0.020357532558480405,0.015462427075328307,0.02605516921529647,0.0483318659241818,0.008324162880559916,0.01711339765118617,0.01813218544511342,0.01723052111126523,0.03365609528713698,0.03433087409838542,0.060551852281161285,0.016769100370566822,0.03428798127236035,0.04735399241603839,0.024779747702506707,0.033039663603342276
PUBLIC ADMINISTRATION,Claims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIC ADMINISTRATION,Exposure,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIC ADMINISTRATION,Base Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIC UTILITIES,Claims,21.0,5.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,3.0,0.0,2.0,2.0
PUBLIC UTILITIES,Exposure,98.0,94.0,94.0,99.0,163.5888,170.2066,174.9395,170.2145,165.9894,178.5554,181.9914,175.9242,176.107,177.6288,180.4544,184.0412,178.266,203.5865506931625,202.01676070587928,209.89940267217872,210.4218379317191,210.4218379317191
PUBLIC UTILITIES,Base Frequency,0.21428571428571427,0.05319148936170213,0.0425531914893617,0.0,0.0,0.005875212829584751,0.011432523815376173,0.0,0.006024481081322061,0.005600502701122453,0.010989530274507477,0.0056842662919598325,0.011356731986803478,0.011259435406870957,0.01662469853879983,0.01630069788721221,0.022438378602762165,0.029471494946849214,0.014850252966721742,0.0,0.009504716904188389,0.009504716904188389
REAL ESTATE,Claims,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0
REAL ESTATE,Exposure,168.0,158.0,150.0,142.0,62.22971,65.2895,69.40136,68.79881,64.00301,68.95776,69.73395,71.72696,72.76826,80.35218,75.83271,74.27869,77.98434,102.14529685447553,49.643282415531786,57.76898571683399,57.7807424575945,57.7807424575945
REAL ESTATE,Base Frequency,0.005952380952380952,0.006329113924050633,0.0,0.0,0.03213898955980994,0.015316398502056225,0.02881787907326312,0.0,0.015624265171278663,0.0,0.0,0.0,0.0,0.01244521306080308,0.0,0.053851245895693636,0.012823087301886506,0.009789975953809024,0.02014371232807789,0.017310326425007634,0.017306804265000638,0.0
REITS,Claims,2.0,0.0,1.0,2.0,3.0,12.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0
REITS,Exposure,154.0,145.0,144.0,154.0,221.4673,218.9714,218.4239,191.8137,177.1895,193.6235,203.1951,220.4842,251.0629,275.0706,296.961,310.2487,309.416,360.6381328217396,352.7561320559882,383.48197801263586,323.03321056445316,323.03321056445316
REITS,Base Frequency,0.012987012987012988,0.0,0.006944444444444444,0.012987012987012988,0.013546017854554601,0.05480167729666979,0.009156507140473181,0.0,0.0,0.00516466234728739,0.004921378517493778,0.0,0.007966131196604515,0.007270860644503629,0.01346978222729584,0.0032232205968953298,0.012927579698528842,0.005545725251934418,0.005669639216030885,0.0026076844736809238,0.0030956569395841583,0.006191313879168317
RETAIL SERVICES,Claims,8.0,5.0,1.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,7.0,4.0,2.0,6.0,8.0,7.0,8.0,1.0,1.0,4.0
RETAIL SERVICES,Exposure,202.0,190.0,166.0,165.0,185.0115,179.4436,180.5658,160.8024,149.5125,169.7786,163.8277,161.8019,170.2479,177.3556,176.2465,178.2642,177.4928,192.57161235136454,208.86934460583257,230.68978780624496,250.80507553488766,250.80507553488766
RETAIL SERVICES,Base Frequency,0.039603960396039604,0.02631578947368421,0.006024096385542169,0.030303030303030304,0.010810138829207913,0.02786390821405723,0.01661444193750976,0.018656437963612483,0.013376807959200737,0.01178004766207284,0.018311921610325972,0.01236079427991884,0.0411165130377526,0.022553559064388155,0.011347743075749022,0.033657907757138006,0.045072250818061356,0.03635011367733609,0.03830145594173806,0.0043348256093585485,0.0039871601396714845,0.015948640558685938
SEMICONDUCTORS AND RELATED DEVICES,Claims,7.0,6.0,8.0,4.0,9.0,4.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,7.0,1.0,4.0,1.0,3.0,4.0
