"Path","Name","Type","Mode","Label","Default Value"
"cds/exposure/granular/eo_lawyer_general_commercial","eo_lawyer_general_commercial","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_insolvency/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_insolvency/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_insolvency/show_row","show_row","bool","output","Insolvency","n/a"
"cds/exposure/granular/eo_lawyer_insolvency","eo_lawyer_insolvency","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_insurance_claims_handling_monitoring/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_insurance_claims_handling_monitoring/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_insurance_claims_handling_monitoring/show_row","show_row","bool","output","Insurance  Claims Handling/Monitoring","n/a"
"cds/exposure/granular/eo_lawyer_insurance_claims_handling_monitoring","eo_lawyer_insurance_claims_handling_monitoring","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_insurance_other/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_insurance_other/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_insurance_other/show_row","show_row","bool","output","Insurance Other","n/a"
"cds/exposure/granular/eo_lawyer_insurance_other","eo_lawyer_insurance_other","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_marine_litigation/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_marine_litigation/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_marine_litigation/show_row","show_row","bool","output","Marine Litigation","n/a"
"cds/exposure/granular/eo_lawyer_marine_litigation","eo_lawyer_marine_litigation","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_patentintellectual_property/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_patentintellectual_property/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_patentintellectual_property/show_row","show_row","bool","output","Patent/Intellectual Property","n/a"
"cds/exposure/granular/eo_lawyer_patentintellectual_property","eo_lawyer_patentintellectual_property","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_property_development/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_property_development/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_property_development/show_row","show_row","bool","output","Property Development","n/a"
