curve,LimitLow,LimitHigh,Ilf
CAL - 1 Light And Medium Trucks (Group 4),2000000,2500000,2.57
CAL - 1 Light And Medium Trucks (Group 4),2500000,3000000,2.67
CAL - 1 Light And Medium Trucks (Group 4),3000000,4000000,2.886577653
CAL - 1 Light And Medium Trucks (Group 4),4000000,5000000,3
CAL - 1 Light And Medium Trucks (Group 4),5000000,7500000,3.31
CAL - 1 Light And Medium Trucks (Group 4),7500000,10000000,3.57
CAL - 1 Light And Medium Trucks (Group 4),10000000,15000000,4.09950368
CAL - 1 Light And Medium Trucks (Group 4),15000000,20000000,4.424763379
CAL - 1 Light And Medium Trucks (Group 4),20000000,30000000,4.92747822
CAL - 1 Light And Medium Trucks (Group 4),30000000,40000000,5.318430444
CAL - 1 Light And Medium Trucks (Group 4),40000000,50000000,5.642913907
CAL - 1 Light And Medium Trucks (Group 4),50000000,75000000,5.811161418
CAL - 1 Light And Medium Trucks (Group 4),75000000,100000000,6.397413415
CAL - 1 Light And Medium Trucks (Group 4),100000000,150000000,6.848894342
CAL - 1 Light And Medium Trucks (Group 4),150000000,200000000,7.539836771
CAL - 1 Light And Medium Trucks (Group 4),200000000,300000000,8.071941275
CAL - 2 Heavy Trucks And Trucktractors (Group 4),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 4),100000,250000,1.41
CAL - 2 Heavy Trucks And Trucktractors (Group 4),250000,500000,1.78
CAL - 2 Heavy Trucks And Trucktractors (Group 4),500000,750000,2
CAL - 2 Heavy Trucks And Trucktractors (Group 4),750000,1000000,2.16
CAL - 2 Heavy Trucks And Trucktractors (Group 4),1000000,2000000,2.59
CAL - 2 Heavy Trucks And Trucktractors (Group 4),2000000,2500000,2.74
CAL - 2 Heavy Trucks And Trucktractors (Group 4),2500000,3000000,2.88
CAL - 2 Heavy Trucks And Trucktractors (Group 4),3000000,4000000,3.170659719
CAL - 2 Heavy Trucks And Trucktractors (Group 4),4000000,5000000,3.32
CAL - 2 Heavy Trucks And Trucktractors (Group 4),5000000,7500000,3.76
CAL - 2 Heavy Trucks And Trucktractors (Group 4),7500000,10000000,4.15
CAL - 2 Heavy Trucks And Trucktractors (Group 4),10000000,15000000,4.691518258
CAL - 2 Heavy Trucks And Trucktractors (Group 4),15000000,20000000,5.109163525
CAL - 2 Heavy Trucks And Trucktractors (Group 4),20000000,30000000,5.761687055
CAL - 2 Heavy Trucks And Trucktractors (Group 4),30000000,40000000,6.274600187
CAL - 2 Heavy Trucks And Trucktractors (Group 4),40000000,50000000,6.703686801
CAL - 2 Heavy Trucks And Trucktractors (Group 4),50000000,75000000,6.963051109
CAL - 2 Heavy Trucks And Trucktractors (Group 4),75000000,100000000,7.760106893
CAL - 2 Heavy Trucks And Trucktractors (Group 4),100000000,150000000,8.380367552
CAL - 2 Heavy Trucks And Trucktractors (Group 4),150000000,200000000,9.339662597
CAL - 2 Heavy Trucks And Trucktractors (Group 4),200000000,300000000,10.08617619
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),100000,250000,1.41
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),250000,500000,1.82
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),500000,750000,2.08
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),750000,1000000,2.27
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),1000000,2000000,2.78
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),2000000,2500000,2.97
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),2500000,3000000,3.13
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),3000000,4000000,3.459662188
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),4000000,5000000,3.65
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),5000000,7500000,4.17
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),7500000,10000000,4.63
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),10000000,15000000,5.306011944
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),15000000,20000000,5.823627823
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),20000000,30000000,6.640029333
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),30000000,40000000,7.287782233
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),40000000,50000000,7.833426173
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),50000000,75000000,8.196983982
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),75000000,100000000,9.233177355
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),100000000,150000000,10.0468715
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),150000000,200000000,11.31691201
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 4),200000000,300000000,12.31423988
CAL - 4 Zone Rated Risks (Group 4),0,100000,1
CAL - 4 Zone Rated Risks (Group 4),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 4),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 4),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 4),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 4),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 4),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 4),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 4),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 4),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 4),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 4),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 4),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 4),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 4),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 4),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 4),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 4),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 4),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 4),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 4),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 4),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 4),0,100000,1
CAL - 5 All Other Risks (Group 4),100000,250000,1.37
CAL - 5 All Other Risks (Group 4),250000,500000,1.7
CAL - 5 All Other Risks (Group 4),500000,750000,1.9
CAL - 5 All Other Risks (Group 4),750000,1000000,2.04
CAL - 5 All Other Risks (Group 4),1000000,2000000,2.39
CAL - 5 All Other Risks (Group 4),2000000,2500000,2.51
CAL - 5 All Other Risks (Group 4),2500000,3000000,2.62
CAL - 5 All Other Risks (Group 4),3000000,4000000,2.843902837
CAL - 5 All Other Risks (Group 4),4000000,5000000,2.96
CAL - 5 All Other Risks (Group 4),5000000,7500000,3.29
CAL - 5 All Other Risks (Group 4),7500000,10000000,3.57
CAL - 5 All Other Risks (Group 4),10000000,15000000,4.038209671
CAL - 5 All Other Risks (Group 4),15000000,20000000,4.35844475
CAL - 5 All Other Risks (Group 4),20000000,30000000,4.853371434
CAL - 5 All Other Risks (Group 4),30000000,40000000,5.238249862
CAL - 5 All Other Risks (Group 4),40000000,50000000,5.557681703
CAL - 5 All Other Risks (Group 4),50000000,75000000,5.737679548
CAL - 5 All Other Risks (Group 4),75000000,100000000,6.319365506
CAL - 5 All Other Risks (Group 4),100000000,150000000,6.767501839
CAL - 5 All Other Risks (Group 4),150000000,200000000,7.453591182
CAL - 5 All Other Risks (Group 4),200000000,300000000,7.982160864
CAL - 1 Light And Medium Trucks (Group 5),0,100000,1
CAL - 1 Light And Medium Trucks (Group 5),100000,250000,1.44
CAL - 1 Light And Medium Trucks (Group 5),250000,500000,1.89
CAL - 1 Light And Medium Trucks (Group 5),500000,750000,2.18
CAL - 1 Light And Medium Trucks (Group 5),750000,1000000,2.39
CAL - 1 Light And Medium Trucks (Group 5),1000000,2000000,2.92
CAL - 1 Light And Medium Trucks (Group 5),2000000,2500000,3.1
CAL - 1 Light And Medium Trucks (Group 5),2500000,3000000,3.26
CAL - 1 Light And Medium Trucks (Group 5),3000000,4000000,3.567234244
CAL - 1 Light And Medium Trucks (Group 5),4000000,5000000,3.76
CAL - 1 Light And Medium Trucks (Group 5),5000000,7500000,4.23
CAL - 1 Light And Medium Trucks (Group 5),7500000,10000000,4.63
CAL - 1 Light And Medium Trucks (Group 5),10000000,15000000,5.472856116
CAL - 1 Light And Medium Trucks (Group 5),15000000,20000000,6.007193265
CAL - 1 Light And Medium Trucks (Group 5),20000000,30000000,6.850043861
CAL - 1 Light And Medium Trucks (Group 5),30000000,40000000,7.518841438
CAL - 1 Light And Medium Trucks (Group 5),40000000,50000000,8.082249604
CAL - 1 Light And Medium Trucks (Group 5),50000000,75000000,8.414199441
CAL - 1 Light And Medium Trucks (Group 5),75000000,100000000,9.469064555
CAL - 1 Light And Medium Trucks (Group 5),100000000,150000000,10.29676841
CAL - 1 Light And Medium Trucks (Group 5),150000000,200000000,11.58764604
CAL - 1 Light And Medium Trucks (Group 5),200000000,300000000,12.60053799
CAL - 2 Heavy Trucks And Trucktractors (Group 5),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 5),100000,250000,1.46
CAL - 2 Heavy Trucks And Trucktractors (Group 5),250000,500000,1.98
CAL - 2 Heavy Trucks And Trucktractors (Group 5),500000,750000,2.35
CAL - 2 Heavy Trucks And Trucktractors (Group 5),750000,1000000,2.62
CAL - 2 Heavy Trucks And Trucktractors (Group 5),1000000,2000000,3.31
CAL - 2 Heavy Trucks And Trucktractors (Group 5),2000000,2500000,3.55
CAL - 2 Heavy Trucks And Trucktractors (Group 5),2500000,3000000,3.75
CAL - 2 Heavy Trucks And Trucktractors (Group 5),3000000,4000000,4.134636199
CAL - 2 Heavy Trucks And Trucktractors (Group 5),4000000,5000000,4.4
CAL - 2 Heavy Trucks And Trucktractors (Group 5),5000000,7500000,5.02
CAL - 2 Heavy Trucks And Trucktractors (Group 5),7500000,10000000,5.55
CAL - 2 Heavy Trucks And Trucktractors (Group 5),10000000,15000000,6.714813637
CAL - 2 Heavy Trucks And Trucktractors (Group 5),15000000,20000000,7.462264387
CAL - 2 Heavy Trucks And Trucktractors (Group 5),20000000,30000000,8.659120582
CAL - 2 Heavy Trucks And Trucktractors (Group 5),30000000,40000000,9.622999332
CAL - 2 Heavy Trucks And Trucktractors (Group 5),40000000,50000000,10.44393446
CAL - 2 Heavy Trucks And Trucktractors (Group 5),50000000,75000000,10.98067054
CAL - 2 Heavy Trucks And Trucktractors (Group 5),75000000,100000000,12.56360403
CAL - 2 Heavy Trucks And Trucktractors (Group 5),100000000,150000000,13.82325365
CAL - 2 Heavy Trucks And Trucktractors (Group 5),150000000,200000000,15.81596357
CAL - 2 Heavy Trucks And Trucktractors (Group 5),200000000,300000000,17.40170063
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),100000,250000,1.45
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),250000,500000,1.91
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),500000,750000,2.22
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),750000,1000000,2.45
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),1000000,2000000,3.04
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),2000000,2500000,3.26
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),2500000,3000000,3.44
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),3000000,4000000,3.813727214
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),4000000,5000000,4.04
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),5000000,7500000,4.63
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),7500000,10000000,5.15
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),10000000,15000000,6.033087508
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),15000000,20000000,6.666434499
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),20000000,30000000,7.673573117
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),30000000,40000000,8.479136511
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),40000000,50000000,9.161774448
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),50000000,75000000,9.607538049
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),75000000,100000000,10.91319779
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),100000000,150000000,11.94582972
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),150000000,200000000,13.56926217
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 5),200000000,300000000,14.85321703
CAL - 4 Zone Rated Risks (Group 5),0,100000,1
CAL - 4 Zone Rated Risks (Group 5),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 5),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 5),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 5),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 5),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 5),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 5),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 5),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 5),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 5),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 5),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 5),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 5),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 5),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 5),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 5),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 5),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 5),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 5),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 5),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 5),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 5),0,100000,1
CAL - 5 All Other Risks (Group 5),100000,250000,1.41
CAL - 5 All Other Risks (Group 5),250000,500000,1.82
CAL - 5 All Other Risks (Group 5),500000,750000,2.09
CAL - 5 All Other Risks (Group 5),750000,1000000,2.29
CAL - 5 All Other Risks (Group 5),1000000,2000000,2.79
CAL - 5 All Other Risks (Group 5),2000000,2500000,2.96
CAL - 5 All Other Risks (Group 5),2500000,3000000,3.1
CAL - 5 All Other Risks (Group 5),3000000,4000000,3.37105349
CAL - 5 All Other Risks (Group 5),4000000,5000000,3.55
CAL - 5 All Other Risks (Group 5),5000000,7500000,3.97
CAL - 5 All Other Risks (Group 5),7500000,10000000,4.32
CAL - 5 All Other Risks (Group 5),10000000,15000000,5.084040001
CAL - 5 All Other Risks (Group 5),15000000,20000000,5.559649396
CAL - 5 All Other Risks (Group 5),20000000,30000000,6.306481411
CAL - 5 All Other Risks (Group 5),30000000,40000000,6.896449587
CAL - 5 All Other Risks (Group 5),40000000,50000000,7.391813571
CAL - 5 All Other Risks (Group 5),50000000,75000000,7.691829591
CAL - 5 All Other Risks (Group 5),75000000,100000000,8.61720071
CAL - 5 All Other Risks (Group 5),100000000,150000000,9.340519922
CAL - 5 All Other Risks (Group 5),150000000,200000000,10.46423792
CAL - 5 All Other Risks (Group 5),200000000,300000000,11.34259559
CAL - 1 Light And Medium Trucks (Group 6),0,100000,1
CAL - 1 Light And Medium Trucks (Group 6),100000,250000,1.22
CAL - 1 Light And Medium Trucks (Group 6),250000,500000,1.42
CAL - 1 Light And Medium Trucks (Group 6),500000,750000,1.55
CAL - 1 Light And Medium Trucks (Group 6),750000,1000000,1.64
CAL - 1 Light And Medium Trucks (Group 6),1000000,2000000,1.87
CAL - 1 Light And Medium Trucks (Group 6),2000000,2500000,1.95
CAL - 1 Light And Medium Trucks (Group 6),2500000,3000000,2.02
CAL - 1 Light And Medium Trucks (Group 6),3000000,4000000,2.168937453
CAL - 1 Light And Medium Trucks (Group 6),4000000,5000000,2.25
CAL - 1 Light And Medium Trucks (Group 6),5000000,7500000,2.47
CAL - 1 Light And Medium Trucks (Group 6),7500000,10000000,2.66
CAL - 1 Light And Medium Trucks (Group 6),10000000,15000000,2.854171308
CAL - 1 Light And Medium Trucks (Group 6),15000000,20000000,3.029920774
CAL - 1 Light And Medium Trucks (Group 6),20000000,30000000,3.296153944
CAL - 1 Light And Medium Trucks (Group 6),30000000,40000000,3.49911909
CAL - 1 Light And Medium Trucks (Group 6),40000000,50000000,3.665118888
CAL - 1 Light And Medium Trucks (Group 6),50000000,75000000,3.789059248
CAL - 1 Light And Medium Trucks (Group 6),75000000,100000000,4.093265183
CAL - 1 Light And Medium Trucks (Group 6),100000000,150000000,4.323802172
CAL - 1 Light And Medium Trucks (Group 6),150000000,200000000,4.670940128
CAL - 1 Light And Medium Trucks (Group 6),200000000,300000000,4.934012376
CAL - 2 Heavy Trucks And Trucktractors (Group 6),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 6),100000,250000,1.27
CAL - 2 Heavy Trucks And Trucktractors (Group 6),250000,500000,1.51
CAL - 2 Heavy Trucks And Trucktractors (Group 6),500000,750000,1.66
CAL - 2 Heavy Trucks And Trucktractors (Group 6),750000,1000000,1.77
CAL - 2 Heavy Trucks And Trucktractors (Group 6),1000000,2000000,2.07
CAL - 2 Heavy Trucks And Trucktractors (Group 6),2000000,2500000,2.18
CAL - 2 Heavy Trucks And Trucktractors (Group 6),2500000,3000000,2.28
CAL - 2 Heavy Trucks And Trucktractors (Group 6),3000000,4000000,2.490493766
CAL - 2 Heavy Trucks And Trucktractors (Group 6),4000000,5000000,2.6
CAL - 2 Heavy Trucks And Trucktractors (Group 6),5000000,7500000,2.93
CAL - 2 Heavy Trucks And Trucktractors (Group 6),7500000,10000000,3.21
CAL - 2 Heavy Trucks And Trucktractors (Group 6),10000000,15000000,3.449332518
CAL - 2 Heavy Trucks And Trucktractors (Group 6),15000000,20000000,3.702727689
CAL - 2 Heavy Trucks And Trucktractors (Group 6),20000000,30000000,4.091788769
CAL - 2 Heavy Trucks And Trucktractors (Group 6),30000000,40000000,4.392380117
CAL - 2 Heavy Trucks And Trucktractors (Group 6),40000000,50000000,4.640662078
CAL - 2 Heavy Trucks And Trucktractors (Group 6),50000000,75000000,4.831077643
CAL - 2 Heavy Trucks And Trucktractors (Group 6),75000000,100000000,5.295459475
CAL - 2 Heavy Trucks And Trucktractors (Group 6),100000000,150000000,5.651770358
CAL - 2 Heavy Trucks And Trucktractors (Group 6),150000000,200000000,6.195040341
CAL - 2 Heavy Trucks And Trucktractors (Group 6),200000000,300000000,6.611880524
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),100000,250000,1.28
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),250000,500000,1.54
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),500000,750000,1.69
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),750000,1000000,1.8
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),1000000,2000000,2.09
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),2000000,2500000,2.19
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),2500000,3000000,2.28
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),3000000,4000000,2.469715179
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),4000000,5000000,2.57
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),5000000,7500000,2.85
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),7500000,10000000,3.1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),10000000,15000000,3.382928261
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),15000000,20000000,3.622713336
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),20000000,30000000,3.989806295
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),30000000,40000000,4.272607445
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),40000000,50000000,4.505697652
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),50000000,75000000,4.665404568
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),75000000,100000000,5.093909242
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),100000000,150000000,5.421600299
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),150000000,200000000,5.919559487
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 6),200000000,300000000,6.300364605
CAL - 4 Zone Rated Risks (Group 6),0,100000,1
CAL - 4 Zone Rated Risks (Group 6),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 6),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 6),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 6),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 6),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 6),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 6),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 6),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 6),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 6),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 6),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 6),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 6),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 6),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 6),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 6),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 6),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 6),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 6),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 6),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 6),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 6),0,100000,1
CAL - 5 All Other Risks (Group 6),100000,250000,1.24
CAL - 5 All Other Risks (Group 6),250000,500000,1.46
CAL - 5 All Other Risks (Group 6),500000,750000,1.59
CAL - 5 All Other Risks (Group 6),750000,1000000,1.69
CAL - 5 All Other Risks (Group 6),1000000,2000000,1.92
CAL - 5 All Other Risks (Group 6),2000000,2500000,2
CAL - 5 All Other Risks (Group 6),2500000,3000000,2.06
CAL - 5 All Other Risks (Group 6),3000000,4000000,2.196040067
CAL - 5 All Other Risks (Group 6),4000000,5000000,2.27
CAL - 5 All Other Risks (Group 6),5000000,7500000,2.47
CAL - 5 All Other Risks (Group 6),7500000,10000000,2.63
CAL - 5 All Other Risks (Group 6),10000000,15000000,2.879102309
CAL - 5 All Other Risks (Group 6),15000000,20000000,3.053912384
CAL - 5 All Other Risks (Group 6),20000000,30000000,3.318463207
CAL - 5 All Other Risks (Group 6),30000000,40000000,3.519949899
CAL - 5 All Other Risks (Group 6),40000000,50000000,3.684622312
CAL - 5 All Other Risks (Group 6),50000000,75000000,3.791845469
CAL - 5 All Other Risks (Group 6),75000000,100000000,4.088673963
CAL - 5 All Other Risks (Group 6),100000000,150000000,4.313264573
CAL - 5 All Other Risks (Group 6),150000000,200000000,4.650910144
CAL - 5 All Other Risks (Group 6),200000000,300000000,4.906384352
CAL - 1 Light And Medium Trucks (Group 7),0,100000,1
CAL - 1 Light And Medium Trucks (Group 7),100000,250000,1.37
CAL - 1 Light And Medium Trucks (Group 7),250000,500000,1.74
CAL - 1 Light And Medium Trucks (Group 7),500000,750000,1.99
CAL - 1 Light And Medium Trucks (Group 7),750000,1000000,2.16
CAL - 1 Light And Medium Trucks (Group 7),1000000,2000000,2.56
CAL - 1 Light And Medium Trucks (Group 7),2000000,2500000,2.7
CAL - 1 Light And Medium Trucks (Group 7),2500000,3000000,2.81
CAL - 1 Light And Medium Trucks (Group 7),3000000,4000000,3.000426914
CAL - 1 Light And Medium Trucks (Group 7),4000000,5000000,3.13
CAL - 1 Light And Medium Trucks (Group 7),5000000,7500000,3.43
CAL - 1 Light And Medium Trucks (Group 7),7500000,10000000,3.67
CAL - 1 Light And Medium Trucks (Group 7),10000000,15000000,4.323721363
CAL - 1 Light And Medium Trucks (Group 7),15000000,20000000,4.681590952
CAL - 1 Light And Medium Trucks (Group 7),20000000,30000000,5.236835043
CAL - 1 Light And Medium Trucks (Group 7),30000000,40000000,5.670282031
CAL - 1 Light And Medium Trucks (Group 7),40000000,50000000,6.031046573
CAL - 1 Light And Medium Trucks (Group 7),50000000,75000000,6.229876137
CAL - 1 Light And Medium Trucks (Group 7),75000000,100000000,6.887979326
CAL - 1 Light And Medium Trucks (Group 7),100000000,150000000,7.39665464
CAL - 1 Light And Medium Trucks (Group 7),150000000,200000000,8.178012391
CAL - 1 Light And Medium Trucks (Group 7),200000000,300000000,8.781956281
CAL - 2 Heavy Trucks And Trucktractors (Group 7),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 7),100000,250000,1.39
CAL - 2 Heavy Trucks And Trucktractors (Group 7),250000,500000,1.78
CAL - 2 Heavy Trucks And Trucktractors (Group 7),500000,750000,2.05
CAL - 2 Heavy Trucks And Trucktractors (Group 7),750000,1000000,2.25
CAL - 2 Heavy Trucks And Trucktractors (Group 7),1000000,2000000,2.78
CAL - 2 Heavy Trucks And Trucktractors (Group 7),2000000,2500000,2.97
CAL - 2 Heavy Trucks And Trucktractors (Group 7),2500000,3000000,3.14
CAL - 2 Heavy Trucks And Trucktractors (Group 7),3000000,4000000,3.480777749
CAL - 2 Heavy Trucks And Trucktractors (Group 7),4000000,5000000,3.69
CAL - 2 Heavy Trucks And Trucktractors (Group 7),5000000,7500000,4.24
CAL - 2 Heavy Trucks And Trucktractors (Group 7),7500000,10000000,4.72
CAL - 2 Heavy Trucks And Trucktractors (Group 7),10000000,15000000,5.386657285
CAL - 2 Heavy Trucks And Trucktractors (Group 7),15000000,20000000,5.923732382
CAL - 2 Heavy Trucks And Trucktractors (Group 7),20000000,30000000,6.772839813
CAL - 2 Heavy Trucks And Trucktractors (Group 7),30000000,40000000,7.448123836
CAL - 2 Heavy Trucks And Trucktractors (Group 7),40000000,50000000,8.017945639
CAL - 2 Heavy Trucks And Trucktractors (Group 7),50000000,75000000,8.430308315
CAL - 2 Heavy Trucks And Trucktractors (Group 7),75000000,100000000,9.526877992
CAL - 2 Heavy Trucks And Trucktractors (Group 7),100000000,150000000,10.39036305
CAL - 2 Heavy Trucks And Trucktractors (Group 7),150000000,200000000,11.74188623
CAL - 2 Heavy Trucks And Trucktractors (Group 7),200000000,300000000,12.80613239
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),100000,250000,1.4
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),250000,500000,1.8
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),500000,750000,2.12
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),750000,1000000,2.39
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 7),1000000,2000000,3.17
