Sic Code,Sic Code2 (SIC first)
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5960,2353 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5990,2361 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - MINERAL WOOL - 3296,2369 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
"Construction Materials - MINERALS, GROUND OR TREATED - 3295",2371 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - NONCLAY REFRACTORIES - 3297,2381 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
"Construction Materials - NONMETALLIC MINERAL PRODUCTS, N.E.C. - 3299",2384 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
"Construction Materials - PAINT, GLASS, AND WALLPAPER STORES - 5231",2385 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - PLASTICS MATERIALS & BASIC SHAPES - 5162,2386 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - PLASTICS PIPE - 3084,2387 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - PLASTICS PLUMBING FIXTURES - 3088,2389 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - PLUMBING FIXTURE FITTINGS AND TRIM - 3432,2390 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - POTTERY PRODUCTS, N.E.C. - 3269",2391 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - PROCELAIN ELECTRICAL SUPPLIES - 3264,2392 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - READY-MIXED CONCRETE - 3273,2393 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - RETAIL NURSERIES AND GARDEN STORES - 5261,2394 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - SEMIVITREOUS TABLE & KITCHENWARE - 3263,2395 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - STRUCTURAL CLAY PRODUCTS, N.E.C. - 3259",2396 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - STRUCTURAL WOOD MEMBERS, N.E.C. - 2439",2397 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - VITREOUS CHINA TABLE & KITCHENWARE - 3262,2399 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - VITREOUS PLUMBING FIXTURES - 3261,2400 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Consumer Services - ARMATURE REWINDING SHOPS - 7694,2411 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Consumer Services - ELECTRICAL REPAIR SHOPS, N.E.C. - 7629",2421 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Consumer Services - REFRIGERATION SERVICE AND REPAIR - 7623,2426 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Consumer Services - REPAIR SERVICES, N.E.C. - 7699",2429 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Consumer Services - REUPHOLSTERY AND FURNITURE REPAIR - 7641,2430 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Consumer Services - WATCH, CLOCK, AND JEWELRY REPAIR - 7631",2431 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Consumer Services - WELDING REPAIR - 7692,2434 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Containers & Packaging - BAGS: PLASTICS, LAMINATED, & COATED - 2673",2435 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Containers & Packaging - BAGS: UNCOATED PAPER & MULTIWALL - 2674,2436 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Containers & Packaging - FIBER CANS, DRUMS & SIMILAR PRODUCTS - 2655",2439 - Construction Materials - MANUFACTURING (NON DURABLE) EXC APPAREL
Containers & Packaging - NAILED WOOD BOXES AND SHOOK - 2441,2441 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
"Containers & Packaging - PAPER COATED & LAMINATED, N.E.C. - 2672",2448 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
"Containers & Packaging - PAPER COATED & LAMINATED, PACKAGING - 2671",2449 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
Containers & Packaging - SANITARY FOOD CONTAINERS - 2656,2451 - Automobiles - MANUFACTURING (NON DURABLE) EXC APPAREL
Containers & Packaging - TRANSPORTATION EQUIPMENT & SUPPLIES - 5088,2452 - Construction & Engineering - MANUFACTURING (NON DURABLE) EXC APPAREL
"Containers & Packaging - WOOD CONTAINERS, N.E.C. - 2449",2491 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Containers & Packaging - WOOD PALLETS AND SKIDS - 2448,2493 - Construction & Engineering - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Elementary & Secondary - ELEMENTARY AND SECONDARY SCHOOLS - 8211,2499 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Education - Elementary & Secondary - SCHOOLS & EDUCATIONAL SERVICES, N.E.C. - 8299",2510 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Other - BUSINESS AND SECRETARIAL SCHOOLS - 8244,2511 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Other - DATA PROCESSING SCHOOLS - 8243,2512 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Other - LIBRARIES - 8231,2514 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
"Education - Other - VOCATIONAL SCHOOLS, N.E.C. - 8249",2515 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Post Secondary - COLLEGES AND UNIVERSITIES - 8221,2517 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Education - Post Secondary - JUNIOR COLLEGES - 8222,2519 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ANALYTICAL INSTRUMENTS - 3826,2521 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - CALCULATING AND ACCOUNTING EQUIPMENT - 3578,2522 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - COMMERCIAL LIGHTING FIXTURES - 3646,2531 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - COMPUTER AND SOFTWARE STORES - 5734,2540 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - COMPUTER PERIPHERAL EQUIPMENT, N.E.C. - 3577",2541 - Construction & Engineering - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - COMPUTER STORAGE DEVICES - 3572,2542 - Construction & Engineering - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - COMPUTER TERMINALS - 3575,2590 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - CURRENT-CARRYING WIRING DEVICES - 3643,2591 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - ELECTRICAL EQUIPMENT & SUPPLIES, N.E.C. - 3699",2599 - Household Durables - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRON TUBES - 3671,2600 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRONIC CAPACITORS - 3675,2611 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRONIC COILS AND TRANSFORMERS - 3677,2621 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - ELECTRONIC COMPONENTS, N.E.C. - 3679",2631 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRONIC COMPUTERS - 3571,2650 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRONIC CONNECTORS - 3678,2652 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ELECTRONIC RESISTORS - 3676,2653 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ENGINE ELECTRICAL EQUIPMENT - 3694,2655 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - ENVIRONMENTAL CONTROLS - 3822,2656 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - FLUID METERS AND COUNTING DEVICES - 3824,2657 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - INSTRUMENTS TO MEASURE ELECTRICITY - 3825,2670 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - LABORATORY APPARATUS AND FURNITURE - 3821,2671 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - LIGHTING EQUIPMENT, N.E.C. - 3648",2672 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - MAGNETIC AND OPTICAL RECORDING MEDIA - 3695,2673 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - MEASURING & CONTROLLING DEVICES, N.E.C. - 3829",2674 - Containers & Packaging - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - NONCURRENT-CARRYING WIRING DEVICES - 3644,2675 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - OFFICE MACHINES, N.E.C. - 3579",2676 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - OPTICAL INSTRUMENTS AND LENSES - 3827,2677 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - PHOTOGRAPHIC EQUIPMENT AND SUPPLIES - 3861,2678 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - PRERECORDED RECORDS AND TAPES - 3652,2679 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - PRIMARY BATTERIES, DRY AND WET - 3692",2711 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - PROCESS CONTROL INSTRUMENTS - 3823,2721 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Electrical Equipment - RADIO, TV, & ELECTRONIC STORES - 5731",2731 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - RECORD AND PRERECORDED TAPE STORES - 5735,2732 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - SEARCH AND NAVIGATION EQUIPMENT - 3812,2741 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - STORAGE BATTERIES - 3691,2750 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Electrical Equipment - VEHICULAR LIGHTING EQUIPMENT - 3647,2752 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - ANIMAL AND MARINE FATS AND OILS - 2077,2754 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - BEEF CATTLE FEEDLOTS - 0211,2759 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - BEEF CATTLE, EXCEPT FEEDLOTS - 0212",2761 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - BEET SUGAR - 2063,2771 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - BERRY CROPS - 0171,2780 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - BREAD, CAKE, AND RELATED PRODUCTS - 2051",2782 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - BROILER, FRYER, AND ROASTER CHICKENS - 0251",2789 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CANDY & OTHER CONFECTIONERY PRODUCTS - 2064,2790 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - CANDY, NUT, AND CONFECTIONERY STORES - 5441",2791 - Paper & Forest Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CANE SUGAR REFINING - 2062,2796 - Construction & Engineering - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CANNED AND CURED FISH AND SEAFOODS - 2091,2800 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CANNED FRUITS AND VEGETABLES - 2033,2810 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CANNED SPECIALTIES - 2032,2812 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - CASH GRAINS, N.E.C. - 0119",2813 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CEREAL BREAKFAST FOODS - 2043,2816 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - CHEESE,NATURAL AND PROCESSED - 2022",2819 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CHEWING GUM - 2067,2820 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CHICKEN EGGS - 0252,2821 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CHOCOLATE AND COCOA PRODUCTS - 2066,2822 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CITRUS FRUITS - 0174,2823 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - CONFECTIONERY - 5145,2824 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - COOKIES AND CRACKERS - 2052,2833 - Pharmaceuticals - PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE
Food Products - CORN - 0115,2834 - Pharmaceuticals - PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE
Food Products - COTTON - 0131,2835 - Pharmaceuticals - PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE
Food Products - COTTONSEED OIL MILLS - 2074,2836 - Pharmaceuticals - PHARMACEUTICAL PREPARATION AND DRUG MANUFACTURE
Food Products - CREAMERY BUTTER - 2021,2840 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - DAIRY FARMS - 0241,2841 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - DAIRY PRODUCTS STORES - 5451,2842 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - DAIRY PRODUCTS, EXCEPT DRIED OR CANNED - 5143",2843 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - DECIDUOUS TREE FRUITS - 0175,2844 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - DEHYDRATED FRUITS, VEGATABLES, SOUPS - 2034",2851 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - DOG AND CAT FOOD - 2047,2860 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - DRINKING PLACES - 5813,2861 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - DRY, CONDENSED, EVAPORATED PRODUCTS - 2023",2865 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - EATING PLACES - 5812,2869 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - EDIBLE FATS AND OILS, N.E.C. - 2079",2870 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FIELD CROPS, EXCEPT CASH GRAINS, N.E.C. - 0139",2873 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FINFISH - 0912,2874 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FISH AND SEAFOODS - 5146,2875 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FLAVORING EXTRACTS AND SYRUPS, N.E.C. - 2087",2879 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FLOUR AND OTHER GRAIN MILL PRODUCTS - 2041,2890 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FLUID MILK - 2026,2891 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FOOD CROPS GROWN UNDER COVER - 0182,2892 - Aerospace & Defense - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FOOD PREPARATIONS, N.E.C. - 2099",2893 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FRESH FRUITS AND VEGETABLES - 5148,2895 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FRESH OR FROZEN PREPARED FISH - 2092,2899 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FROZEN BAKERY PRODUCTS, EXCEPT BREAD - 2053",2911 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FROZEN FRUITS AND VEGETABLES - 2037,2951 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FROZEN SPECIALITIES, N.E.C. - 2038",2952 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
Food Products - FRUIT AND VEGETABLE MARKETS - 5431,2990 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - FRUITS AND TREE NUTS, N.E.C. - 0179",2992 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - GENERAL FARMS, PRIMARILY ANIMAL - 0291",2999 - Chemicals - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - GENERAL FARMS, PRIMARILY CROP - 0191",3011 - Auto Components - MANUFACTURING (NON DURABLE) EXC APPAREL
"Food Products - GENERAL LIVESTOCK, N.E.C. - 0219",3021 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - GRAIN AND FIELD BEANS - 5153,3050 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - GRAPES - 0172,3052 - Retail - Multiline - MANUFACTURING (DURABLE)
"Food Products - GROCERIES AND RELATED PRODUCTS, N.E.C. - 5149",3053 - Retail - Multiline - MANUFACTURING (DURABLE)
"Food Products - GROCERIES, GENERAL LINE - 5141",3060 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - HOGS - 0213,3061 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - ICE CREAM AND FROZEN DESSERTS - 2024,3069 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - IRISH POTATOES - 0134,3080 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - LIVESTOCK - 5154,3081 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MACARONI AND SPAGHETTI - 2098,3082 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MALT - 2083,3083 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MANUFACTURED ICE - 2097,3084 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT AND FISH MARKETS - 5421,3085 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2000,3086 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2011,3087 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2020,3088 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2030,3089 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2040,3100 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2050,3111 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2060,3131 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2070,3140 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2080,3142 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2090,3143 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2100,3144 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2200,3149 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2400,3151 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2430,3161 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2510,3171 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2540,3172 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2590,3199 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2600,3211 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2650,3220 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2670,3221 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2750,3229 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2780,3231 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2790,3241 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2800,3250 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2810,3251 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2820,3253 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2840,3255 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2860,3259 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2870,3260 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2890,3261 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEAT PACKING PLANTS - 2990,3262 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MEATS AND MEAT PRODUCTS - 5147,3263 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - MISCELLANEOUS FOOD STORES - 5499,3264 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - PACKAGED FROZEN FOODS - 5142,3269 - Construction Materials - MANUFACTURING (DURABLE)
"Food Products - PICKLES, SAUCES, AND SALAD DRESSINGS - 2035",3270 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - POTATO CHIPS AND SIMILAR SNACKS - 2096,3271 - Construction Materials - MANUFACTURING (DURABLE)
"Food Products - POULTRY AND EGGS, N.E.C. - 0259",3272 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - POULTRY AND POULTRY PRODUCTS - 5144,3273 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - POULTRY HATCHERIES - 0254,3274 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - POULTRY SLAUGHTERING AND PROCESSING - 2015,3275 - Construction Materials - MANUFACTURING (DURABLE)
"Food Products - PREPARED FEEDS, N.E.C. - 2048",3281 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - PREPARED FLOUR MIXES AND DOUGHS - 2045,3290 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - RAW CANE SUGAR - 2061,3291 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - RETAIL BAKERIES - 5461,3292 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - RICE - 0112,3295 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - RICE MILLING - 2044,3296 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - ROASTED COFFEE - 2095,3297 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - SALTED AND ROASTED NUTS AND SEEDS - 2068,3299 - Construction Materials - MANUFACTURING (DURABLE)
Food Products - SAUSAGES AND OTHER PREPARED MEATS - 2013,3310 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - SHEET AND GOATS - 0214,3312 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - SHELLFIESH - 0913,3313 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - SOYBEAN OIL MILLS - 2075,3315 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - SOYBEANS - 0116,3316 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - SUGARCANE AND SUGAR BEETS - 0133,3317 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - TREE NUETS - 0173,3320 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - TURKEYS AND TURKEY EGGS - 0253,3321 - Metals & Mining - MANUFACTURING (DURABLE)
"Food Products - VEGETABLE OIL MILLS, N.E.C. - 2076",3322 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - VEGETABLES AND MEONS - 0161,3324 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - WET CORN MILLING - 2046,3325 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - WHEAT - 0100,3330 - Retail - Multiline - MANUFACTURING (DURABLE)
Food Products - WHEAT - 0111,3331 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - WHEAT - 0200,3334 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - WHEAT - 0700,3339 - Metals & Mining - MANUFACTURING (DURABLE)
Food Products - WHEAT - 0800,3341 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9111,3350 - Retail - Multiline - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9121,3351 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9131,3353 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9199,3354 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9211,3355 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9221,3356 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9222,3357 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9223,3360 - Retail - Multiline - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9224,3363 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9229,3364 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9311,3365 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9411,3366 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9431,3369 - Metals & Mining - MANUFACTURING (DURABLE)
Government - Other - PUBLIC ADMINISTRATION - 9441,3390 - Retail - Multiline - MANUFACTURING (DURABLE)
